listed_year,current_ratio,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail,is_speculative
2000,4.459574204759552,1.859572927353943,205113463.0,0.8336981224874547,0.1994749393122187,0.0340258064874074,-14.545330556672196,0.1059462995256933,79073927.0,197.13241935222803,0.1104562941341397,0.118754155108775,0.1324895560572669,0.5207670425354115,2.545260447868229,0.1205360344160735,143.7639160907075,-0.0104826517409049,4959429.0,0.045443384669489,4.320426211615662,1,1.505275,6.043,1.0,,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,5.5363132984600005,2.612166236351438,235143417.0,0.8452565907894415,0.1830726984492478,0.0226943414707629,-16.982284931918816,0.1429320385918588,85288747.0,134.14270968786525,0.1132123209726088,0.1127474940112824,0.1339384066403697,0.7868507761847102,5.365212665782804,0.1777094606045026,144.86541117896772,-0.0238282069363651,5819783.0,0.0692828326127454,4.427737125013669,1,1.718358,6.229,0.437825885307111,0.1464065476774676,0.0369857390661654,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,3.703151512665381,1.3397345614573652,261158440.0,0.787887483169221,0.2692167617355357,0.0359518727405478,-17.616230644119234,0.0912284854758222,83197927.0,66.8273196431882,0.0553740786627458,0.0593514381537889,0.0702817088044191,0.4519188329251675,2.666276712391503,0.1565015202020861,107.93182807845032,-0.0399799255961247,5821314.0,0.0662903599822391,2.887632224540804,1,4.082459,6.168,0.2355777182882129,0.1106347068180947,-0.0517035531160365,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,3.5944922157759516,1.3332911486517172,290150966.0,0.7692433875956836,0.2999786753131023,0.0340918148106389,-19.193485026156463,0.1050346185919064,110655762.0,30.863358348738416,0.0665766454832344,0.0868862073683394,0.0865482194020851,0.4570750948849344,3.0937954196886643,0.1640016922176226,37.465717468751144,-0.0379230238371841,5977511.0,0.0912635217626675,2.787014503962661,1,3.525889,6.092,0.2465967425657665,0.1110150834106682,0.0138061331160841,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,7.038863842960238,2.491111116371183,317078866.0,0.8127188331750878,0.230437833085831,0.0694180734202575,-21.63663831962362,0.0449171830474335,93999919.0,8.650990816289768,0.0522924507999218,0.0174180798287578,0.0643426098490032,0.0547250639493861,0.147641288875328,0.0194755336455979,5.090330240768907,0.0133886343595034,6210656.0,0.0918517855428434,2.8099391238892006,1,7.253727,6.282,0.0913635743285494,0.0928065150746387,-0.0601174355444728,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,3.1270429219816704,0.9091852311031758,343947668.0,0.7277284956035812,0.3741388526645444,0.0803611815737038,-20.98700432825976,-0.0619392733293692,83078214.0,-8.063605259425369,-0.0568374256283662,-0.0444634123816766,-0.0781025148413695,-0.0822979138425239,-0.2788333418174017,-0.0460736477242276,-4.063661150178982,-0.0077160604560342,6340174.0,0.1239613870561262,1.7862252699225258,1,3.943238,6.246,0.0571536778834734,0.0847385457723946,-0.1068564563768028,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,2.394589568654946,0.416355228279309,196267318.0,0.6692236656537998,0.4942687421523553,0.0599787581547326,-19.14146669099753,0.0076600793083423,70386392.0,4.706477934113127,0.0079519454176267,0.0212186473144754,0.0118823434163197,0.1944222622146735,1.0722176680510402,0.0725392795785731,14.264572526416908,-0.057519179020931,2938212.0,0.0132814470924802,2.680234258517541,1,1.27101,6.043,0.8494827075052647,,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,2.2814791047886898,0.3877312187655899,208065058.0,0.6606231547057748,0.5137222909469261,0.0516481244053963,-20.07777467678544,0.0446213713207338,92176563.0,12.656234944889173,0.0602327277845951,0.0499996111793071,0.0911756231302872,0.247321032369612,1.6251322098943155,0.0951195924716579,21.246194554612035,-0.044560427825416,3070052.0,0.0120294201441551,2.600106097419461,1,1.162362,6.229,0.9305640986509612,0.0601105681792625,0.0369612920123915,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,2.857170472129322,0.4123812243147187,212923583.0,0.6914160607564076,0.4463071611411546,0.0496330178700778,-21.575378649054393,0.0709467488821889,97786284.0,21.77650971900208,0.0768648628273365,0.0721672760879662,0.1111702015473093,-0.0182816025094544,-0.1136624199000003,-0.0064668495928264,-1.7022978113113425,0.067532383202475,2670023.0,0.019337280267353,2.826971966339505,1,0.877062,6.168,0.9462492571943332,0.0233509895736553,0.0263253775614551,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2000,2.7031356244400335,0.4041394803894036,217956961.0,0.6806771452461204,0.4691252843908547,0.0837179042884526,-21.750121833218067,0.0137433227653634,77993897.0,2.335123905881944,0.0099820074110869,0.0110932038550491,0.0146648194093217,0.3172226784891199,1.2099735845540889,0.1416619704839131,21.32294434255372,-0.0914691868914432,3262694.0,0.0164213153990525,2.239293138486614,1,0.94505,6.092,0.9864689344491392,0.0236393636114981,-0.0572034261168254,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
