market,stock_code,corp_name,fiscal_year,eval_year,firm_size_group,industry_macro_category,listed_year,current_ratio,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail,is_speculative
KOSDAQ,250,삼천당제약(주),2016,2017,mid_sized,manufacturing,2000,4.459574204759552,1.859572927353943,205113463.0,0.8336981224874547,0.1994749393122187,0.0340258064874074,-14.545330556672196,0.1059462995256933,79073927.0,197.13241935222803,0.1104562941341397,0.118754155108775,0.1324895560572669,0.5207670425354115,2.545260447868229,0.1205360344160735,143.7639160907075,-0.0104826517409049,4959429.0,0.045443384669489,4.320426211615662,1,1.505275,6.043,1.0,,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,250,삼천당제약(주),2017,2018,mid_sized,manufacturing,2000,5.5363132984600005,2.612166236351438,235143417.0,0.8452565907894415,0.1830726984492478,0.0226943414707629,-16.982284931918816,0.1429320385918588,85288747.0,134.14270968786525,0.1132123209726088,0.1127474940112824,0.1339384066403697,0.7868507761847102,5.365212665782804,0.1777094606045026,144.86541117896772,-0.0238282069363651,5819783.0,0.0692828326127454,4.427737125013669,1,1.718358,6.229,0.437825885307111,0.1464065476774676,0.0369857390661654,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,250,삼천당제약(주),2018,2019,mid_sized,manufacturing,2000,3.703151512665381,1.3397345614573652,261158440.0,0.787887483169221,0.2692167617355357,0.0359518727405478,-17.616230644119234,0.0912284854758222,83197927.0,66.8273196431882,0.0553740786627458,0.0593514381537889,0.0702817088044191,0.4519188329251675,2.666276712391503,0.1565015202020861,107.93182807845032,-0.0399799255961247,5821314.0,0.0662903599822391,2.887632224540804,1,4.082459,6.168,0.2355777182882129,0.1106347068180947,-0.0517035531160365,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,250,삼천당제약(주),2019,2020,mid_sized,manufacturing,2000,3.5944922157759516,1.3332911486517172,290150966.0,0.7692433875956836,0.2999786753131023,0.0340918148106389,-19.193485026156463,0.1050346185919064,110655762.0,30.863358348738416,0.0665766454832344,0.0868862073683394,0.0865482194020851,0.4570750948849344,3.0937954196886643,0.1640016922176226,37.465717468751144,-0.0379230238371841,5977511.0,0.0912635217626675,2.787014503962661,1,3.525889,6.092,0.2465967425657665,0.1110150834106682,0.0138061331160841,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,250,삼천당제약(주),2020,2021,mid_sized,manufacturing,2000,7.038863842960238,2.491111116371183,317078866.0,0.8127188331750878,0.230437833085831,0.0694180734202575,-21.63663831962362,0.0449171830474335,93999919.0,8.650990816289768,0.0522924507999218,0.0174180798287578,0.0643426098490032,0.0547250639493861,0.147641288875328,0.0194755336455979,5.090330240768907,0.0133886343595034,6210656.0,0.0918517855428434,2.8099391238892006,1,7.253727,6.282,0.0913635743285494,0.0928065150746387,-0.0601174355444728,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,250,삼천당제약(주),2021,2022,mid_sized,manufacturing,2000,3.1270429219816704,0.9091852311031758,343947668.0,0.7277284956035812,0.3741388526645444,0.0803611815737038,-20.98700432825976,-0.0619392733293692,83078214.0,-8.063605259425369,-0.0568374256283662,-0.0444634123816766,-0.0781025148413695,-0.0822979138425239,-0.2788333418174017,-0.0460736477242276,-4.063661150178982,-0.0077160604560342,6340174.0,0.1239613870561262,1.7862252699225258,1,3.943238,6.246,0.0571536778834734,0.0847385457723946,-0.1068564563768028,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,250,삼천당제약(주),2022,2023,mid_sized,manufacturing,2000,4.133939207465419,0.5791679617781366,373275926.0,0.6580699340358745,0.5195953362374226,0.1949113884188716,-20.57775921179344,0.0498029130222779,89994652.0,4.376414230751193,0.0238952565079163,0.0327496367928104,0.0363111202503497,0.1040394537319497,0.1825148229907778,0.0748806964159047,4.753869880925914,-0.0119139186061519,7224957.0,0.2065361750653054,1.3894028596380894,1,4.059736,5.851,0.0378764536879288,0.0852695358295029,0.1117421863516472,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,250,삼천당제약(주),2023,2024,mid_sized,manufacturing,2000,2.828051403933444,0.6975360558746119,408021822.0,0.7314806608554383,0.3670901412903231,0.0691776480523632,-24.44690851597308,-0.0217355387737558,96966293.0,3.709572824289328,-0.0111477370933361,0.0234296635242219,-0.0152399614779962,0.2138343719409374,0.8300175830856598,0.1215978016875367,9.090984864182756,-0.0676822182319454,7989572.0,0.2268396394739887,1.7585381394510402,1,6.075394,6.374,0.4331465433099069,0.0930836777295946,-0.0715384517960338,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,1540,안국약품(주),2016,2017,mid_sized,manufacturing,2000,2.394589568654946,0.416355228279309,196267318.0,0.6692236656537998,0.4942687421523553,0.0599787581547326,-19.14146669099753,0.0076600793083423,70386392.0,4.706477934113127,0.0079519454176267,0.0212186473144754,0.0118823434163197,0.1944222622146735,1.0722176680510402,0.0725392795785731,14.264572526416908,-0.057519179020931,2938212.0,0.0132814470924802,2.680234258517541,1,1.27101,6.043,0.8494827075052647,,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,1540,안국약품(주),2017,2018,mid_sized,manufacturing,2000,2.2814791047886898,0.3877312187655899,208065058.0,0.6606231547057748,0.5137222909469261,0.0516481244053963,-20.07777467678544,0.0446213713207338,92176563.0,12.656234944889173,0.0602327277845951,0.0499996111793071,0.0911756231302872,0.247321032369612,1.6251322098943155,0.0951195924716579,21.246194554612035,-0.044560427825416,3070052.0,0.0120294201441551,2.600106097419461,1,1.162362,6.229,0.9305640986509612,0.0601105681792625,0.0369612920123915,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,1540,안국약품(주),2018,2019,mid_sized,manufacturing,2000,2.857170472129322,0.4123812243147187,212923583.0,0.6914160607564076,0.4463071611411546,0.0496330178700778,-21.575378649054393,0.0709467488821889,97786284.0,21.77650971900208,0.0768648628273365,0.0721672760879662,0.1111702015473093,-0.0182816025094544,-0.1136624199000003,-0.0064668495928264,-1.7022978113113425,0.067532383202475,2670023.0,0.019337280267353,2.826971966339505,1,0.877062,6.168,0.9462492571943332,0.0233509895736553,0.0263253775614551,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,1540,안국약품(주),2019,2020,mid_sized,manufacturing,2000,2.7031356244400335,0.4041394803894036,217956961.0,0.6806771452461204,0.4691252843908547,0.0837179042884526,-21.750121833218067,0.0137433227653634,77993897.0,2.335123905881944,0.0099820074110869,0.0110932038550491,0.0146648194093217,0.3172226784891199,1.2099735845540889,0.1416619704839131,21.32294434255372,-0.0914691868914432,3262694.0,0.0164213153990525,2.239293138486614,1,0.94505,6.092,0.9864689344491392,0.0236393636114981,-0.0572034261168254,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,1540,안국약품(주),2020,2021,mid_sized,manufacturing,2000,2.4940978032656296,0.2857783179845547,206983690.0,0.7219188381461361,0.3851972647894426,0.0964770702464527,-21.91375756953081,-0.0096841179714731,84893126.0,-0.0808708312744587,0.0037591464332286,-0.0002957237838401,0.0052071593572512,0.1944086222890839,0.5603546565257062,0.0780517144103558,14.784026920830875,-0.0607689378810475,4116560.0,0.0163216821576617,2.4907668429547,1,1.134689,6.282,0.9965356614543012,-0.0503460451533823,-0.0234274407368366,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,1540,안국약품(주),2021,2022,mid_sized,manufacturing,2000,2.227153305546476,0.2614240798139684,219955957.0,0.6968692691510056,0.4349893793111268,0.0891462557661032,-22.50492423951997,0.0228922296995062,101018234.0,-9.278893805688462,0.0172995678403017,-0.0049286275979331,0.0248246961175053,0.0220795192710476,0.0750786531179478,0.0090021801605209,12.600558061506597,0.0103270356074057,3875433.0,0.0176120349402494,2.452685780259919,1,0.910448,6.246,0.9995792587303812,0.0626728946614102,0.0325763476709794,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,1840,이화공영(주),2014,2015,small_and_medium,construction,1994,,,0.0,,,,,,0.0,1000000.0,,,,,,,1000000.0,,0.0,,,0,,5.726,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
KOSDAQ,1840,이화공영(주),2015,2016,small_and_medium,construction,1994,2.4076977186036363,0.3938373875132664,62024072.522,0.6681577721182453,0.4966524999473145,0.0,-3.184829677225211,0.0113880037128523,8677406.437,1000000.0,0.0307482732663763,0.0221654648928826,0.0460194800531853,-0.053038404744386,,-0.0083949407826621,1000000.0,0.041475859926604,0.0,0.0147076255703208,6.317900997458503,0,,5.913,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
KOSDAQ,1840,이화공영(주),2016,2017,small_and_medium,construction,1994,1.705437040798684,0.1175793992105334,81684827.632,0.5161516635860923,0.9374150478412698,1.1120437250505333e-05,-3.2575250504903623,0.0085503159319714,8493280.079,1000000.0,0.0222118839030177,0.01950465486905,0.0430336381146098,0.0125214405293854,544.805751174355,0.0029985529280072,1000000.0,0.0112171556647938,0.0,0.0111144365645247,4.175827750923412,0,,6.043,1.0,0.3169858783946557,-0.0028376877808808,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
KOSDAQ,1840,이화공영(주),2017,2018,small_and_medium,construction,1994,1.6265397343800188,0.3822120387009398,84461379.635,0.5032587363442255,0.9870494594176444,0.0,-3.2922793354054583,0.0077701465392246,9223154.767,1000000.0,0.0248258065409471,0.0202719372262122,0.0493301054667959,0.3725824233364929,,0.0741629609616312,1000000.0,-0.165686307428028,0.0,0.0,5.023834249676885,0,,6.229,,0.0339910370565842,-0.0007801693927468,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
KOSDAQ,1840,이화공영(주),2018,2019,mid_sized,construction,1994,1.8236708770040089,0.3012768754584973,76432213.334,0.5607977928977869,0.7831739223379285,0.0,-3.3283384776953775,0.0025431341548161,6753042.829,1000000.0,0.0078929897314858,0.0006602119943784,0.0140745734584666,-0.1087200266015063,,-0.0195704234371201,1000000.0,0.0539550945879193,0.0,0.0184069095166993,5.555323161546517,0,,6.168,,-0.0950631677542807,-0.0052270123844084,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
KOSDAQ,1840,이화공영(주),2019,2020,mid_sized,construction,1994,1.6697756640222834,0.0147228903682134,85378591.915,0.500306365622966,0.99877528792749,0.0117125379743386,-3.3134374063908685,0.0019383478310913,7184326.678,0.2925104829620449,0.0041738681677343,0.0014756088051373,0.0083426245487346,-0.1978641398695329,-8.441505281,-0.0609943948912284,-19.59932458422415,0.1020134982862114,0.0,0.0146050491936131,3.2439725030863067,0,,6.092,1.0,0.1170498431323106,-0.0006047863237248,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
