market,stock_code,corp_name,fiscal_year,eval_year,firm_size_group,industry_macro_category,listed_year,current_ratio,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail
KOSDAQ,000250,삼천당제약(주),2025,2026,mid_sized,manufacturing,2000,2.2685033819165166,0.9002749469499783,561231384.431,0.6478490614287833,0.5435694200043661,0.11727103875654998,-30.000205448225625,0.05189634480452529,109375936.409,5.874068804979806,0.022303790907364982,0.015085601384505085,0.03442744959478002,0.049552661036237074,0.1488007292988833,0.042248808075324266,6.794730456108495,0.003984720015733449,9085019.424,0.23119947070414193,1.1728771365074007,1,14.999900575705444,5.803,0.6804416816642367,0.0797641211427558,0.07597161140853889,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,000440,(주)중앙에너비스,2025,2026,small_and_medium,wholesale_retail,1993,,,16864669.358,0.8694735610125799,0.1501212283389162,0.12776584178793127,-18.49918101329787,,8864469.0,-4.563008282473845,-0.009518055088572227,-0.013532432516486934,-0.010946917209866161,-0.10294116377746877,-0.1051653818036599,,-4.530675423995682,0.006012529142879388,1354950.0,,,1,1.876259684200635,5.803,,,,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
KOSDAQ,0007C0,(주)아크릴,2025,2026,other,it_services,2025,,,50936357.0,,,,,,13312020.0,,,,,,,,,,1090230.0,,,0,6.819231122479092,5.803,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KOSDAQ,0008Z0,에스엔시스(주),2025,2026,other,manufacturing,2025,,,232525687.0,,,,,,38509670.0,,,,,,,,,,955796.0,,,1,1.6285769349656274,5.803,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0009K0,(주)에임드바이오,2025,2026,other,it_services,2025,,,198968699.0,,,,,,47278353.0,,,,,,,,,,1087691.0,,,0,19.18968393065717,5.803,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KOSDAQ,001000,신라섬유(주),2025,2026,small_and_medium,other,1994,0.0438712005088853,0.0251303485627819,30736244.622,0.470906756762342,1.123562649377489,,-4.961850035052975,0.0199756542440375,1101951.929,0.7690508787956571,0.0023335284736985,0.0158710355152118,0.004955393908005,0.0442500979363402,,0.2004169088276618,1.1344784768895122,-0.0210788993570237,0.0,5.263528514612431e-05,0.220790242675536,0,,5.803,,0.0033122944383572775,,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
KOSDAQ,0010V0,제이피아이헬스케어(주),2025,2026,other,manufacturing,2025,,,82378185.0,,,,,,20321361.0,,,,,,,,,,1427954.0,,,1,1.1579166090342916,5.803,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0013V0,삼진식품(주),2025,2026,other,manufacturing,2025,,,83070754.0,,,,,,45954576.0,,,,,,,,,,4226343.0,,,0,3.3080528008064283,5.803,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,001540,안국약품(주),2025,2026,mid_sized,manufacturing,2000,1.649300863029018,0.4696958669106539,310952617.469,0.5347742765264808,0.8699478338698333,0.23310030508820564,-24.499786242277125,0.023851697999394943,200302297.894,3.361360072841583,0.02481612559755764,0.03158853357772184,0.04640486030619463,0.31578672825887527,0.6302527534744282,0.14886474287000126,15.633030149681394,-0.12337326982244996,8207005.0,,2.12129965880935,1,0.6635349741136031,5.803,0.30857654503150045,0.0278225319401253,-0.03642945735752397,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,0015G0,(주)그린광학,2025,2026,other,manufacturing,2025,,,99906203.0,,,,,,11067217.0,,,,,,,,,,4567106.0,,,0,2.739875861208301,5.803,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0015N0,(주)아로마티카,2025,2026,other,manufacturing,2025,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0,,5.803,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0015S0,(주)페스카로,2025,2026,other,it_services,2025,,,65755978.0,,,,,,16627917.0,,,,,,,,,,413757.0,,,0,2.382678638318225,5.803,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KOSDAQ,001810,무림에스피(주),2025,2026,mid_sized,manufacturing,2000,1.67237025062572,0.6403677688877352,343812153.418,0.583849772491756,0.7127693580014542,0.26379659198007765,,-0.008123234029057215,18456997.143,0.2721959190293713,-0.004859320734857223,0.005170170653737388,-0.008322895655364562,-0.004686985777014753,-0.007393917346664956,-0.003260564417550501,-0.10268819104919856,-0.0029088796281848957,2116488.0,0.020780943233014704,1.437476822045384,1,0.1649824797560608,5.803,0.5593096763118232,0.059086750861184346,-0.026984973725018804,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,001840,이화공영(주),2025,2026,mid_sized,construction,1994,0.8856155442225815,0.0246109802946728,50469237.978,0.1772336337413919,4.6422699173405,,0.1971825029811114,0.0184677927488641,10575946.116,9.166886485583198,0.0428303613766125,0.0651933617946491,0.2416604595440836,-0.2110094777372145,,-0.0760654989700722,-24.41164070520176,0.2157622958513217,0.0,0.0011563402052045,2.774049741266216,0,,5.803,,-0.06480418173057663,0.0155292645943418,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
KOSDAQ,002230,피에스텍(주),2025,2026,small_and_medium,manufacturing,1991,5.00639504279383,1.6348035113510395,174884643.176,0.7803924264673767,0.2814065924841515,0.2621728195645948,-12.877366916459367,0.09400048085063363,16832163.344,1.0345580821399092,0.06427127299958668,0.03019509643099802,0.08235763292901903,0.49798812964585354,0.41713692892039256,0.19684819460041952,3.7470092145806504,-0.057138588817907864,1639927.0,0.014956131158798893,2.529807960173145,1,1.3882145611184271,5.803,0.23991275899672845,0.01972521250494761,0.024065697932017502,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,002290,(주)삼일기업공사,2025,2026,small_and_medium,construction,1992,3.563950694045408,0.7724005276270698,97803648.974,0.7492681434153952,0.3346356825497634,,-10.819541691290322,0.080285042225273,12335123.907,32758.38516644663,0.0867765641060712,0.0756020584156901,0.1158150988650296,0.645251807631163,,0.1857679997826626,70101.54845869626,-0.091865012729622,252351.426,0.0047379372125797,3.4734281920786607,0,,5.803,,0.13638957810027896,0.0314654318906275,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
KOSDAQ,002680,(주)한탑,2025,2026,small_and_medium,manufacturing,1995,0.47890447518214857,0.09295158793248703,138322418.615,0.34212143070398987,1.9229387879685895,,-1.9286974712439808,0.025330900796567773,15127141.953,0.7121033911697241,0.01568511500683609,0.02113702804125885,0.045846631047229414,0.0268714724160628,,0.029675914738417495,0.5955748277939497,-0.002588357517059601,859766.0,0.01684917472768411,0.9054976957888292,0,0.4882716656934978,5.803,,-0.004143425882036766,0.08847187573419468,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,002800,신신제약(주),2025,2026,small_and_medium,manufacturing,2017,0.984389577318711,0.06421900940141409,137497263.987,0.541975312090906,0.8451024939532104,0.31645814980808606,-8.824346272172967,0.08158403977373695,43105656.53,5.328422792159058,0.07133861341362693,0.07847544786069476,0.131627053524647,0.1362956396184777,0.19726705675768477,0.07544068826334718,4.238729710403348,0.005083590660146422,4134824.0,0.004097385581819767,1.806659546141719,1,1.1929546868837024,5.803,0.972213035617196,0.06188542612360895,0.03635855332793462,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,003100,(주)선광,2025,2026,mid_sized,transport_storage,1999,2.259692718488689,1.427915347114608,691288235.084,0.6280507411792474,0.5922280389676307,0.10006763083649806,-64.78243763833333,0.20733651631626648,60427169.869,6.079353730001782,0.06063484846072445,0.05987390347525673,0.09654450585771875,0.26318551501344617,0.9782549703965306,0.3553756923110081,9.939522513907418,-0.04077881686439316,34293079.0,0.004417107941420358,0.7405838967261682,1,0.2938474266439098,5.803,0.0512065489069233,0.048090044514539236,0.05580671655647387,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
KOSDAQ,003310,대주산업(주),2025,2026,small_and_medium,manufacturing,1992,2.337408482872882,0.913958196398439,147121334.683,0.7603070226219558,0.3152581394703568,0.025682285544386098,-4.982902060822601,0.06693063540203781,25459655.649,33.82262125811598,0.05908469285389401,0.07229018050927818,0.07771162319419013,0.42288317872867753,3.9467721055194462,0.1476732510920895,47.424599684514895,-0.05542129872304755,2650112.0,0.010422116739926341,2.8636410155618925,1,1.0757804777554962,5.803,0.7882708468239045,0.3205196044237368,-0.01148913438257218,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,003380,(주)하림지주,2025,2026,large,it_services,2017,0.7574684579466705,0.2286239776787148,17008288000.0,0.3690902341258568,1.709364560588748,0.5160782202182842,-557.4053549190536,0.03887737493571643,2336816000.0,1.5099794455750135,0.03544219147747263,0.0521761508271732,0.0960258175386649,0.10633682161313876,0.12999761780175395,0.0863471824648631,1.9415560108080883,-0.03688248928992736,699531000.0,0.02523405059933134,1.231503085308081,1,0.1896618259944536,5.803,0.5414001788870246,0.057797899590259515,0.024633295736885892,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
KOSDAQ,003800,(주)에이스침대,2025,2026,mid_sized,manufacturing,1996,3.482793106843088,0.9376673090031136,818415435.596,0.9145027083390191,0.09349047398259416,,-66.4881093236249,0.1764240507385156,197545477.892,6.04921652600547,0.08733517160383009,0.06609239557243801,0.09550017819242335,0.7354940168698989,,0.1622110098841611,5.755448049415513,0.005509829729342947,12583172.0,3.6432784259849716e-05,4.534180616933052,1,0.4541540772666212,5.803,,0.045972786332079074,-0.025756511748357552,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,004590,(주)한국가구,2025,2026,small_and_medium,wholesale_retail,1993,2.667910382118595,0.26697571497940276,252695149.813,0.7909147673427885,0.2643587416627312,0.05390242725703186,-132.240217082,0.10073030864030866,41048171.501,13.120692352996361,0.07307920278907534,0.06939005041440621,0.09239832888011085,0.15761157323158304,0.6113686179929049,0.05880193766234334,6.231190288088142,0.02349783318909799,1105596.0,0.053942526107395625,2.680380604745228,1,0.3602515889021416,5.803,1.0,0.05597720293319469,-0.023459889296838884,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
KOSDAQ,004650,(주)창해에탄올,2025,2026,mid_sized,manufacturing,2014,1.3306298823844032,0.13899331738343002,194591450.816,0.7484939451256925,0.3360161515161927,0.16993501161707272,-30.694558839328312,0.10699140148046245,27338251.496,7.220754011298148,0.0822494539039842,0.08167391770478138,0.10988659886910945,0.4155147370425817,0.6149672822643678,0.16621657030548267,9.2391929816154,-0.037236329692877844,4731703.0,0.24268142321757688,2.4998394340523573,1,0.619664721011678,5.803,1.0,0.023690191352315485,0.01646674061117069,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,004780,(주)대륙제관,2025,2026,mid_sized,manufacturing,1994,4.220887739637497,0.4842701950354804,210380608.892,0.7550373980262793,0.3244377068130268,,-18.97651259133461,0.0344469059887225,28301143.193,18.119898616671975,0.0533798139150981,0.0489698962145734,0.0706982383318186,0.3659731910707253,,0.0707547837963913,33.17230418011615,-0.0460038433768789,0.0,0.00910929783925,5.1724162160381155,0,,5.803,,0.02354272946192414,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,005160,동국산업(주),2025,2026,mid_sized,manufacturing,1999,1.2752434878419878,0.20290964476905166,872019766.188,0.5401732618850379,0.8512578658749396,0.4503135591301965,-7.683680701937572,-0.015197007943812173,62488439.961,0.2720318803912985,-0.011132385933677462,0.00805657102901652,-0.020608917025675935,0.22457602516578187,0.2293203458280687,0.12373517675117497,3.4868011072452822,-0.11594907650086635,19975553.008,0.006250440934185106,1.8149731633502462,1,0.3143828165707311,5.803,0.5005093175462692,-0.07509502739202607,0.02229930694800107,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,005290,(주)동진쎄미켐,2025,2026,mid_sized,manufacturing,1999,1.9519766705357184,0.6419273652855312,2006130721.478,0.5491070549786605,0.8211385028350477,0.3256987714462681,-41.850972427074744,0.0787946710982671,310195979.901,7.592182197174661,0.05630158689997343,0.0859609433895463,0.10253298767425495,0.21143915916400177,0.2927134933452476,0.16016263180013668,8.42023692812342,-0.04843408483840695,65557395.057,0.006285198715121852,1.320152877032215,1,1.7105796175235966,5.803,0.5344685698328246,-0.005383411458283742,-0.023101542510245987,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,005670,(주)푸드웰,2025,2026,mid_sized,manufacturing,1993,1.0851638699276651,0.13060352705822656,238033339.321,0.4879678253992913,1.0493154424305047,0.310683537906724,-22.2305221922,0.03744347678169545,49466195.337,6.405551797389208,0.06595186196934141,0.07710280666713665,0.13515616919081647,0.1389800579216033,0.22905063384818256,0.05288021580957258,5.912022796267056,-0.020773615221738612,10405360.0,0.10200016158349123,2.6282051953434844,1,0.5329195742315255,5.803,0.7765237237035827,0.006430388620872401,-0.0026493730428035767,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,005710,대원산업(주),2025,2026,mid_sized,manufacturing,1993,3.6838727817617927,0.3324906001166911,757072600.835,0.7720601306536913,0.29523590235557884,0.013438274512614829,-57.34087626412345,0.07258701340382222,106831452.989,173.55809492251922,0.12602258090937532,0.09345692859966595,0.16322897130133368,0.6391379736323829,10.841051510539678,0.1041566224489816,270.5504662476045,-0.04415676327492119,17218162.126,0.0012667825264607866,6.136316238033236,1,0.4854229456095295,5.803,1.0,0.06371281230310366,-0.005374299799950286,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,005860,한일사료(주),2025,2026,mid_sized,manufacturing,1994,3.321997587415654,0.9440451865893337,209428791.267,0.7863061501035751,0.2717692718901873,0.1294063747350215,-7.358362756275206,0.013732253267777663,42954121.358,3.279668278267395,0.035932274337610454,0.027987894876054707,0.045697562371701306,0.35166787171805514,0.5807230250147445,0.034601174033090175,8.806115994613783,-0.045324588699451246,3003526.0,0.00025369005225391744,10.16346645873184,1,0.7345936235903284,5.803,0.7977124493871869,0.00890112548717092,0.005223318370052105,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,005990,매일홀딩스(주),2025,2026,mid_sized,manufacturing,1999,2.105232816759643,0.7355154657852059,1423606242.799,0.601344295942983,0.662940858916563,0.14918883032320823,-123.8080657457365,0.031972218991877806,681948591.513,6.418358273828534,0.06601360810432237,0.044937087435231456,0.10977672616118322,0.12897952024635403,0.34465329167975756,0.03332993792414849,7.344086357045373,-0.002094566285504136,75654497.0,0.027761293200215347,3.8697797919660895,1,0.1719613309680116,5.803,0.5295979572960008,0.04858015483457885,0.0070034562547860515,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,006050,(주)국영지앤엠,2025,2026,small_and_medium,manufacturing,1994,2.028440259854984,1.091084387014022,73663110.356,0.7111468322995285,0.4061793635028231,,-2.002431453880404,0.0281564855696617,4510944.64,3.8953111331736,0.0265962673790412,0.0126158051636534,0.0373991223346111,0.170471918268096,,0.0602547097277964,15.20397552005161,-0.0262313105930723,1147988.679,0.0080399613882413,2.829188274878614,0,,5.803,,0.009911193182276767,,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,006140,(주)피제이전자,2025,2026,mid_sized,manufacturing,1993,1.8456240649221065,0.6088346351450474,198058302.5,0.7037575555611965,0.4209438919665613,,-17.584670243466668,0.0523896256720955,13680287.14,10.565793203279949,0.057250364720257,0.0553357937166001,0.0813495560621071,0.4581962089584355,,0.1505657548987617,25.917597251147548,-0.0885071738812868,0.0,0.0068709248278041,3.043163495354704,0,,5.803,,0.03230148412563292,0.015765533108703,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,006620,(주)동구바이오제약,2025,2026,mid_sized,manufacturing,2018,0.9187279530816782,0.1568373019382402,336349564.434,0.4523839577495791,1.2105116303738566,0.38058003125530515,-9.69096714631081,0.20673602664267995,144498541.828,2.635726827897024,0.18258584525103694,0.027493812999465298,0.40360813446905835,-0.02327613266273497,-0.03349199275017137,-0.0176656613539354,-1.221947110044933,0.16191355359309909,6469441.976,0.024744274775575403,1.317591920075481,1,1.0232937638642257,5.803,0.8214774712740975,0.37814010831246436,0.19874982315893897,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,006730,(주)서부티엔디,2025,2026,mid_sized,it_services,1995,0.4656298505614171,0.08075951199985357,3255148135.822,0.4260776426240166,1.3469900787130231,0.4758397425749903,-40.13922992164421,0.4679155029186723,128216485.91,1.181034859235486,0.04557773366450345,0.021607979256599404,0.10697048872081415,0.05680775556931122,0.06851727183851108,0.4273684015442919,1.7820067152142667,0.0030932724855722493,17038388.769,0.0048184126646633445,0.13292455727666552,1,0.6132486679126601,5.803,0.7167867972355417,0.1246136481809216,0.12305423609914973,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KOSDAQ,006910,보성파워텍(주),2025,2026,small_and_medium,manufacturing,1994,4.151950346218468,1.194834677630625,133280442.52,0.8270610457303874,0.2091005919845832,,-3.4873379626192023,0.1377375411038958,35072873.356,75.72281697097607,0.1941765579230911,0.2011247070625347,0.2347789911343382,1.896139672250037,,0.2963312453023325,123.45949344297814,-0.1754977893211154,1306265.658,0.0098338400159747,6.398716646688731,0,,5.803,,0.37171076337244224,,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,006920,(주)모헨즈,2025,2026,mid_sized,manufacturing,1989,2.9526134359034955,0.44543766815716773,59790459.998,0.6427115068739296,0.555908038528636,,-6.038098286080586,-0.04317995941562032,3215698.63,-42.776325962573665,-0.05599259443917951,-0.04949219109702424,-0.08711932778599321,0.005894945110041934,,0.0015516122890153101,1.8203948342364373,-0.06071971751214891,1560117.0,0.035041440725996804,3.799238477147539,0,0.9292282763380688,5.803,,-0.13229048579775826,-0.0635622845110884,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,007370,진양제약(주),2025,2026,small_and_medium,manufacturing,2000,0.5225391333805227,0.0250189363577865,267809077.303,0.5969056830815991,0.6753065489967809,0.2853526348008665,-21.61923326419088,0.1846677003085682,78151057.747,0.5662222397811507,0.1049282986782659,0.0094329959852025,0.1757870659507892,0.0135706845265242,0.019170195548227,0.0121388068415045,0.3283565649363599,0.0777489022914711,0.0,0.0275780772533107,1.1179586843843592,0,,5.803,0.9953900071981856,0.17680168996322237,,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,007390,(주)네이처셀,2025,2026,small_and_medium,manufacturing,1992,3.318326628898052,1.9270110326157188,74731473.448,0.8434182069601204,0.18565142624112618,0.06690621460152425,-0.9563849013803915,-0.13688747124613584,9457492.795,-17.83070237367711,-0.03702184235568613,-0.04879127212093772,-0.043895000191093395,0.013394465481095666,0.0313473036,0.0075591723695886005,0.7664661131954861,-0.04007742921172331,1631618.0,,1.7719486772101012,0,22.286003231641622,5.803,1.0,0.0379730456806707,-0.1748092127839731,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
KOSDAQ,007530,(주)와이엠,2025,2026,mid_sized,manufacturing,1994,0.8877018697603825,0.20594197075680312,148546744.064,0.354516874030648,1.820740205199795,0.39429932521284233,-3.732792371302338,0.01412068607183765,26666546.204,1.2882615801964556,0.022708685102829612,0.026832898062597012,0.06405530107677314,0.05061455617577158,0.08285797071109041,0.027396311395534126,1.568544343053929,-0.0158315420766596,5470966.0,0.0018453168443860319,1.8474952866838221,1,1.0649104457537548,5.803,0.8366208826269539,-0.05023789607642143,-0.016044989720075283,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
