error_type,feature,direction,case_count,appearance_count,mean_abs_shap,mean_shap_value,median_rank,feature_group,korean_name,description,case_share
false_negative,net_margin_diff,increase_risk,1,1,0.5208660364151001,0.5208660364151001,4.0,trend_early_warning,순이익률 변화,전년 대비 순이익률 변화폭,0.043478260869565216
false_negative,ocf_to_total_liabilities,decrease_risk,1,1,0.3366247713565826,-0.3366247713565826,8.0,cashflow_structure,OCF/부채총계,총부채 대비 영업현금흐름 비율,0.043478260869565216
false_negative,pretax_roe,increase_risk,1,1,0.260236382484436,0.260236382484436,6.0,profitability_returns,세전계속사업이익 기준 ROE,자기자본 대비 세전이익 비율,0.043478260869565216
false_negative,market,decrease_risk,1,1,0.2421025037765503,-0.2421025037765503,7.0,context,시장구분,상장시장 구분,0.043478260869565216
false_negative,short_term_borrowings_share,increase_risk,1,1,0.2114819586277008,0.2114819586277008,9.0,trend_early_warning,단기차입금 비중,총차입금 중 단기차입금 비중,0.043478260869565216
false_negative,debt_ratio,increase_risk,1,1,0.182165578007698,0.182165578007698,9.0,stability_leverage,부채비율,자기자본 대비 총부채 비율,0.043478260869565216
false_negative,pretax_roe,decrease_risk,1,1,0.1726365983486175,-0.1726365983486175,10.0,profitability_returns,세전계속사업이익 기준 ROE,자기자본 대비 세전이익 비율,0.043478260869565216
false_negative,operating_roa,increase_risk,1,1,0.1301203966140747,0.1301203966140747,9.0,profitability_returns,총자산영업이익률,총자산 대비 영업이익 비율,0.043478260869565216
false_positive,gross_profit,increase_risk,72,72,0.39617074508633876,0.39617074508633876,4.0,profitability_returns,매출총이익,매출총이익(손실),0.8888888888888888
false_positive,dividend_payer,increase_risk,58,58,0.25173607751213267,0.25173607751213267,7.0,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,0.7160493827160493
false_positive,firm_size_group,increase_risk,51,51,0.2933852225542068,0.2933852225542068,6.0,context,기업규모 그룹,모델링용 기업규모 그룹,0.6296296296296297
