variant,note,feature_count,best_iteration,threshold_tuned,test_pr_auc,test_roc_auc,test_precision,test_recall,test_f1,test_balanced_accuracy,test_brier,test_logloss,raw_test_brier,raw_test_logloss
xgboost_native_missing,XGBoost가 NaN 방향을 직접 학습,43,332,0.28870901465415955,0.7743939580944008,0.9110393075235668,0.6092436974789915,0.8682634730538922,0.7160493827160493,0.842052528606154,0.10178817167985191,0.3210880411511589,0.11845694202942965,0.3719453511720213
median_imputation,비교 기준: train 중앙값으로 결측 대체,43,184,0.40560799837112427,0.7665896204556483,0.9030888717614277,0.6666666666666666,0.7544910179640718,0.7078651685393258,0.8148692713582735,0.105235651731444,0.33229953401352547,0.12728811108917354,0.39120232595319476
median_plus_missing_indicators,중앙값 대체 + 결측 여부 indicator 20개 추가,63,273,0.38702699542045593,0.7783368026426888,0.9090116796110749,0.654639175257732,0.7604790419161677,0.703601108033241,0.8139028872947175,0.10263715288408826,0.3237360367305673,0.1197801803371679,0.3724315649039086
market_industry_median_imputation,train 기준 시장+산업별 중앙값 대체,43,266,0.3089810013771057,0.7779725494490384,0.9066342562399952,0.6079295154185022,0.8263473053892215,0.700507614213198,0.8250548408134226,0.10277683935425924,0.32433077263258303,0.12055984833688421,0.37235982991423455
