rule,threshold,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,delta_precision,delta_recall,delta_f1,delta_false_positive,delta_false_negative
valid_policy,0.315,0.6293103448275862,0.874251497005988,0.731829573934837,419.0,86.0,21.0,146.0,-0.010689655172413826,0.0119760479041916,-0.0028643036161833946,5.0,-2.0
test_best_f1_diagnostic,0.315,0.6293103448275862,0.874251497005988,0.731829573934837,419.0,86.0,21.0,146.0,-0.010689655172413826,0.0119760479041916,-0.0028643036161833946,5.0,-2.0
test_max_precision_recall_ge_0.85_diagnostic,0.325,0.6327433628318584,0.8562874251497006,0.727735368956743,422.0,83.0,24.0,143.0,-0.007256637168141622,-0.005988023952095856,-0.0069585085942774905,2.0,1.0
test_max_precision_recall_ge_baseline_diagnostic,0.315,0.6293103448275862,0.874251497005988,0.731829573934837,419.0,86.0,21.0,146.0,-0.010689655172413826,0.0119760479041916,-0.0028643036161833946,5.0,-2.0
