feature_name,abs_coefficient
industry_macro_category,4.063954168321285
firm_size_group,2.5596517965272376
gross_profit,2.5458450500261276
capital_impairment_ratio,2.2379405249170374
depreciation,2.097771608681187
debt_ratio,1.536958654036542
market,1.0845957970145435
assets_total,0.6715427033750266
ocf_to_total_liabilities,0.62812027609177
net_margin_diff,0.5807443334419045
dividend_payer,0.544912311352045
net_margin,0.35120779159829496
operating_roa,0.31599438725298395
equity_ratio,0.30741233555257547
interest_coverage_ratio,0.263545120721086
short_term_borrowings_share,0.2355487714553655
pretax_roa,0.22816284648694315
accruals_ratio,0.2127578452800225
total_debt_turnover,0.15950596074971995
current_ratio,0.135821028868674
is_2y_consecutive_ocf_deficit,0.132938871806287
cash_ratio,0.13193679696896968
pretax_roe,0.13129098176419615
total_borrowings_ratio,0.12978380095121317
total_assets_growth,0.1211903074194995
intangible_assets_ratio,0.11750688186059682
listed_year,0.09465357287205393
market_to_book,0.022494363785398302
spec_spread,0.017115306222680503
