threshold_type,threshold,selection_rule,valid_precision,valid_recall,valid_f1,test_precision,test_recall,test_f1,test_pr_auc,test_roc_auc
default_0_5,0.5,fixed default,0.6428571428571429,0.8181818181818182,0.72,0.625,0.8433734939759037,0.717948717948718,0.7812212022115401,0.9088285412566601
tuned,0.5436819791793823,maximize precision subject to recall >= 0.80,0.6546762589928058,0.8005865102639296,0.7203166226912929,0.6308411214953271,0.8132530120481928,0.7105263157894737,0.7812212022115401,0.9088285412566601
