market,stock_code,corp_name,fiscal_year,eval_year,firm_size_group,industry_macro_category,listed_year,current_ratio,cash_ratio,assets_total,assets_total_industry_year_pct,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,gross_profit_industry_year_pct,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,depreciation_industry_year_pct,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail
KOSDAQ,000250,삼천당제약(주),2025,2026,mid_sized,manufacturing,2000,2.268503381916517,0.9002749469499783,561231384.431,0.7588161209068011,0.6478490614287833,0.5435694200043661,0.1172710387565499,-30.000205448225625,0.0518963448045252,109375936.409,0.8003778337531486,5.874068804979806,0.0223037909073649,0.015085601384505,0.03442744959478,0.049552661036237,0.1488007292988833,0.0422488080753242,6.794730456108495,0.0039847200157334,9085019.424,0.6889168765743073,0.2311994707041419,1.1728771365074009,1,14.999900575705444,5.803,0.6804416816642367,0.0797641211427558,0.0759716114085388,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,000440,(주)중앙에너비스,2025,2026,small_and_medium,wholesale_retail,1993,,,16864669.358,0.006134969325153374,0.8694735610125799,0.1501212283389162,0.1277658417879312,-18.49918101329787,,8864469.0,0.20245398773006135,-4.563008282473845,-0.0095180550885722,-0.0135324325164869,-0.0109469172098661,-0.1029411637774687,-0.1051653818036599,,-4.530675423995682,0.0060125291428793,1354950.0,0.3619631901840491,,,1,1.876259684200635,5.803,,,,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
KOSDAQ,0007C0,(주)아크릴,2025,2026,other,it_services,2025,,,50936357.0,0.18050541516245489,,,,,,13312020.0,0.3483754512635379,,,,,,,,,,1090230.0,0.34296028880866425,,,0,6.819231122479092,5.803,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KOSDAQ,0008Z0,에스엔시스(주),2025,2026,other,manufacturing,2025,,,232525687.0,0.5396725440806045,,,,,,38509670.0,0.6164987405541562,,,,,,,,,,955796.0,0.2260705289672544,,,1,1.6285769349656274,5.803,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0009K0,(주)에임드바이오,2025,2026,other,it_services,2025,,,198968699.0,0.5631768953068592,,,,,,47278353.0,0.5812274368231047,,,,,,,,,,1087691.0,0.34115523465703973,,,0,19.18968393065717,5.803,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KOSDAQ,001000,신라섬유(주),2025,2026,small_and_medium,other,1994,0.0438712005088853,0.0251303485627819,30736244.622,0.02631578947368421,0.470906756762342,1.123562649377489,,-4.961850035052975,0.0199756542440375,1101951.929,0.02631578947368421,0.7690508787956571,0.0023335284736985,0.0158710355152118,0.004955393908005,0.0442500979363402,,0.2004169088276618,1.1344784768895122,-0.0210788993570237,0.0,0.07894736842105263,5.263528514612431e-05,0.220790242675536,0,,5.803,,0.0033122944383572,,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
KOSDAQ,0010V0,제이피아이헬스케어(주),2025,2026,other,manufacturing,2025,,,82378185.0,0.21536523929471033,,,,,,20321361.0,0.44962216624685136,,,,,,,,,,1427954.0,0.28022670025188917,,,1,1.1579166090342916,5.803,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0013V0,삼진식품(주),2025,2026,other,manufacturing,2025,,,83070754.0,0.22103274559193956,,,,,,45954576.0,0.6517632241813602,,,,,,,,,,4226343.0,0.52455919395466,,,0,3.3080528008064283,5.803,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,001540,안국약품(주),2025,2026,mid_sized,manufacturing,2000,1.649300863029018,0.4696958669106539,310952617.469,0.6190176322418136,0.5347742765264808,0.8699478338698333,0.2331003050882056,-24.499786242277125,0.0238516979993949,200302297.894,0.8866498740554156,3.361360072841583,0.0248161255975576,0.0315885335777218,0.0464048603061946,0.3157867282588752,0.6302527534744282,0.1488647428700012,15.633030149681394,-0.1233732698224499,8207005.0,0.672544080604534,,2.12129965880935,1,0.6635349741136031,5.803,0.3085765450315004,0.0278225319401253,-0.0364294573575239,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,0015G0,(주)그린광학,2025,2026,other,manufacturing,2025,,,99906203.0,0.28022670025188917,,,,,,11067217.0,0.29974811083123426,,,,,,,,,,4567106.0,0.5409319899244333,,,0,2.739875861208301,5.803,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
