candidate_id,is_baseline,folds,max_depth,min_child_weight,gamma,reg_alpha,reg_lambda,subsample,colsample_bytree,scale_pos_weight_multiplier,eval_pr_auc_mean,eval_pr_auc_std,eval_pr_auc_min,eval_pr_auc_max,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_min,eval_roc_auc_max,eval_brier_mean,eval_brier_std,eval_brier_min,eval_brier_max,eval_logloss_mean,eval_logloss_std,eval_logloss_min,eval_logloss_max,eval_precision_at_threshold_mean,eval_precision_at_threshold_std,eval_precision_at_threshold_min,eval_precision_at_threshold_max,eval_recall_at_threshold_mean,eval_recall_at_threshold_std,eval_recall_at_threshold_min,eval_recall_at_threshold_max,eval_f1_at_threshold_mean,eval_f1_at_threshold_std,eval_f1_at_threshold_min,eval_f1_at_threshold_max,eval_false_positive_at_threshold_mean,eval_false_positive_at_threshold_std,eval_false_positive_at_threshold_min,eval_false_positive_at_threshold_max,eval_false_negative_at_threshold_mean,eval_false_negative_at_threshold_std,eval_false_negative_at_threshold_min,eval_false_negative_at_threshold_max,total_false_positive,total_false_negative,final_threshold_tuned,final_eval_pr_auc,final_eval_roc_auc,final_eval_brier,final_eval_logloss,final_eval_precision_at_threshold,final_eval_recall_at_threshold,final_eval_f1_at_threshold,final_eval_false_positive_at_threshold,final_eval_false_negative_at_threshold
grid_regularized_043,False,4,3,8.0,1.0,0.05,3.0,0.9,0.65,1.0,0.8337223754649299,0.014658605632066262,0.8212562704105578,0.8585282676574629,0.9301254200706406,0.007656455158752713,0.9225841088045812,0.9423899665943856,0.08702845514830107,0.004958939111382637,0.08037598953711617,0.09251262396493522,0.2841969344320499,0.015345405407320763,0.26117838581352276,0.29992261225182676,0.694097830364402,0.035008207826359265,0.6602870813397129,0.7485029940119761,0.8433984475789111,0.011832238355687828,0.8278145695364238,0.8571428571428571,0.7608405514204626,0.018386976859463458,0.7379679144385026,0.7861635220125787,59.25,10.709224995301948,42.0,71.0,24.75,2.7726341266023544,20.0,27.0,237,99,0.315,0.8156709179817432,0.9371289191940585,0.07853653099363211,0.2566762748661794,0.6923076923076923,0.8423645320197044,0.76,76,32
baseline_current,True,4,4,3.0,0.0,0.0,1.0,0.9,0.9,1.0,0.8362776703954942,0.011519384840055576,0.8217395440230841,0.8539769071400813,0.9312440804544471,0.0066924824006917025,0.9226079694583632,0.9408222469671218,0.08619087556385366,0.004340350328064914,0.08156045581514801,0.09093402184296816,0.2817526781913564,0.013273296595601513,0.26482676658392096,0.29620962359363856,0.6916675349549772,0.03481138211938044,0.6456310679611651,0.7407407407407407,0.8432101287233738,0.0430173088839391,0.7947019867549668,0.8863636363636364,0.7588689376474644,0.025121692196728062,0.7169811320754716,0.7839195979899497,60.0,11.510864433221338,42.0,73.0,24.75,6.905613658466566,16.0,32.0,240,99,0.3,0.832111964389642,0.9415289383245767,0.0758321780660485,0.2469533535688416,0.6941176470588235,0.8719211822660099,0.7729257641921398,78,26
grid_regularized_065,False,4,4,5.0,1.0,0.05,1.0,0.9,0.9,0.8,0.8369920469931819,0.01288036390395611,0.8261579391869426,0.8588245176276005,0.9321331552648493,0.006354594617173445,0.9262347888332141,0.9428588173240344,0.0854453027705297,0.003547499496707627,0.0802039519828702,0.08926624287207281,0.2799257416258791,0.01209653780463598,0.260162829856199,0.2905576459206933,0.6917781454994252,0.04366660791711572,0.6505376344086021,0.75625,0.8431070998537886,0.024541616527478362,0.8013245033112583,0.8642857142857143,0.7584549232946725,0.017315968326469092,0.7401574803149606,0.7781350482315113,60.25,13.179055353097201,39.0,75.0,24.75,3.960744879438715,19.0,30.0,241,99,0.315,0.8320806838277315,0.9410643400312921,0.07622648005598949,0.248139560603862,0.7032520325203252,0.8522167487684729,0.7706013363028953,73,30
grid_regularized_079,False,4,4,8.0,3.0,0.05,3.0,0.9,0.8,1.0,0.8313035905911549,0.010553803807247982,0.8187706565389875,0.8469507206231347,0.9296153833858436,0.005864319809311011,0.9222142686709616,0.9386245091718923,0.08791466749914219,0.003479145938003105,0.08388726602165371,0.09250167861631536,0.28531397807048114,0.009959324601522056,0.2697864058976368,0.29614506031436294,0.6898919753086419,0.041326581824293135,0.6455026455026455,0.7530864197530864,0.8449385947937272,0.02369510717994533,0.8079470198675497,0.8714285714285714,0.7582338874099024,0.017056134341751728,0.7413333333333333,0.7795527156549521,60.75,12.173228823939851,40.0,71.0,24.5,4.031128874149275,18.0,29.0,243,98,0.295,0.8302211635632372,0.9406544003607468,0.07661947951972961,0.24921363416043787,0.6771653543307087,0.8472906403940886,0.7527352297592997,82,31
grid_regularized_069,False,4,4,8.0,0.0,0.05,1.0,0.9,0.65,1.0,0.8369207702520818,0.013534588453554007,0.8265584857315893,0.8601798347464529,0.9309380079647605,0.006671871325593889,0.9234550226676213,0.9417306452558166,0.08709554703541167,0.004055908863588293,0.08143696061765678,0.09097142149300172,0.2826770696150195,0.012685031867014467,0.26225129694653426,0.29429347068350276,0.6950002788497955,0.03998266609434742,0.6553398058252428,0.7610062893081762,0.8336509310226198,0.024631421233628225,0.8013245033112583,0.8579545454545454,0.756920476920554,0.019210686359892037,0.7277628032345014,0.7806451612903226,58.75,12.910751333675357,38.0,71.0,26.25,4.14578098794425,20.0,30.0,235,105,0.275,0.8292225985276422,0.9402786223294138,0.07748022519241887,0.2508621314114114,0.6730038022813688,0.8719211822660099,0.759656652360515,86,26
grid_regularized_067,False,4,4,5.0,3.0,0.2,3.0,0.9,0.9,1.0,0.8333529063866778,0.012740790875777723,0.8218982085291816,0.8549006976816875,0.930904986004187,0.007043268347597929,0.9216893342877595,0.9409687628201371,0.08701634959227023,0.004586114294871435,0.08203611960942826,0.0924139079535786,0.282900781097834,0.013536163963283759,0.2643037816693509,0.2981054346521022,0.6866556528435444,0.036841058929491056,0.6431924882629108,0.7393939393939394,0.8440592657893984,0.028705095169487656,0.8079470198675497,0.8857142857142857,0.7561650446913482,0.018780666596993012,0.7248677248677249,0.7721518987341772,61.5,11.84271928232701,43.0,76.0,24.75,5.165994579942956,16.0,29.0,246,99,0.32,0.8283976246905644,0.9396500481679113,0.07713925097972278,0.25132280548551394,0.6947791164658634,0.8522167487684729,0.7654867256637168,76,30
grid_regularized_086,False,4,4,12.0,0.5,0.0,3.0,0.65,0.9,1.2,0.8302554268398602,0.011917385424836719,0.8167224108224502,0.8483815476477147,0.9299788769231835,0.006103466464758885,0.9222739203054163,0.9383607806364649,0.08766125101559077,0.004425308982516304,0.08289670529726896,0.09222008132634761,0.28570124590733126,0.012497729708626868,0.27027183712043457,0.29868780048471333,0.6858644851198534,0.051459496340834285,0.6138613861386139,0.7577639751552795,0.8467107809409135,0.03405174073466043,0.8079470198675497,0.8857142857142857,0.75568553701936,0.02391574514310748,0.7251461988304093,0.782051282051282,62.25,14.306903927824496,39.0,78.0,24.25,5.673402858955108,16.0,30.0,249,97,0.28,0.8241403337626484,0.9390624679734633,0.07833880544394531,0.2530553745196917,0.6679245283018868,0.8719211822660099,0.7564102564102564,88,26
grid_regularized_027,False,4,3,5.0,0.5,0.05,6.0,0.9,0.8,1.2,0.8363279745067047,0.012202967454105942,0.8199101635075928,0.8543354261951784,0.9312973012080168,0.006254184772066498,0.922667621092818,0.9402654867256637,0.08654423370440933,0.004763403348623987,0.08123848783824779,0.09227450775015568,0.2813447570851592,0.012866394624319124,0.26378009174175115,0.2965301186863113,0.6916431801052492,0.0411157942837193,0.648936170212766,0.7515527950310559,0.8358019050485939,0.02756676456278277,0.8013245033112583,0.8714285714285714,0.7556172676709514,0.01947665394167571,0.7297297297297297,0.7756410256410257,59.5,11.6081867662439,40.0,70.0,26.0,4.898979485566356,18.0,30.0,238,104,0.33,0.8251550899200873,0.9380102894857306,0.07778350570162311,0.2545331852519537,0.7012448132780082,0.8325123152709359,0.7612612612612613,72,34
grid_regularized_063,False,4,4,5.0,0.5,0.2,1.0,0.9,0.65,0.8,0.833873001511981,0.013033527778544152,0.8251607121699738,0.8563946639075194,0.9313658730721134,0.006033824411487126,0.9246361250298257,0.9406903826994081,0.08667994049833908,0.004070693724232928,0.08163088897984533,0.09071144567704112,0.28232823884008706,0.012756429040433725,0.2634357907126405,0.29469126577369525,0.6798725912518349,0.026053598362275703,0.6476683937823834,0.72,0.8508576481465555,0.028069860301546092,0.8181818181818182,0.8928571428571429,0.7550639434005272,0.012804049439059533,0.7377049180327869,0.7730061349693251,63.5,8.558621384311845,49.0,71.0,23.75,5.448623679425842,15.0,30.0,254,95,0.3,0.8310308175348968,0.942676769402103,0.07565299953204385,0.24627218196909015,0.6807692307692308,0.8719211822660099,0.7645788336933045,83,26
grid_regularized_071,False,4,4,8.0,0.0,0.05,6.0,0.8,0.65,1.0,0.8320683005712002,0.013276439821718939,0.8180021743329152,0.8537835661189295,0.9304463403396518,0.007841223698586502,0.9202099737532808,0.9415108714762936,0.08774909193902622,0.005377237074866631,0.08173548492894074,0.0940404314536519,0.28446352922035,0.015389352179526819,0.2639782511820877,0.3019897745989272,0.6909438066823446,0.03045337281951986,0.6600985221674877,0.7365269461077845,0.8340671676557437,0.03013851125454311,0.8121212121212121,0.8857142857142857,0.7549405320506442,0.016568212790831018,0.7282608695652174,0.7735849056603774,59.25,9.256754290786809,44.0,69.0,26.5,6.18465843842649,16.0,31.0,237,106,0.3,0.8167517118619751,0.9376140144708703,0.07898343015135861,0.2560214433589768,0.6589147286821705,0.8374384236453202,0.737527114967462,88,33
