variant,display_name,fit_scope,eval_year,policy_year,note,rows,positive_rows,positive_rate,pr_auc,roc_auc,brier,logloss,ece,mce,mean_probability,calibration_bias
fold_platt,Fold Platt,rolling_policy_year,2019,2018,Platt fitted on the fold policy year.,574,140,0.24390243902439024,0.8339327529852092,0.9332620144832127,0.08156045593684022,0.27283373949970724,0.031452061363135726,0.292574557282545,0.24842547027241407,0.004523031248023834
fold_isotonic,Fold Isotonic,rolling_policy_year,2019,2018,Isotonic fitted on the fold policy year.,574,140,0.24390243902439024,0.8033270755727744,0.9310977616853193,0.07967512422092518,0.2825306752981089,0.024581372581321825,0.4229490120530792,0.24993071157266186,0.006028272548271624
fold_beta,Fold Beta,rolling_policy_year,2019,2018,Beta calibration fitted on the fold policy year.,574,140,0.24390243902439024,0.8339327529852092,0.9332620144832127,0.08204134194703032,0.2737295794878883,0.03165299313548186,0.2912493187384405,0.2487588877049113,0.004856448680521069
fold_segment_market_platt,Fold Market Segment Platt,rolling_policy_year_market,2019,2018,Market-specific Platt fitted on the fold policy year.,574,140,0.24390243902439024,0.8264631849178976,0.9317972350230415,0.08215530233043386,0.27550199653424345,0.0418624055002126,0.21825279378176587,0.25022003127280223,0.006317592248411996
fold_segment_industry_platt,Fold Industry Segment Platt,rolling_policy_year_industry,2019,2018,Industry-specific Platt fitted on the fold policy year.,574,140,0.24390243902439024,0.8338736643100412,0.9328176431863068,0.0820851490438522,0.2745752848505822,0.03417638489189258,0.2443906265032959,0.2482042367114995,0.0043017976871092545
fold_platt,Fold Platt,rolling_policy_year,2020,2019,Platt fitted on the fold policy year.,603,151,0.2504145936981758,0.8539769071400813,0.9408222469671218,0.08217155868174439,0.26482676391725424,0.03520528625702008,0.2222003563309688,0.24694022980628375,-0.0034743638918920683
fold_isotonic,Fold Isotonic,rolling_policy_year,2020,2019,Isotonic fitted on the fold policy year.,603,151,0.2504145936981758,0.8270582873590984,0.9351374318701284,0.08561325168336231,0.3108724732523764,0.0430739691373398,0.17536585365853657,0.24529719051141946,-0.005117403186756353
fold_beta,Fold Beta,rolling_policy_year,2020,2019,Beta calibration fitted on the fold policy year.,603,151,0.2504145936981758,0.8539769071400813,0.9408222469671218,0.082142380605092,0.264623872204998,0.03342567099988237,0.22720402497220304,0.2469160997977772,-0.003498493900398608
fold_segment_market_platt,Fold Market Segment Platt,rolling_policy_year_market,2020,2019,Market-specific Platt fitted on the fold policy year.,603,151,0.2504145936981758,0.8534556173646771,0.9404706089198851,0.08251678184543307,0.26573556189090786,0.024308051672706218,0.09448514727327262,0.24717266186891065,-0.00324193182926516
fold_segment_industry_platt,Fold Industry Segment Platt,rolling_policy_year_industry,2020,2019,Industry-specific Platt fitted on the fold policy year.,603,151,0.2504145936981758,0.8471081173530774,0.9378479751509113,0.08390093340732477,0.2737523699629675,0.04327215943011369,0.19136636344944577,0.24831113791794404,-0.002103455780231772
fold_platt,Fold Platt,rolling_policy_year,2021,2020,Platt fitted on the fold policy year.,673,165,0.2451708766716196,0.8217395440230841,0.9226079694583632,0.09093402243744587,0.29620962550037194,0.03093233096740693,0.29810336781612734,0.25535647445079873,0.010185597779179129
fold_isotonic,Fold Isotonic,rolling_policy_year,2021,2020,Isotonic fitted on the fold policy year.,673,165,0.2451708766716196,0.8004168891020633,0.9242722500596516,0.09141686334290994,0.35026867730150424,0.03470543971498818,0.24323518200876687,0.25704201723062836,0.011871140559008758
fold_beta,Fold Beta,rolling_policy_year,2021,2020,Beta calibration fitted on the fold policy year.,673,165,0.2451708766716196,0.8217395440230841,0.9226079694583632,0.09097526577875503,0.296346846051371,0.0299425798451057,0.2960052740176746,0.25544030562513514,0.010269428953515541
fold_segment_market_platt,Fold Market Segment Platt,rolling_policy_year_market,2021,2020,Market-specific Platt fitted on the fold policy year.,673,165,0.2451708766716196,0.8247555864997864,0.92294201861131,0.09049085782900496,0.29466041305181573,0.03781034788699968,0.22973151684085436,0.25549727255382954,0.010326395882209932
fold_segment_industry_platt,Fold Industry Segment Platt,rolling_policy_year_industry,2021,2020,Industry-specific Platt fitted on the fold policy year.,673,165,0.2451708766716196,0.8205115257198246,0.9224886661894536,0.09121422481413732,0.29693232080400306,0.029870576552150908,0.17341251737230123,0.2555643554236914,0.010393478752071778
fold_platt,Fold Platt,rolling_policy_year,2022,2021,Platt fitted on the fold policy year.,676,176,0.2603550295857988,0.835461477433602,0.9282840909090908,0.09009746453445143,0.29314058252680314,0.03097282153712068,0.1299887505878295,0.25741732849171756,-0.0029377010940812576
fold_isotonic,Fold Isotonic,rolling_policy_year,2022,2021,Isotonic fitted on the fold policy year.,676,176,0.2603550295857988,0.8013098712869476,0.9254147727272728,0.09414191902067244,0.3193673189575666,0.03995336843675169,0.6615429947242439,0.2612440237481638,0.0008889941623649866
fold_beta,Fold Beta,rolling_policy_year,2022,2021,Beta calibration fitted on the fold policy year.,676,176,0.2603550295857988,0.835461477433602,0.9282840909090908,0.08999830051547839,0.2930447323444398,0.03323450554213256,0.12313610053684387,0.2573774174074128,-0.002977612178385991
fold_segment_market_platt,Fold Market Segment Platt,rolling_policy_year_market,2022,2021,Market-specific Platt fitted on the fold policy year.,676,176,0.2603550295857988,0.8170145268754452,0.9263181818181819,0.09114046118756307,0.29777497980512474,0.03150400861899978,0.178680265066259,0.25622323626350885,-0.004131793322289967
