variant,display_name,operating_mode,operating_mode_display,dimension,segment,rows,positive_rows,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
isotonic_valid,Isotonic Valid,recall_first,Recall 우선,market,KOSDAQ,427,163,0.6379310344827587,0.9079754601226994,0.7493670886075949,180,84,15,148
isotonic_valid,Isotonic Valid,recall_first,Recall 우선,market,KOSPI,497,40,0.5901639344262295,0.9,0.7128712871287128,432,25,4,36
isotonic_valid,Isotonic Valid,recall_first,Recall 우선,industry,manufacturing,598,162,0.6431718061674009,0.9012345679012346,0.7506426735218509,355,81,16,146
isotonic_valid,Isotonic Valid,recall_first,Recall 우선,industry,it_services,176,21,0.5625,0.8571428571428571,0.6792452830188679,141,14,3,18
isotonic_valid,Isotonic Valid,balanced,균형,overall,all,924,203,0.6929133858267716,0.8669950738916257,0.7702407002188184,643,78,27,176
isotonic_valid,Isotonic Valid,balanced,균형,market,KOSDAQ,427,163,0.7,0.8588957055214724,0.7713498622589532,204,60,23,140
isotonic_valid,Isotonic Valid,balanced,균형,market,KOSPI,497,40,0.6666666666666666,0.9,0.7659574468085106,439,18,4,36
isotonic_valid,Isotonic Valid,balanced,균형,industry,manufacturing,598,162,0.702020202020202,0.8580246913580247,0.7722222222222223,377,59,23,139
isotonic_valid,Isotonic Valid,balanced,균형,industry,it_services,176,21,0.6538461538461539,0.8095238095238095,0.723404255319149,146,9,4,17
isotonic_valid,Isotonic Valid,fp_reduction_global,FP 축소 Global,overall,all,924,203,0.6929133858267716,0.8669950738916257,0.7702407002188184,643,78,27,176
isotonic_valid,Isotonic Valid,fp_reduction_global,FP 축소 Global,market,KOSDAQ,427,163,0.7,0.8588957055214724,0.7713498622589532,204,60,23,140
isotonic_valid,Isotonic Valid,fp_reduction_global,FP 축소 Global,market,KOSPI,497,40,0.6666666666666666,0.9,0.7659574468085106,439,18,4,36
isotonic_valid,Isotonic Valid,fp_reduction_global,FP 축소 Global,industry,manufacturing,598,162,0.702020202020202,0.8580246913580247,0.7722222222222223,377,59,23,139
isotonic_valid,Isotonic Valid,fp_reduction_global,FP 축소 Global,industry,it_services,176,21,0.6538461538461539,0.8095238095238095,0.723404255319149,146,9,4,17
isotonic_valid,Isotonic Valid,fp_reduction_kosdaq,FP 축소 KOSDAQ,overall,all,924,203,0.6929133858267716,0.8669950738916257,0.7702407002188184,643,78,27,176
isotonic_valid,Isotonic Valid,fp_reduction_kosdaq,FP 축소 KOSDAQ,market,KOSDAQ,427,163,0.7,0.8588957055214724,0.7713498622589532,204,60,23,140
