variant,display_name,operating_mode,operating_mode_display,threshold_detail,eval_year,policy_year,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
fold_beta,Fold Beta,fp_reduction_global,FP 축소 Global,global:0.465; valid recall floor 0.80,2020,2019,0.8055555555555556,0.7682119205298014,0.7864406779661017,424,28,35,116
fold_beta,Fold Beta,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.510; fallback:0.360,2020,2019,0.7891156462585034,0.7682119205298014,0.7785234899328859,421,31,35,116
fold_segment_market_platt,Fold Market Segment Platt,recall_first,Recall 우선,global:0.275; valid recall floor 0.90,2020,2019,0.6923076923076923,0.8344370860927153,0.7567567567567568,396,56,25,126
fold_segment_market_platt,Fold Market Segment Platt,balanced,균형,global:0.370; valid recall floor 0.85,2020,2019,0.7407407407407407,0.7947019867549668,0.7667731629392971,410,42,31,120
fold_segment_market_platt,Fold Market Segment Platt,fp_reduction_global,FP 축소 Global,global:0.450; valid recall floor 0.80,2020,2019,0.7837837837837838,0.7682119205298014,0.7759197324414716,420,32,35,116
fold_segment_market_platt,Fold Market Segment Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.475; fallback:0.370,2020,2019,0.7866666666666666,0.7814569536423841,0.7840531561461794,420,32,33,118
fold_segment_industry_platt,Fold Industry Segment Platt,recall_first,Recall 우선,global:0.270; valid recall floor 0.90,2020,2019,0.6775956284153005,0.8211920529801324,0.7425149700598802,393,59,27,124
fold_segment_industry_platt,Fold Industry Segment Platt,balanced,균형,global:0.340; valid recall floor 0.85,2020,2019,0.7202380952380952,0.8013245033112583,0.7586206896551724,405,47,30,121
fold_segment_industry_platt,Fold Industry Segment Platt,fp_reduction_global,FP 축소 Global,global:0.450; valid recall floor 0.80,2020,2019,0.7785234899328859,0.7682119205298014,0.7733333333333333,419,33,35,116
fold_segment_industry_platt,Fold Industry Segment Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.520; fallback:0.340,2020,2019,0.76,0.7549668874172185,0.7574750830564784,416,36,37,114
fold_platt,Fold Platt,recall_first,Recall 우선,global:0.200; valid recall floor 0.90,2021,2020,0.6099585062240664,0.8909090909090909,0.7241379310344828,414,94,18,147
fold_platt,Fold Platt,balanced,균형,global:0.305; valid recall floor 0.85,2021,2020,0.6456310679611651,0.806060606060606,0.7169811320754716,435,73,32,133
fold_platt,Fold Platt,fp_reduction_global,FP 축소 Global,global:0.410; valid recall floor 0.80,2021,2020,0.7011494252873564,0.7393939393939394,0.7197640117994101,456,52,43,122
fold_platt,Fold Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.490; fallback:0.305,2021,2020,0.7168674698795181,0.7212121212121212,0.7190332326283988,461,47,46,119
fold_isotonic,Fold Isotonic,recall_first,Recall 우선,global:0.285; valid recall floor 0.90,2021,2020,0.6099585062240664,0.8909090909090909,0.7241379310344828,414,94,18,147
fold_isotonic,Fold Isotonic,balanced,균형,global:0.375; valid recall floor 0.85,2021,2020,0.6519607843137255,0.806060606060606,0.7208672086720868,437,71,32,133
fold_isotonic,Fold Isotonic,fp_reduction_global,FP 축소 Global,global:0.375; valid recall floor 0.80,2021,2020,0.6519607843137255,0.806060606060606,0.7208672086720868,437,71,32,133
fold_isotonic,Fold Isotonic,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.425; fallback:0.375,2021,2020,0.7076023391812866,0.7333333333333333,0.7202380952380952,458,50,44,121
fold_beta,Fold Beta,recall_first,Recall 우선,global:0.205; valid recall floor 0.90,2021,2020,0.6099585062240664,0.8909090909090909,0.7241379310344828,414,94,18,147
fold_beta,Fold Beta,balanced,균형,global:0.310; valid recall floor 0.85,2021,2020,0.6456310679611651,0.806060606060606,0.7169811320754716,435,73,32,133
fold_beta,Fold Beta,fp_reduction_global,FP 축소 Global,global:0.420; valid recall floor 0.80,2021,2020,0.7011494252873564,0.7393939393939394,0.7197640117994101,456,52,43,122
fold_beta,Fold Beta,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.495; fallback:0.310,2021,2020,0.7168674698795181,0.7212121212121212,0.7190332326283988,461,47,46,119
fold_segment_market_platt,Fold Market Segment Platt,recall_first,Recall 우선,global:0.210; valid recall floor 0.90,2021,2020,0.6099585062240664,0.8909090909090909,0.7241379310344828,414,94,18,147
fold_segment_market_platt,Fold Market Segment Platt,balanced,균형,global:0.310; valid recall floor 0.85,2021,2020,0.642512077294686,0.806060606060606,0.7150537634408602,434,74,32,133
fold_segment_market_platt,Fold Market Segment Platt,fp_reduction_global,FP 축소 Global,global:0.430; valid recall floor 0.80,2021,2020,0.7017543859649122,0.7272727272727273,0.7142857142857143,457,51,45,120
fold_segment_market_platt,Fold Market Segment Platt,fp_reduction_kosdaq,FP 축소 KOSDAQ,market=KOSDAQ:0.485; fallback:0.310,2021,2020,0.7168674698795181,0.7212121212121212,0.7190332326283988,461,47,46,119
fold_segment_industry_platt,Fold Industry Segment Platt,recall_first,Recall 우선,global:0.215; valid recall floor 0.90,2021,2020,0.6092436974789915,0.8787878787878788,0.7196029776674938,415,93,20,145
fold_segment_industry_platt,Fold Industry Segment Platt,balanced,균형,global:0.310; valid recall floor 0.85,2021,2020,0.642512077294686,0.806060606060606,0.7150537634408602,434,74,32,133
fold_segment_industry_platt,Fold Industry Segment Platt,fp_reduction_global,FP 축소 Global,global:0.400; valid recall floor 0.80,2021,2020,0.7005649717514124,0.7515151515151515,0.7251461988304093,455,53,41,124
