variant,display_name,fit_scope,evaluation_scope,note,rows,positive_rows,positive_rate,pr_auc,roc_auc,brier,logloss,ece,mce,mean_probability,calibration_bias
current_platt,Current Platt,saved_valid_platt,valid,Saved dashboard probability.,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.08475662639892852,0.2744176367715108,0.025614568937110088,0.21067385788324433,0.2603584192325938,3.389646794971224e-06
current_platt,Current Platt,saved_valid_platt,test,Saved dashboard probability.,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.07583217805375887,0.24695335109054414,0.026753177351736084,0.1095443157672833,0.22594651842552,0.006249548728550297
refit_platt_valid,Refit Platt,valid_2022,valid,Platt refit on the official validation split.,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.08475662614212502,0.27441763585604445,0.025614569748891758,0.21067385951290135,0.26035841923247155,3.389646672735669e-06
refit_platt_valid,Refit Platt,valid_2022,test,Platt refit on the official validation split.,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.07583217778004264,0.24695334843369526,0.026753176641553307,0.10954430713147434,0.2259465181272151,0.006249548430245416
isotonic_valid,Isotonic Valid,valid_2022,valid,Isotonic regression fitted on validation.,676,176,0.2603550295857988,0.8420256284624061,0.9448181818181818,0.07939074147338204,0.25545775558616884,0.0,0.0,0.2603550295857988,0.0
isotonic_valid,Isotonic Valid,valid_2022,test,Isotonic regression fitted on validation.,924,203,0.2196969696969697,0.8064812340548255,0.9400668201662989,0.07707085092372533,0.2619374963954181,0.031123688776174014,0.2058225494862645,0.2266744024179993,0.006977432721029603
beta_valid,Beta Valid,valid_2022,valid,Beta calibration fitted on validation.,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.084433840645273,0.2733229607603205,0.019053459221064658,0.13298458621721093,0.26034157715009837,-1.3452435700445076e-05
beta_valid,Beta Valid,valid_2022,test,Beta calibration fitted on validation.,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.07595459982996218,0.2476126787903252,0.02879300179467401,0.1061951260954439,0.22641490290397825,0.0067179332070085584
rolling_oof_platt,Rolling OOF Platt,rolling_oof_2018_2022,valid,Platt fitted on out-of-fold policy-year predictions from 2018-2022.,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.08487106490715424,0.2745735507270049,0.030706900026298195,0.1728018682788165,0.25740889115496685,-0.0029461384308319682
rolling_oof_platt,Rolling OOF Platt,rolling_oof_2018_2022,test,Platt fitted on out-of-fold policy-year predictions from 2018-2022.,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.07577756350381348,0.24663887775893603,0.029555909924298938,0.1379369494872802,0.22303312030833314,0.003336150611363442
rolling_oof_isotonic,Rolling OOF Isotonic,rolling_oof_2018_2022,valid,Isotonic fitted on out-of-fold policy-year predictions from 2018-2022.,676,176,0.2603550295857988,0.8352043188563889,0.9399715909090909,0.08255094923611579,0.26602716093204676,0.02388576694130981,0.11476426799007444,0.2569904688006438,-0.003364560785155013
rolling_oof_isotonic,Rolling OOF Isotonic,rolling_oof_2018_2022,test,Isotonic fitted on out-of-fold policy-year predictions from 2018-2022.,924,203,0.2196969696969697,0.815665857434593,0.9406748973442741,0.07577541737063119,0.25718519435958787,0.02709545492051995,0.09023224323534822,0.22137725648288406,0.0016802867859143644
rolling_oof_beta,Rolling OOF Beta,rolling_oof_2018_2022,valid,Beta calibration fitted on out-of-fold policy-year predictions from 2018-2022.,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.08483668506218203,0.27443370103955866,0.030309518964651186,0.1710396937900116,0.2573420802709987,-0.0030129493148001174
rolling_oof_beta,Rolling OOF Beta,rolling_oof_2018_2022,test,Beta calibration fitted on out-of-fold policy-year predictions from 2018-2022.,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.07576933017194937,0.24662897185987873,0.03015526726941576,0.11762068483285804,0.22300306925051394,0.003306099553544245
segment_market_platt,Market Segment Platt,valid_2022_market,valid,Market-specific Platt with global fallback.,676,176,0.2603550295857988,0.8460041594948114,0.93925,0.08456056523135413,0.27361138331770885,0.030610088631473013,0.2070154186068236,0.2603603317394187,5.302153619879402e-06
segment_market_platt,Market Segment Platt,valid_2022_market,test,Market-specific Platt with global fallback.,924,203,0.2196969696969697,0.8348315687442043,0.9425606198287818,0.07562787431013583,0.24501718979506276,0.022661814777674046,0.10560714848427377,0.2255479763847364,0.005851006687766697
segment_industry_platt,Industry Segment Platt,valid_2022_industry,valid,Industry-specific Platt with global fallback.,676,176,0.2603550295857988,0.8552430947709269,0.940159090909091,0.08421036749767273,0.27012994784205724,0.024023131356458123,0.20070609513292748,0.2629088857724024,0.002553856186603587
segment_industry_platt,Industry Segment Platt,valid_2022_industry,test,Industry-specific Platt with global fallback.,924,203,0.2196969696969697,0.8301311562310273,0.940852537868177,0.07607443714085947,0.24852192327874642,0.021314330018996692,0.09207270002865015,0.22859665441157032,0.00889968471460062
