variant,eval_year,dimension,segment,rows,positives,negatives,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
macro_shock_components_51,2019,market,KOSPI,263,34,229,0.6136363636363636,0.7941176470588235,0.6923076923076923,212,17,7,27
macro_shock_components_51,2019,industry,manufacturing,378,103,275,0.6388888888888888,0.8932038834951457,0.7449392712550608,223,52,11,92
macro_shock_components_51,2019,industry,it_services,96,13,83,0.6666666666666666,0.9230769230769231,0.7741935483870968,77,6,1,12
macro_shock_components_51,2020,overall,all,603,151,452,0.7251461988304093,0.8211920529801324,0.7701863354037267,405,47,27,124
macro_shock_components_51,2020,market,KOSDAQ,341,119,222,0.7333333333333333,0.8319327731092437,0.7795275590551181,186,36,20,99
macro_shock_components_51,2020,market,KOSPI,262,32,230,0.6944444444444444,0.78125,0.7352941176470589,219,11,7,25
macro_shock_components_51,2020,industry,manufacturing,403,115,288,0.7307692307692307,0.8260869565217391,0.7755102040816326,253,35,20,95
macro_shock_components_51,2020,industry,it_services,103,15,88,0.7058823529411765,0.8,0.75,83,5,3,12
macro_shock_components_51,2021,overall,all,673,165,508,0.6875,0.8,0.7394957983193278,448,60,33,132
macro_shock_components_51,2021,market,KOSDAQ,392,126,266,0.6666666666666666,0.8412698412698413,0.743859649122807,213,53,20,106
macro_shock_components_51,2021,market,KOSPI,281,39,242,0.7878787878787878,0.6666666666666666,0.7222222222222222,235,7,13,26
macro_shock_components_51,2021,industry,manufacturing,449,131,318,0.6815286624203821,0.816793893129771,0.7430555555555556,268,50,24,107
macro_shock_components_51,2021,industry,it_services,125,18,107,0.65,0.7222222222222222,0.6842105263157895,100,7,5,13
macro_shock_components_51,2022,overall,all,676,176,500,0.695067264573991,0.8806818181818182,0.7769423558897243,432,68,21,155
macro_shock_components_51,2022,market,KOSDAQ,403,143,260,0.7032967032967034,0.8951048951048951,0.7876923076923077,206,54,15,128
macro_shock_components_51,2022,market,KOSPI,273,33,240,0.6585365853658537,0.8181818181818182,0.7297297297297297,226,14,6,27
macro_shock_components_51,2022,industry,manufacturing,450,136,314,0.7100591715976331,0.8823529411764706,0.7868852459016393,265,49,16,120
macro_shock_components_51,2022,industry,it_services,129,23,106,0.6666666666666666,0.8695652173913043,0.7547169811320755,96,10,3,20
macro_shock_components_51,final_test,overall,all,924,203,721,0.7155172413793104,0.8177339901477833,0.7632183908045977,655,66,37,166
macro_shock_components_51,final_test,market,KOSDAQ,427,163,264,0.7213114754098361,0.8098159509202454,0.7630057803468208,213,51,31,132
macro_shock_components_51,final_test,market,KOSPI,497,40,457,0.6938775510204082,0.85,0.7640449438202247,442,15,6,34
macro_shock_components_51,final_test,industry,manufacturing,598,162,436,0.7096774193548387,0.8148148148148148,0.7586206896551724,382,54,30,132
macro_shock_components_51,final_test,industry,it_services,176,21,155,0.7142857142857143,0.7142857142857143,0.7142857142857143,149,6,6,15
macro_vulnerability_interactions_56,2019,overall,all,574,140,434,0.6544502617801047,0.8928571428571429,0.7552870090634441,368,66,15,125
macro_vulnerability_interactions_56,2019,market,KOSDAQ,311,106,205,0.6510067114093959,0.9150943396226415,0.7607843137254902,153,52,9,97
macro_vulnerability_interactions_56,2019,market,KOSPI,263,34,229,0.6666666666666666,0.8235294117647058,0.7368421052631579,215,14,6,28
macro_vulnerability_interactions_56,2019,industry,manufacturing,378,103,275,0.6524822695035462,0.8932038834951457,0.7540983606557377,226,49,11,92
macro_vulnerability_interactions_56,2019,industry,it_services,96,13,83,0.7058823529411765,0.9230769230769231,0.8,78,5,1,12
macro_vulnerability_interactions_56,2020,overall,all,603,151,452,0.7741935483870968,0.7947019867549668,0.7843137254901961,417,35,31,120
macro_vulnerability_interactions_56,2020,market,KOSDAQ,341,119,222,0.7795275590551181,0.8319327731092437,0.8048780487804879,194,28,20,99
macro_vulnerability_interactions_56,2020,market,KOSPI,262,32,230,0.75,0.65625,0.7,223,7,11,21
macro_vulnerability_interactions_56,2020,industry,manufacturing,403,115,288,0.7711864406779662,0.7913043478260869,0.7811158798283262,261,27,24,91
macro_vulnerability_interactions_56,2020,industry,it_services,103,15,88,0.75,0.8,0.7741935483870968,84,4,3,12
macro_vulnerability_interactions_56,2021,overall,all,673,165,508,0.6989247311827957,0.7878787878787878,0.7407407407407407,452,56,35,130
macro_vulnerability_interactions_56,2021,market,KOSDAQ,392,126,266,0.6842105263157895,0.8253968253968254,0.7482014388489209,218,48,22,104
macro_vulnerability_interactions_56,2021,market,KOSPI,281,39,242,0.7647058823529411,0.6666666666666666,0.7123287671232876,234,8,13,26
macro_vulnerability_interactions_56,2021,industry,manufacturing,449,131,318,0.7006802721088435,0.7862595419847328,0.7410071942446043,274,44,28,103
macro_vulnerability_interactions_56,2021,industry,it_services,125,18,107,0.6521739130434783,0.8333333333333334,0.7317073170731707,99,8,3,15
macro_vulnerability_interactions_56,2022,overall,all,676,176,500,0.6475409836065574,0.8977272727272727,0.7523809523809524,414,86,18,158
macro_vulnerability_interactions_56,2022,market,KOSDAQ,403,143,260,0.6582914572864321,0.916083916083916,0.7660818713450293,192,68,12,131
macro_vulnerability_interactions_56,2022,market,KOSPI,273,33,240,0.6,0.8181818181818182,0.6923076923076923,222,18,6,27
macro_vulnerability_interactions_56,2022,industry,manufacturing,450,136,314,0.6758241758241759,0.9044117647058824,0.7735849056603774,255,59,13,123
macro_vulnerability_interactions_56,2022,industry,it_services,129,23,106,0.59375,0.8260869565217391,0.6909090909090909,93,13,4,19
