policy_name,policy_type,selection_rule,split,dimension,segment,rows,positive_rows,positive_rate,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
current_artifact_threshold,global,saved_model_threshold,valid,market,KOSDAQ,403,143,0.3548387096774194,0.8362282878411911,0.8463286713286713,0.72,0.8811188811188811,0.7924528301886793,211,49,17,126
current_artifact_threshold,global,saved_model_threshold,valid,market,KOSPI,273,33,0.12087912087912088,0.9413919413919414,0.875189393939394,0.7428571428571429,0.7878787878787878,0.7647058823529412,231,9,7,26
current_artifact_threshold,global,saved_model_threshold,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.9069767441860465,0.8753076292042659,0.7037037037037037,0.8260869565217391,0.76,98,8,4,19
current_artifact_threshold,global,saved_model_threshold,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.8688888888888889,0.8706210191082803,0.7391304347826086,0.875,0.8013468013468014,272,42,17,119
current_artifact_threshold,global,saved_model_threshold,test,market,KOSDAQ,427,163,0.38173302107728335,0.8079625292740047,0.8188789737869493,0.7014925373134329,0.8650306748466258,0.7747252747252747,204,60,22,141
current_artifact_threshold,global,saved_model_threshold,test,market,KOSPI,497,40,0.08048289738430583,0.9557344064386318,0.9303063457330416,0.6666666666666666,0.9,0.7659574468085106,439,18,4,36
current_artifact_threshold,global,saved_model_threshold,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.9261363636363636,0.8757296466973886,0.6538461538461539,0.8095238095238095,0.7234042553191489,146,9,4,17
current_artifact_threshold,global,saved_model_threshold,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8645484949832776,0.8644382149733831,0.7035175879396985,0.8641975308641975,0.775623268698061,377,59,22,140
default_0_5,global,fixed_0_5,valid,market,KOSDAQ,403,143,0.3548387096774194,0.8486352357320099,0.8291958041958042,0.8014705882352942,0.7622377622377622,0.7813620071684587,233,27,34,109
default_0_5,global,fixed_0_5,valid,market,KOSPI,273,33,0.12087912087912088,0.9377289377289377,0.8077651515151515,0.8076923076923077,0.6363636363636364,0.7118644067796609,235,5,12,21
default_0_5,global,fixed_0_5,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.9147286821705426,0.845980311730927,0.7727272727272727,0.7391304347826086,0.7555555555555555,101,5,6,17
default_0_5,global,fixed_0_5,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.8622222222222222,0.8262457849381791,0.7936507936507936,0.7352941176470589,0.7633587786259542,288,26,36,100
default_0_5,global,fixed_0_5,test,market,KOSDAQ,427,163,0.38173302107728335,0.8126463700234192,0.794501766127533,0.7748344370860927,0.7177914110429447,0.7452229299363057,230,34,46,117
default_0_5,global,fixed_0_5,test,market,KOSPI,497,40,0.08048289738430583,0.9577464788732394,0.8629649890590809,0.7317073170731707,0.75,0.7407407407407408,446,11,10,30
default_0_5,global,fixed_0_5,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.9261363636363636,0.793394777265745,0.7222222222222222,0.6190476190476191,0.6666666666666666,150,5,8,13
default_0_5,global,fixed_0_5,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8678929765886287,0.8240599161852984,0.7712418300653595,0.7283950617283951,0.7492063492063493,401,35,44,118
global_valid_best_f1_grid,global,valid_best_f1_grid,valid,market,KOSDAQ,403,143,0.3548387096774194,0.8362282878411911,0.8463286713286713,0.72,0.8811188811188811,0.7924528301886793,211,49,17,126
global_valid_best_f1_grid,global,valid_best_f1_grid,valid,market,KOSPI,273,33,0.12087912087912088,0.9413919413919414,0.875189393939394,0.7428571428571429,0.7878787878787878,0.7647058823529412,231,9,7,26
global_valid_best_f1_grid,global,valid_best_f1_grid,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.9069767441860465,0.8753076292042659,0.7037037037037037,0.8260869565217391,0.76,98,8,4,19
global_valid_best_f1_grid,global,valid_best_f1_grid,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.8688888888888889,0.8706210191082803,0.7391304347826086,0.875,0.8013468013468014,272,42,17,119
global_valid_best_f1_grid,global,valid_best_f1_grid,test,market,KOSDAQ,427,163,0.38173302107728335,0.8079625292740047,0.8188789737869493,0.7014925373134329,0.8650306748466258,0.7747252747252747,204,60,22,141
global_valid_best_f1_grid,global,valid_best_f1_grid,test,market,KOSPI,497,40,0.08048289738430583,0.9557344064386318,0.9303063457330416,0.6666666666666666,0.9,0.7659574468085106,439,18,4,36
global_valid_best_f1_grid,global,valid_best_f1_grid,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.9261363636363636,0.8757296466973886,0.6538461538461539,0.8095238095238095,0.7234042553191489,146,9,4,17
global_valid_best_f1_grid,global,valid_best_f1_grid,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8645484949832776,0.8644382149733831,0.7035175879396985,0.8641975308641975,0.775623268698061,377,59,22,140
global_valid_precision_at_recall_0.90,global,valid_max_precision_with_recall_ge_0.90,valid,market,KOSDAQ,403,143,0.3548387096774194,0.8163771712158809,0.8372377622377623,0.680628272251309,0.9090909090909091,0.7784431137724551,199,61,13,130
global_valid_precision_at_recall_0.90,global,valid_max_precision_with_recall_ge_0.90,valid,market,KOSPI,273,33,0.12087912087912088,0.9340659340659341,0.9102272727272727,0.6744186046511628,0.8787878787878788,0.7631578947368421,226,14,4,29
global_valid_precision_at_recall_0.90,global,valid_max_precision_with_recall_ge_0.90,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.8992248062015504,0.8705906480721903,0.6785714285714286,0.8260869565217391,0.7450980392156864,97,9,4,19
