error_type,error_note,corp_name,stock_code,market,fiscal_year,eval_year,industry_macro_category,prob_speculative,decision_threshold,actual_label_name,predicted_label_name,probability_distance_from_threshold
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)라닉스,317120,KOSDAQ,2023,2024,manufacturing,0.9786827151640825,0.3,투자적격,투기등급,0.6786827151640824
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,한국맥널티(주),222980,KOSDAQ,2023,2024,manufacturing,0.8956860516884892,0.3,투자적격,투기등급,0.5956860516884892
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)길교이앤씨,456700,KOSDAQ,2023,2024,it_services,0.8842873477453712,0.3,투자적격,투기등급,0.5842873477453712
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)푸드나무,290720,KOSDAQ,2023,2024,wholesale_retail,0.8638598178813707,0.3,투자적격,투기등급,0.5638598178813707
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,알에스오토메이션(주),140670,KOSDAQ,2023,2024,manufacturing,0.8448400555683853,0.3,투자적격,투기등급,0.5448400555683852
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,유니온머티리얼(주),47400,KOSPI,2023,2024,manufacturing,0.838845894646489,0.3,투자적격,투기등급,0.5388458946464889
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)웹스,196700,KOSDAQ,2023,2024,manufacturing,0.8366865966041924,0.3,투자적격,투기등급,0.5366865966041925
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)에스에너지,95910,KOSDAQ,2023,2024,manufacturing,0.7938983223236807,0.3,투자적격,투기등급,0.49389832232368075
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,브이엠(주),89970,KOSDAQ,2023,2024,manufacturing,0.7805113297717235,0.3,투자적격,투기등급,0.48051132977172356
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)엑스페릭스,317770,KOSDAQ,2023,2024,manufacturing,0.7744911402707538,0.3,투자적격,투기등급,0.47449114027075384
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)까뮤이앤씨,13700,KOSPI,2023,2024,construction,0.7684936135074938,0.3,투자적격,투기등급,0.4684936135074938
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)에이프로,262260,KOSDAQ,2023,2024,manufacturing,0.7505682107736606,0.3,투자적격,투기등급,0.45056821077366066
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)한솔홈데코,25750,KOSPI,2023,2024,manufacturing,0.7500706219900947,0.3,투자적격,투기등급,0.4500706219900947
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,한국맥널티(주),222980,KOSDAQ,2024,2025,manufacturing,0.7443583960487163,0.3,투자적격,투기등급,0.44435839604871635
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,삼영엠텍(주),54540,KOSDAQ,2023,2024,manufacturing,0.714491954496758,0.3,투자적격,투기등급,0.41449195449675796
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,케이지모빌리티(주),3620,KOSPI,2024,2025,manufacturing,0.0180494480719832,0.3,투기등급,투자적격,0.28195055192801677
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)엑시콘,92870,KOSDAQ,2023,2024,manufacturing,0.0262307420994559,0.3,투기등급,투자적격,0.27376925790054407
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,아진산업(주),13310,KOSDAQ,2024,2025,manufacturing,0.0293567111290131,0.3,투기등급,투자적격,0.2706432888709869
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,케이지모빌리티(주),3620,KOSPI,2023,2024,manufacturing,0.0345199383554026,0.3,투기등급,투자적격,0.26548006164459736
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,제이엠티(주),94970,KOSDAQ,2023,2024,manufacturing,0.03485093069407,0.3,투기등급,투자적격,0.26514906930592996
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)톱텍,108230,KOSDAQ,2024,2025,manufacturing,0.0362780552093996,0.3,투기등급,투자적격,0.2637219447906004
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)서진시스템,178320,KOSDAQ,2024,2025,manufacturing,0.0635367346625335,0.3,투기등급,투자적격,0.23646326533746648
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)디알비동일,4840,KOSPI,2023,2024,manufacturing,0.0638875487662956,0.3,투기등급,투자적격,0.2361124512337044
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,코리아에프티(주),123410,KOSDAQ,2023,2024,manufacturing,0.0842138822091519,0.3,투기등급,투자적격,0.2157861177908481
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,삼보모터스(주),53700,KOSDAQ,2023,2024,manufacturing,0.0859668452713207,0.3,투기등급,투자적격,0.2140331547286793
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,케이지케미칼(주),1390,KOSPI,2023,2024,manufacturing,0.0887509957722597,0.3,투기등급,투자적격,0.2112490042277403
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)아이즈비전,31310,KOSDAQ,2023,2024,it_services,0.0900861333963671,0.3,투기등급,투자적격,0.20991386660363287
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,아비코전자(주),36010,KOSDAQ,2023,2024,manufacturing,0.0926436556068158,0.3,투기등급,투자적격,0.20735634439318418
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)세원물산,24830,KOSDAQ,2023,2024,manufacturing,0.0950089516007356,0.3,투기등급,투자적격,0.2049910483992644
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,삼보모터스(주),53700,KOSDAQ,2024,2025,manufacturing,0.1066809581252905,0.3,투기등급,투자적격,0.1933190418747095
