split,probability_bin,rows,mean_probability,actual_positive_rate,calibration_gap
valid,"(-0.001, 0.1]",369,0.02518524880031417,0.016260162601626018,0.008925086198688151
valid,"(0.1, 0.2]",63,0.15229095972390608,0.14285714285714285,0.009433816866763228
valid,"(0.2, 0.3]",34,0.24518398028958455,0.2647058823529412,-0.019521902063356633
valid,"(0.3, 0.4]",25,0.3493261421167557,0.56,-0.21067385788324433
valid,"(0.4, 0.5]",23,0.4654523512655544,0.34782608695652173,0.11762626430903267
valid,"(0.5, 0.6]",24,0.5361046138508755,0.625,-0.08889538614912451
valid,"(0.6, 0.7]",22,0.6548864447585326,0.6818181818181818,-0.02693173705964913
valid,"(0.7, 0.8]",24,0.758000722383963,0.75,0.008000722383962988
valid,"(0.8, 0.9]",39,0.8589320395261296,0.8461538461538461,0.012778193372283475
valid,"(0.9, 1.0]",53,0.9504794674263394,0.9245283018867925,0.025951165539546905
test,"(-0.001, 0.1]",542,0.02178773543857594,0.025830258302583026,-0.004042522864007088
test,"(0.1, 0.2]",86,0.1406062250987434,0.05813953488372093,0.08246669021502248
test,"(0.2, 0.3]",41,0.2483086679019982,0.17073170731707318,0.07757696058492503
test,"(0.3, 0.4]",26,0.3540815823055485,0.38461538461538464,-0.030533802309836156
test,"(0.4, 0.5]",37,0.4465442765629288,0.5405405405405406,-0.0939962639776118
test,"(0.5, 0.6]",32,0.5433066819461179,0.59375,-0.050443318053882136
test,"(0.6, 0.7]",38,0.6513010292741269,0.6052631578947368,0.04603787137939008
test,"(0.7, 0.8]",28,0.7524014586244262,0.6428571428571429,0.1095443157672833
test,"(0.8, 0.9]",41,0.8575070427492119,0.8536585365853658,0.0038485061638460216
test,"(0.9, 1.0]",53,0.9547980711949359,0.9811320754716981,-0.026334004276762246
