variant,note,added_features,added_feature_count,feature_count,folds,eval_pr_auc_mean,eval_pr_auc_std,eval_pr_auc_min,eval_pr_auc_max,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_min,eval_roc_auc_max,eval_brier_mean,eval_brier_std,eval_brier_min,eval_brier_max,eval_logloss_mean,eval_logloss_std,eval_logloss_min,eval_logloss_max,eval_precision_at_threshold_mean,eval_precision_at_threshold_std,eval_precision_at_threshold_min,eval_precision_at_threshold_max,eval_recall_at_threshold_mean,eval_recall_at_threshold_std,eval_recall_at_threshold_min,eval_recall_at_threshold_max,eval_f1_at_threshold_mean,eval_f1_at_threshold_std,eval_f1_at_threshold_min,eval_f1_at_threshold_max,eval_false_positive_at_threshold_mean,eval_false_positive_at_threshold_std,eval_false_positive_at_threshold_min,eval_false_positive_at_threshold_max,eval_false_negative_at_threshold_mean,eval_false_negative_at_threshold_std,eval_false_negative_at_threshold_min,eval_false_negative_at_threshold_max,total_false_positive,total_false_negative,final_threshold_tuned,final_eval_pr_auc,final_eval_roc_auc,final_eval_brier,final_eval_logloss,final_eval_precision_at_threshold,final_eval_recall_at_threshold,final_eval_f1_at_threshold,final_eval_false_positive_at_threshold,final_eval_false_negative_at_threshold,rolling_f1_delta_vs_baseline,rolling_pr_auc_delta_vs_baseline,final_f1_delta_vs_baseline,final_pr_auc_delta_vs_baseline,final_fp_delta_vs_baseline,final_fn_delta_vs_baseline
baseline_46_native,공식 46개 입력셋 baseline,,0,46,4,0.8362776703954942,0.011519384840055576,0.8217395440230841,0.8539769071400813,0.9312440804544471,0.0066924824006917025,0.9226079694583632,0.9408222469671218,0.08619087539762048,0.0043403506128740195,0.08156045593684022,0.09093402243744587,0.28175267786103414,0.013273297744424609,0.26482676391725424,0.29620962550037194,0.6916675349549772,0.03481138211938044,0.6456310679611651,0.7407407407407407,0.8432101287233738,0.0430173088839391,0.7947019867549668,0.8863636363636364,0.7588689376474644,0.025121692196728062,0.7169811320754716,0.7839195979899497,60.0,11.510864433221338,42.0,73.0,24.75,6.905613658466566,16.0,32.0,240,99,0.3,0.832111964389642,0.9415289383245767,0.07583217805375887,0.24695335109054414,0.6941176470588235,0.8719211822660099,0.7729257641921398,78,26,0.0,0.0,0.0,0.0,0,0
macro_regime_51_raw,"금리, 스프레드, 환율 변화량 5개 raw macro feature 추가","market_spread_diff, spec_spread_diff, base_rate_diff, treasury_3y_diff, usd_krw_diff",5,51,4,0.8378975682126757,0.01165665112761087,0.8252372262545169,0.8566609540635982,0.9321514754923289,0.00662391948311738,0.9235504652827486,0.9417746000117213,0.08566307635569152,0.0039006190101771882,0.08112127026075869,0.09075433308703058,0.2801999706552364,0.012885692075291838,0.2620558168094384,0.2950625870677529,0.6870524369816627,0.030963829300136518,0.6410256410256411,0.7251461988304093,0.8488721474441673,0.033427305529135885,0.8121212121212121,0.8928571428571429,0.7583590575064363,0.015375343205885947,0.7403314917127072,0.7766497461928934,61.25,8.613216588476108,47.0,70.0,24.0,5.916079783099616,15.0,31.0,245,96,0.33,0.8266818075480314,0.9410028490807102,0.0759168854896769,0.24882766988791538,0.702928870292887,0.8275862068965517,0.7601809954751131,71,35,-0.0005098801410281517,0.001619897817181526,-0.012744768717026678,-0.005430156841610523,-7,9
macro_shock_components_51,악화 방향으로만 절단한 macro shock component 5개 추가,"macro_market_spread_widening, macro_spec_spread_widening, macro_base_rate_hike, macro_treasury_3y_hike, macro_usd_krw_up",5,51,4,0.8376815260195887,0.011828479493689696,0.8246205099212336,0.8566609540635982,0.9324334487683967,0.006652413309099149,0.9231329038415652,0.9417746000117213,0.08548379965882924,0.0037293995294727235,0.08112127026075869,0.09039722739673417,0.2799279105996968,0.01288288274891226,0.2620558168094384,0.2962035205722663,0.6871847761075104,0.03014120251905803,0.6410256410256411,0.7251461988304093,0.8486827535047734,0.039054660154079095,0.8,0.8928571428571429,0.7582232865822992,0.015709472339244832,0.7394957983193278,0.7769423558897243,61.25,9.03811374126261,47.0,70.0,24.0,6.708203932499369,15.0,33.0,245,96,0.34,0.8231137330729603,0.93975936541339,0.07695722945665441,0.25122540449124575,0.7155172413793104,0.8177339901477833,0.7632183908045977,66,37,-0.0006456510651652314,0.0014038556240945077,-0.009707373387542018,-0.008998231316681649,-12,11
macro_vulnerability_interactions_56,"macro shock과 차입, 이자보상, 현금 유동성 취약도의 interaction 10개 추가","macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",10,56,4,0.8362622423411603,0.00903173633848436,0.8261541347434734,0.8508339533170268,0.9310510851943576,0.005028028521162212,0.9238010021474589,0.937950536248022,0.08621479011985542,0.0036183111436885263,0.08217589652506149,0.09007989582579319,0.282418158049191,0.010584446969716763,0.26918479744368473,0.29475016646913504,0.6937773812391386,0.05044224901110698,0.6475409836065574,0.7741935483870968,0.8432912975545426,0.052085304468032965,0.7878787878787878,0.8977272727272727,0.7581806069188333,0.016039776493783815,0.7407407407407407,0.7843137254901961,60.75,18.376275465937052,35.0,86.0,24.75,8.437268515343103,15.0,35.0,243,99,0.305,0.8278546664302147,0.9398413533474991,0.07649125968500169,0.2503548266601021,0.688,0.8472906403940886,0.7593818984547461,78,31,-0.0006883307286311702,-1.5428054333854746e-05,-0.013543865737393634,-0.004257297959427309,0,5
macro_full_pressure_70,"raw macro, shock component, 취약도 proxy, interaction을 모두 추가","market_spread_diff, spec_spread_diff, base_rate_diff, treasury_3y_diff, usd_krw_diff, macro_market_spread_widening, macro_spec_spread_widening, macro_base_rate_hike, macro_treasury_3y_hike, macro_usd_krw_up, macro_short_term_borrowings_pressure, macro_total_borrowings_pressure, macro_interest_coverage_pressure, macro_cash_ratio_inverse, macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",24,70,4,0.8399376772107249,0.01264287031578696,0.8256473957959657,0.8589295933259191,0.9312670842792091,0.006715479951372971,0.9219040801717968,0.9400750161167437,0.08566640328979988,0.0052090056780787234,0.07902262223498123,0.09084770082897764,0.2811709465417981,0.014859273072656906,0.262667327440796,0.29853940252189226,0.6810683424980362,0.040664249363171784,0.65,0.75,0.8512073191708953,0.03485580374479677,0.8145695364238411,0.8863636363636364,0.7550431126250798,0.015888538884355527,0.7377049180327869,0.780952380952381,64.25,15.303185942802891,41.0,84.0,23.5,5.722761571129799,16.0,30.0,257,94,0.34,0.8251528996304923,0.9386251989915484,0.07736388291351058,0.252693296740874,0.7155172413793104,0.8177339901477833,0.7632183908045977,66,37,-0.003825825022384599,0.0036600068152307097,-0.009707373387542018,-0.006959064759149647,-12,11
macro_shock_plus_interactions_61,macro shock component 5개와 취약도 interaction 10개를 함께 추가,"macro_market_spread_widening, macro_spec_spread_widening, macro_base_rate_hike, macro_treasury_3y_hike, macro_usd_krw_up, macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",15,61,4,0.8335318285223658,0.00837696142703516,0.8251571693776658,0.8474185349357963,0.9305912249591239,0.005082717860948858,0.9254593175853019,0.9388442829514153,0.08745756999643761,0.0038046873385740245,0.08276722262843322,0.09163543987470182,0.28505363635919223,0.010887011337235098,0.2699273941646919,0.2959532490035269,0.6748580405690542,0.04956465833459955,0.6086956521739131,0.7484662576687117,0.8606988761790086,0.035830151638479954,0.8079470198675497,0.9,0.7541659578782896,0.01901761488568059,0.7262247838616714,0.7770700636942676,66.75,15.465687828221544,41.0,81.0,22.0,5.612486080160912,14.0,29.0,267,88,0.3,0.8291890502330801,0.9386047020080212,0.07671763253298809,0.25118031662083085,0.7024793388429752,0.8374384236453202,0.7640449438202247,72,33,-0.0047029797691748865,-0.0027458418731283185,-0.008880820371915066,-0.0029229141565618733,-6,7
macro_regime_plus_interactions_61,raw macro 변화량 5개와 취약도 interaction 10개를 함께 추가,"market_spread_diff, spec_spread_diff, base_rate_diff, treasury_3y_diff, usd_krw_diff, macro_market_spread_widening_x_short_term_borrowings_share, macro_market_spread_widening_x_total_borrowings_ratio, macro_market_spread_widening_x_interest_coverage_pressure, macro_market_spread_widening_x_cash_ratio_inverse, macro_spec_spread_widening_x_short_term_borrowings_share, macro_spec_spread_widening_x_total_borrowings_ratio, macro_base_rate_hike_x_short_term_borrowings_share, macro_base_rate_hike_x_interest_coverage_pressure, macro_treasury_3y_hike_x_total_borrowings_ratio, macro_usd_krw_up_x_cash_ratio_inverse",15,61,4,0.8330636645908163,0.008583725164886187,0.8260793213562634,0.8474185349357963,0.9301810304947957,0.005440796593100917,0.9244094488188976,0.9388442829514153,0.08769441372990358,0.004060946064175925,0.08276722262843322,0.09242669549338468,0.28548137878219493,0.011307148574668366,0.2699273941646919,0.29720041069129727,0.6727926801038281,0.05000012742101994,0.6086956521739131,0.7484662576687117,0.8443163004214329,0.041870119187742263,0.8,0.9,0.7464719324267325,0.022629602659035162,0.7232876712328767,0.7770700636942676,66.0,15.149257407543116,41.0,81.0,24.75,7.1545440106270926,14.0,33.0,264,99,0.3,0.8312789808738887,0.9395134016110629,0.07638909296122567,0.25049789990891624,0.7,0.8620689655172413,0.7726269315673289,75,28,-0.01239700522073195,-0.0032140058046778996,-0.00029883262481089634,-0.0008329835157532273,-3,2
