candidate_id,display_name,note,half_life_years,use_monotonic_constraints,monotonic_profile,risk_proxy_pack,feature_count,added_risk_proxy_count,monotonic_constraint_count,eval_year,policy_year,train_rows,policy_rows,eval_rows,eval_positive_rate,best_iteration,train_weight_min,train_weight_max,threshold_tuned,threshold_selection_rule,policy_precision_at_threshold,policy_recall_at_threshold,policy_f1_at_threshold,policy_pr_auc,policy_roc_auc,policy_brier,policy_logloss,eval_pr_auc,eval_roc_auc,eval_brier,eval_logloss,eval_precision_at_threshold,eval_recall_at_threshold,eval_f1_at_threshold,eval_true_negative_at_threshold,eval_false_positive_at_threshold,eval_false_negative_at_threshold,eval_true_positive_at_threshold
baseline_current,현재 46 XGBoost,sample weight와 monotonic constraint를 쓰지 않는 현재 공식 구조,,False,,False,46,0,0,2019,2018,1490,511,574,0.24390243902439024,208,,,0.26,policy_max_precision_with_recall_ge_0.85,0.6598639455782312,0.8584070796460177,0.7461538461538462,0.8372569073739627,0.9281140214346066,0.07753907594998936,0.2649589460815406,0.8339327529852092,0.9332620144832127,0.08156045593684022,0.27283373949970724,0.6775956284153005,0.8857142857142857,0.7678018575851393,375,59,16,124
baseline_current,현재 46 XGBoost,sample weight와 monotonic constraint를 쓰지 않는 현재 공식 구조,,False,,False,46,0,0,2020,2019,2001,574,603,0.2504145936981758,397,,,0.355,policy_max_precision_with_recall_ge_0.85,0.7628205128205128,0.85,0.8040540540540541,0.8756525229728871,0.9542462146148781,0.07080758437741723,0.23411887456095118,0.8539769071400813,0.9408222469671218,0.08217155868174439,0.26482676391725424,0.7407407407407407,0.7947019867549668,0.7667731629392971,410,42,31,120
baseline_current,현재 46 XGBoost,sample weight와 monotonic constraint를 쓰지 않는 현재 공식 구조,,False,,False,46,0,0,2021,2020,2575,603,673,0.2451708766716196,372,,,0.305,policy_max_precision_with_recall_ge_0.85,0.7318435754189944,0.8675496688741722,0.793939393939394,0.8782915203560517,0.9493787727832151,0.07491681389860909,0.24384401801059238,0.8217395440230841,0.9226079694583632,0.09093402243744587,0.29620962550037194,0.6456310679611651,0.806060606060606,0.7169811320754716,435,73,32,133
baseline_current,현재 46 XGBoost,sample weight와 monotonic constraint를 쓰지 않는 현재 공식 구조,,False,,False,46,0,0,2022,2021,3178,673,676,0.2603550295857988,169,,,0.24,policy_max_precision_with_recall_ge_0.85,0.6396396396396397,0.8606060606060606,0.7338501291989664,0.8355013023750794,0.932307325220711,0.08615538508697891,0.2770493663821113,0.835461477433602,0.9282840909090908,0.09009746453445143,0.29314058252680314,0.7027027027027027,0.8863636363636364,0.7839195979899497,434,66,20,156
time_decay_half_life_1y,최근연도 가중 half-life 1년,학습 연도가 정책연도에서 1년 멀어질 때마다 가중치를 절반으로 감소,1.0,False,,False,46,0,0,2019,2018,1490,511,574,0.24390243902439024,346,0.24738502407438154,1.9790801925950523,0.26,policy_max_precision_with_recall_ge_0.85,0.6689655172413793,0.8584070796460177,0.751937984496124,0.8451061293863634,0.9324498599190644,0.07725666781614018,0.25753207593111294,0.8276905001799294,0.9317643186306781,0.08332877358692678,0.2780230625468753,0.6507936507936508,0.8785714285714286,0.7477203647416414,368,66,17,123
time_decay_half_life_1y,최근연도 가중 half-life 1년,학습 연도가 정책연도에서 1년 멀어질 때마다 가중치를 절반으로 감소,1.0,False,,False,46,0,0,2020,2019,2001,574,603,0.2504145936981758,366,0.14092541728290725,2.254806676526516,0.325,policy_max_precision_with_recall_ge_0.85,0.7333333333333333,0.8642857142857143,0.7934426229508197,0.8690424401442949,0.9533903884134298,0.07227902774367606,0.2376250662236087,0.8466059111281653,0.9386977670984,0.08450095651236463,0.2716713652840362,0.7261904761904762,0.8079470198675497,0.7648902821316614,406,46,29,122
time_decay_half_life_1y,최근연도 가중 half-life 1년,학습 연도가 정책연도에서 1년 멀어질 때마다 가중치를 절반으로 감소,1.0,False,,False,46,0,0,2021,2020,2575,603,673,0.2451708766716196,362,0.1257370265024354,2.514740530048708,0.295,policy_max_precision_with_recall_ge_0.85,0.7485714285714286,0.8675496688741722,0.803680981595092,0.8868481985638276,0.9508732344839712,0.07229212551287059,0.23772615243564835,0.8177549994921993,0.920973514674302,0.09165576130877755,0.30021364421002855,0.6585365853658537,0.8181818181818182,0.7297297297297297,438,70,30,135
time_decay_half_life_1y,최근연도 가중 half-life 1년,학습 연도가 정책연도에서 1년 멀어질 때마다 가중치를 절반으로 감소,1.0,False,,False,46,0,0,2022,2021,3178,673,676,0.2603550295857988,337,0.14067082010025783,2.8134164020051564,0.235,policy_max_precision_with_recall_ge_0.85,0.6574074074074074,0.8606060606060606,0.7454068241469817,0.8385722830582708,0.9345740873299928,0.08340129296094273,0.2729006659746078,0.8324367505502613,0.9326249999999999,0.08958319712467967,0.2887957630520681,0.6739130434782609,0.8806818181818182,0.7635467980295566,425,75,21,155
time_decay_half_life_2y,최근연도 가중 half-life 2년,2021-2022에 가까운 과거 학습 표본을 완만하게 더 반영,2.0,False,,False,46,0,0,2019,2018,1490,511,574,0.24390243902439024,281,0.5303490483871246,1.5000536340414727,0.23,policy_max_precision_with_recall_ge_0.85,0.6258064516129033,0.8584070796460177,0.7238805970149254,0.8432471376931239,0.928558722817628,0.07777973825007146,0.26230877164862154,0.835050480699332,0.9326366030283082,0.08182153893697941,0.2734570501997994,0.6237623762376238,0.9,0.7368421052631579,358,76,14,126
time_decay_half_life_2y,최근연도 가중 half-life 2년,2021-2022에 가까운 과거 학습 표본을 완만하게 더 반영,2.0,False,,False,46,0,0,2020,2019,2001,574,603,0.2504145936981758,357,0.4122823049564875,1.64912921982595,0.34,policy_max_precision_with_recall_ge_0.85,0.75,0.8571428571428571,0.8,0.8718968537699701,0.9526497695852534,0.07133508553744436,0.23667877576020752,0.8486484528773448,0.9385952060012894,0.08433873987109831,0.270267991086524,0.7349397590361446,0.8079470198675497,0.7697160883280757,408,44,29,122
