candidate_id,is_baseline,max_depth,min_child_weight,gamma,reg_alpha,reg_lambda,subsample,colsample_bytree,scale_pos_weight_multiplier,eval_year,policy_year,train_rows,policy_rows,eval_rows,eval_positive_rate,best_iteration,threshold_tuned,threshold_selection_rule,policy_precision_at_threshold,policy_recall_at_threshold,policy_f1_at_threshold,policy_pr_auc,policy_roc_auc,policy_brier,policy_logloss,eval_pr_auc,eval_roc_auc,eval_brier,eval_logloss,eval_precision_at_threshold,eval_recall_at_threshold,eval_f1_at_threshold,eval_true_negative_at_threshold,eval_false_positive_at_threshold,eval_false_negative_at_threshold,eval_true_positive_at_threshold
baseline_current,True,4,3.0,0.0,0.0,1.0,0.9,0.9,1.0,2019,2018,1490,511,574,0.24390243902439024,208,0.26,policy_max_precision_with_recall_ge_0.85,0.6598639455782312,0.8584070796460177,0.7461538461538462,0.8372569073739627,0.9281140214346066,0.07753907640294985,0.2649589479902782,0.8339327529852092,0.9332620144832127,0.08156045581514801,0.2728337392380238,0.6775956284153005,0.8857142857142857,0.7678018575851393,375,59,16,124
baseline_current,True,4,3.0,0.0,0.0,1.0,0.9,0.9,1.0,2020,2019,2001,574,603,0.2504145936981758,397,0.355,policy_max_precision_with_recall_ge_0.85,0.7628205128205128,0.85,0.8040540540540541,0.8756525229728871,0.9542462146148781,0.07080758389028523,0.2341188780204614,0.8539769071400813,0.9408222469671218,0.08217155970167543,0.26482676658392096,0.7407407407407407,0.7947019867549668,0.7667731629392971,410,42,31,120
baseline_current,True,4,3.0,0.0,0.0,1.0,0.9,0.9,1.0,2021,2020,2575,603,673,0.2451708766716196,372,0.305,policy_max_precision_with_recall_ge_0.85,0.7318435754189944,0.8675496688741722,0.793939393939394,0.8782915203560517,0.9493787727832151,0.07491681402021401,0.2438440196179327,0.8217395440230841,0.9226079694583632,0.09093402184296816,0.29620962359363856,0.6456310679611651,0.806060606060606,0.7169811320754716,435,73,32,133
baseline_current,True,4,3.0,0.0,0.0,1.0,0.9,0.9,1.0,2022,2021,3178,673,676,0.2603550295857988,169,0.24,policy_max_precision_with_recall_ge_0.85,0.6396396396396397,0.8606060606060606,0.7338501291989664,0.8355013023750794,0.932307325220711,0.08615538492126616,0.2770493658670789,0.835461477433602,0.9282840909090908,0.09009746489562304,0.2931405833498422,0.7027027027027027,0.8863636363636364,0.7839195979899497,434,66,20,156
hand_regularized_01,False,3,8.0,0.5,0.05,3.0,0.8,0.8,1.0,2019,2018,1490,511,574,0.24390243902439024,398,0.21,policy_max_precision_with_recall_ge_0.85,0.593939393939394,0.8672566371681416,0.7050359712230215,0.8244897661556235,0.9212433850669276,0.08261313216628591,0.27626973410433836,0.8281883567824987,0.928818301514154,0.08528282988495564,0.2821929621197161,0.6089108910891089,0.8785714285714286,0.7192982456140351,355,79,17,123
hand_regularized_01,False,3,8.0,0.5,0.05,3.0,0.8,0.8,1.0,2020,2019,2001,574,603,0.2504145936981758,180,0.385,policy_max_precision_with_recall_ge_0.85,0.7735849056603774,0.8785714285714286,0.822742474916388,0.8557154397846157,0.9442067149440422,0.07596476562295473,0.2543317604372093,0.839908152486869,0.9344634589462579,0.08509714362735539,0.277404523710785,0.7577639751552795,0.8079470198675497,0.782051282051282,413,39,29,122
hand_regularized_01,False,3,8.0,0.5,0.05,3.0,0.8,0.8,1.0,2021,2020,2575,603,673,0.2451708766716196,390,0.28,policy_max_precision_with_recall_ge_0.85,0.7010869565217391,0.8543046357615894,0.7701492537313432,0.8689758093649413,0.9459649534079587,0.07641948604680969,0.25015946380322746,0.8161409411607724,0.9202696253877357,0.09378696162952184,0.3025707553472709,0.6388888888888888,0.8363636363636363,0.7244094488188977,430,78,27,138
hand_regularized_01,False,3,8.0,0.5,0.05,3.0,0.8,0.8,1.0,2022,2021,3178,673,676,0.2603550295857988,382,0.275,policy_max_precision_with_recall_ge_0.85,0.6746411483253588,0.8545454545454545,0.7540106951871658,0.8409833782140248,0.9337508947745168,0.08463020590503603,0.27433990524939444,0.825188776046236,0.9263181818181819,0.09176948196848343,0.29743095956925863,0.7009345794392523,0.8522727272727273,0.7692307692307693,436,64,26,150
hand_regularized_02,False,3,12.0,1.0,0.2,6.0,0.8,0.8,1.0,2019,2018,1490,511,574,0.24390243902439024,335,0.215,policy_max_precision_with_recall_ge_0.85,0.5950920245398773,0.8584070796460177,0.7028985507246377,0.8213867049429964,0.921465735758438,0.0827690231707106,0.27652872914853593,0.8273059723903237,0.9309249506254115,0.08387822809762967,0.27863359429150103,0.6086956521739131,0.9,0.7262247838616714,353,81,14,126
hand_regularized_02,False,3,12.0,1.0,0.2,6.0,0.8,0.8,1.0,2020,2019,2001,574,603,0.2504145936981758,301,0.33,policy_max_precision_with_recall_ge_0.85,0.7317073170731707,0.8571428571428571,0.7894736842105263,0.8548175477729109,0.9451777485187624,0.07646470108646213,0.25248245879735626,0.8438360335748758,0.9361483912559339,0.08428649407774752,0.2748598913611642,0.7425149700598802,0.8211920529801324,0.779874213836478,409,43,27,124
hand_regularized_02,False,3,12.0,1.0,0.2,6.0,0.8,0.8,1.0,2021,2020,2575,603,673,0.2451708766716196,398,0.305,policy_max_precision_with_recall_ge_0.85,0.7288135593220338,0.8543046357615894,0.7865853658536586,0.8681069791478109,0.9452177225575807,0.07730789056118026,0.2517916860409302,0.8170541016015949,0.9221307563827249,0.09243826110369144,0.2974384435738624,0.6540284360189573,0.8363636363636363,0.7340425531914894,435,73,27,138
hand_regularized_02,False,3,12.0,1.0,0.2,6.0,0.8,0.8,1.0,2022,2021,3178,673,676,0.2603550295857988,397,0.23,policy_max_precision_with_recall_ge_0.85,0.6367713004484304,0.8606060606060606,0.7319587628865979,0.8313848077812671,0.9294321164399906,0.08733750643636155,0.28251473131390414,0.8183458118501847,0.9240795454545454,0.09359101354852548,0.3026432445607502,0.6622807017543859,0.8579545454545454,0.7475247524752475,423,77,25,151
hand_regularized_03,False,2,10.0,1.0,0.2,6.0,0.8,0.8,1.0,2019,2018,1490,511,574,0.24390243902439024,383,0.235,policy_max_precision_with_recall_ge_0.85,0.5914634146341463,0.8584070796460177,0.7003610108303249,0.8032647288077072,0.9167519010984124,0.0868357846224549,0.2876174776728243,0.8276604923163965,0.9284233048057933,0.08574881836446241,0.2839690380093849,0.6212121212121212,0.8785714285714286,0.727810650887574,359,75,17,123
hand_regularized_03,False,2,10.0,1.0,0.2,6.0,0.8,0.8,1.0,2020,2019,2001,574,603,0.2504145936981758,275,0.375,policy_max_precision_with_recall_ge_0.85,0.7317073170731707,0.8571428571428571,0.7894736842105263,0.8528967557830612,0.9422646477946017,0.07695419555751322,0.2577340453952285,0.8365287872536872,0.9317089609095704,0.08570132503949397,0.2819735578702802,0.7530864197530864,0.8079470198675497,0.7795527156549521,412,40,29,122
hand_regularized_03,False,2,10.0,1.0,0.2,6.0,0.8,0.8,1.0,2021,2020,2575,603,673,0.2451708766716196,399,0.285,policy_max_precision_with_recall_ge_0.85,0.7252747252747253,0.8741721854304636,0.7927927927927928,0.854265488040969,0.9381263552716405,0.08115631587126451,0.2652022289042875,0.8106855656862096,0.9200906704843712,0.09405969362864942,0.3009410679957929,0.6448598130841121,0.8363636363636363,0.7282321899736148,432,76,27,138
hand_regularized_03,False,2,10.0,1.0,0.2,6.0,0.8,0.8,1.0,2022,2021,3178,673,676,0.2603550295857988,383,0.255,policy_max_precision_with_recall_ge_0.85,0.6351351351351351,0.8545454545454545,0.7286821705426356,0.8231517912740453,0.925709854450012,0.09004886750794713,0.288737185167582,0.8205183611793154,0.9225454545454544,0.09307937110290075,0.30270031198627223,0.6894977168949772,0.8579545454545454,0.7645569620253164,432,68,25,151
hand_regularized_04,False,2,15.0,3.0,1.0,10.0,0.65,0.65,1.0,2019,2018,1490,511,574,0.24390243902439024,335,0.195,policy_max_precision_with_recall_ge_0.85,0.5542857142857143,0.8584070796460177,0.6736111111111112,0.7920013299213224,0.9111264286031929,0.09084382970759029,0.29679585462702296,0.8234470678695428,0.9290816326530613,0.08700063840102745,0.28602378062918976,0.5720720720720721,0.9071428571428571,0.7016574585635359,339,95,13,127
hand_regularized_04,False,2,15.0,3.0,1.0,10.0,0.65,0.65,1.0,2020,2019,2001,574,603,0.2504145936981758,379,0.31,policy_max_precision_with_recall_ge_0.85,0.7076023391812866,0.8642857142857143,0.7781350482315113,0.847099352438733,0.9401909150757077,0.07964931379287608,0.2620568729745144,0.8398118555464368,0.9336576217546738,0.08410477473576548,0.2780475985464288,0.7039106145251397,0.8344370860927153,0.7636363636363637,399,53,25,126
hand_regularized_04,False,2,15.0,3.0,1.0,10.0,0.65,0.65,1.0,2021,2020,2575,603,673,0.2451708766716196,398,0.325,policy_max_precision_with_recall_ge_0.85,0.7303370786516854,0.8609271523178808,0.790273556231003,0.855442592840083,0.9391519662427474,0.08183058030602841,0.2662284572797869,0.8043293223113845,0.9185516583154378,0.09557712214643338,0.3038825906584594,0.6473429951690821,0.8121212121212121,0.7204301075268817,435,73,31,134
hand_regularized_04,False,2,15.0,3.0,1.0,10.0,0.65,0.65,1.0,2022,2021,3178,673,676,0.2603550295857988,374,0.255,policy_max_precision_with_recall_ge_0.85,0.6351351351351351,0.8545454545454545,0.7286821705426356,0.8190451536631792,0.9255308995466476,0.09112713086255664,0.2896621087984272,0.8144832339562194,0.9229545454545456,0.09385778415876886,0.3031613825297555,0.6860986547085202,0.8693181818181818,0.7669172932330827,430,70,23,153
hand_regularized_05,False,3,8.0,1.0,0.2,6.0,0.65,0.8,1.2,2019,2018,1490,511,574,0.24390243902439024,334,0.23,policy_max_precision_with_recall_ge_0.85,0.610062893081761,0.8584070796460177,0.7132352941176471,0.8207240503762663,0.9189309378752167,0.08386307338259888,0.27943062674684055,0.8269751987991664,0.9274193548387097,0.08531313366985391,0.28289889124244283,0.6119402985074627,0.8785714285714286,0.7214076246334311,356,78,17,123
