scope,dimension,segment,rows,positive_rows,positive_rate,threshold,pr_auc,roc_auc,logloss,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
all_splits,split,test,924,203,0.2196969696969697,0.3,0.832111964389642,0.9415289383245767,0.24695335109054414,0.8874458874458875,0.8818690516045722,0.6941176470588235,0.8719211822660099,0.7729257641921397,643,78,26,177
all_splits,split,train,3851,878,0.22799272916125682,0.3,0.9937120114642818,0.9982469407660592,0.11367985379256083,0.9574136587899247,0.9724184325597041,0.8426103646833013,1.0,0.9145833333333333,2809,164,0,878
all_splits,split,valid,676,176,0.2603550295857988,0.3,0.8457880964130785,0.9388977272727272,0.2744176367715108,0.878698224852071,0.8738181818181818,0.7238095238095238,0.8636363636363636,0.7875647668393781,442,58,24,152
test,overall,test_all,924,203,0.2196969696969697,0.3,0.832111964389642,0.9415289383245767,0.24695335109054414,0.8874458874458875,0.8818690516045722,0.6941176470588235,0.8719211822660099,0.7729257641921397,643,78,26,177
test,fiscal_year,2023,637,161,0.25274725274725274,0.3,0.8158719582796101,0.9283104546166293,0.2893909519291634,0.8618524332810047,0.8685147972232371,0.6729857819905213,0.8819875776397516,0.7634408602150536,407,69,19,142
test,fiscal_year,2024,287,42,0.14634146341463414,0.3,0.88459410670524,0.9625850340136055,0.15276257849751118,0.9442508710801394,0.8982993197278912,0.7954545454545454,0.8333333333333334,0.8139534883720929,236,9,7,35
test,market,KOSDAQ,427,163,0.38173302107728335,0.3,0.8402333415321734,0.8884086261386874,0.4034815734093647,0.8079625292740047,0.8188789737869493,0.7014925373134329,0.8650306748466258,0.7747252747252747,204,60,22,141
test,market,KOSPI,497,40,0.08048289738430583,0.3,0.8024577828441014,0.9671772428884027,0.11247135726733211,0.9557344064386318,0.9303063457330416,0.6666666666666666,0.9,0.7659574468085106,439,18,4,36
test,industry_macro_category,construction,44,6,0.13636363636363635,0.3,0.8218253968253967,0.9692982456140351,0.18668373770672886,0.9318181818181818,0.9605263157894737,0.6666666666666666,1.0,0.8,35,3,0,6
test,industry_macro_category,it_services,176,21,0.11931818181818182,0.3,0.769565966990154,0.9612903225806452,0.15975686601204628,0.9261363636363636,0.8757296466973886,0.6538461538461539,0.8095238095238095,0.7234042553191489,146,9,4,17
test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.3,0.8364249442909738,0.9264639256993996,0.2978309710434188,0.8645484949832776,0.8644382149733831,0.7035175879396985,0.8641975308641975,0.775623268698061,377,59,22,140
test,industry_macro_category,other,22,0,0.0,0.3,,,,0.9545454545454546,,0.0,0.0,0.0,21,1,0,0
test,industry_macro_category,transport_storage,21,0,0.0,0.3,,,,0.9523809523809523,,0.0,0.0,0.0,20,1,0,0
test,industry_macro_category,wholesale_retail,63,14,0.2222222222222222,0.3,0.9401418143014779,0.9839650145772595,0.1638710338646214,0.9206349206349206,0.9489795918367347,0.7368421052631579,1.0,0.8484848484848484,44,5,0,14
