policy_name,policy_type,selection_rule,split,threshold_detail,rows,positive_rows,positive_rate,pr_auc,roc_auc,logloss,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
current_artifact_threshold,global,saved_model_threshold,valid,0.300000,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.2744176367715108,0.878698224852071,0.8738181818181818,0.7238095238095238,0.8636363636363636,0.7875647668393781,442,58,24,152
current_artifact_threshold,global,saved_model_threshold,test,0.300000,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.24695335109054414,0.8874458874458875,0.8818690516045722,0.6941176470588235,0.8719211822660099,0.7729257641921397,643,78,26,177
default_0_5,global,fixed_0_5,valid,0.500000,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.2744176367715108,0.8846153846153846,0.8373181818181819,0.8024691358024691,0.7386363636363636,0.7692307692307692,468,32,46,130
default_0_5,global,fixed_0_5,test,0.500000,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.24695335109054414,0.8906926406926406,0.8308623080969917,0.765625,0.7241379310344828,0.7443037974683545,676,45,56,147
global_valid_best_f1_grid,global,valid_best_f1_grid,valid,0.300000,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.2744176367715108,0.878698224852071,0.8738181818181818,0.7238095238095238,0.8636363636363636,0.7875647668393781,442,58,24,152
global_valid_best_f1_grid,global,valid_best_f1_grid,test,0.300000,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.24695335109054414,0.8874458874458875,0.8818690516045722,0.6941176470588235,0.8719211822660099,0.7729257641921397,643,78,26,177
global_valid_precision_at_recall_0.90,global,valid_max_precision_with_recall_ge_0.90,valid,0.225000,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.2744176367715108,0.863905325443787,0.8767045454545455,0.6794871794871795,0.9034090909090909,0.7756097560975609,425,75,17,159
global_valid_precision_at_recall_0.90,global,valid_max_precision_with_recall_ge_0.90,test,0.225000,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.24695335109054414,0.8679653679653679,0.8817733990147782,0.6411149825783972,0.9064039408866995,0.7510204081632653,618,103,19,184
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,valid,0.300000,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.2744176367715108,0.878698224852071,0.8738181818181818,0.7238095238095238,0.8636363636363636,0.7875647668393781,442,58,24,152
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,test,0.300000,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.24695335109054414,0.8874458874458875,0.8818690516045722,0.6941176470588235,0.8719211822660099,0.7729257641921397,643,78,26,177
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,valid,0.380000,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.2744176367715108,0.8757396449704142,0.8534090909090909,0.7395833333333334,0.8068181818181818,0.7717391304347826,450,50,34,142
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,test,0.380000,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.24695335109054414,0.8928571428571429,0.8711798746951074,0.7222222222222222,0.8325123152709359,0.7734553775743706,656,65,34,169
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,valid,0.465000,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.2744176367715108,0.8772189349112426,0.8378409090909091,0.7687861271676301,0.7556818181818182,0.7621776504297995,460,40,43,133
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,test,0.465000,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.24695335109054414,0.8917748917748918,0.8421732268401168,0.7536945812807881,0.7536945812807881,0.7536945812807881,671,50,50,153
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,valid,KOSDAQ:0.300; KOSPI:0.215; fallback:0.300,676,176,0.2603550295857988,0.8457880964130785,0.9388977272727272,0.2744176367715108,0.8757396449704142,0.8791818181818182,0.7090909090909091,0.8863636363636364,0.7878787878787878,436,64,20,156
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,test,KOSDAQ:0.300; KOSPI:0.215; fallback:0.300,924,203,0.2196969696969697,0.832111964389642,0.9415289383245767,0.24695335109054414,0.8798701298701299,0.8770146826725334,0.6755725190839694,0.8719211822660099,0.7612903225806452,636,85,26,177
