variant,display_name,fit_scope,folds,rows_sum,positive_rows_sum,pr_auc_mean,roc_auc_mean,brier_mean,logloss_mean,ece_mean,mce_mean,mean_probability_mean,calibration_bias_mean
fold_segment_industry_platt,Fold Industry Segment Platt,rolling_policy_year_industry,4,2526,632,0.834253766856126,0.929976071131668,0.08695668549358686,0.2850387833063099,0.03186379562263121,0.1883400230457416,0.2534991529711891,0.0035384182261929548
fold_beta,Fold Beta,rolling_policy_year,4,2526,632,0.8362776703954942,0.9312440804544471,0.08628932221158894,0.28193625752217427,0.03206393738065062,0.2343986795662905,0.2521231776338091,0.002162442888813003
fold_platt,Fold Platt,rolling_policy_year,4,2526,632,0.8362776703954942,0.9312440804544471,0.08619087539762048,0.28175267786103414,0.03214062503117085,0.23571675800436764,0.25203487575530353,0.0020741410103074093
fold_segment_market_platt,Fold Market Segment Platt,rolling_policy_year_market,4,2526,632,0.8304222289144516,0.9303820110931047,0.08657585079810874,0.28341823782052294,0.03387120341972957,0.18028743074053796,0.2522783004897628,0.0023175657447667003
fold_isotonic,Fold Isotonic,rolling_policy_year,4,2526,632,0.8080280308302209,0.928980554085593,0.08771178956696747,0.31575978620238904,0.03557853746760037,0.3757732606111566,0.25337848576571836,0.003417751020722254
