evaluation_mode,split,rolling_eval_year,policy_year,committee_policy,sample_category,market,stock_code,corp_name,fiscal_year,eval_year,as_of_date,actual_label_name,model_predicted_label_name,model_error_type,credit_rating,rating_boundary_group,rating_agency_group,industry_macro_category,firm_size_group,prob_speculative,threshold,stage1_probability_margin,trigger_reason_code,trigger_reason,evidence_cutoff_rule,committee_success_question,company_selection_json
rolling_validation_tuning,rolling_validation,2020,2019,rolling_stage1_or_near_threshold_0_10,fn_caught_by_stage2_review,KOSDAQ,250930,(주)예선테크,2020,2021,2020-12-31,투기등급,투자적격,false_negative,BB-,near_speculative_BB_plus_to_BB_minus,OTHER,manufacturing,small_and_medium,0.31406847,0.325,-0.0109315335750579,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처 또는 취약 세그먼트여서 추가 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투기등급을 1차 모델이 놓친 사례입니다. 위원회가 보류/부적격으로 끌어올리는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)예선테크"", ""market"": ""KOSDAQ"", ""stock_code"": ""250930""}, ""request_id"": ""committee-eval-KOSDAQ-250930-2020"", ""selected_at"": ""2026-05-21T01:02:13.328983+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tuning,rolling_validation,2020,2019,rolling_stage1_or_near_threshold_0_10,fn_caught_by_stage2_review,KOSPI,9900,명신산업(주),2020,2021,2020-12-31,투기등급,투자적격,false_negative,BB,near_speculative_BB_plus_to_BB_minus,BIG3,manufacturing,mid_sized,0.3110309,0.325,-0.0139691054821014,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처 또는 취약 세그먼트여서 추가 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투기등급을 1차 모델이 놓친 사례입니다. 위원회가 보류/부적격으로 끌어올리는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""명신산업(주)"", ""market"": ""KOSPI"", ""stock_code"": ""009900""}, ""request_id"": ""committee-eval-KOSPI-009900-2020"", ""selected_at"": ""2026-05-21T01:02:13.329015+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tuning,rolling_validation,2020,2019,rolling_stage1_or_near_threshold_0_10,fp_needing_committee_mitigation,KOSDAQ,36000,(주)예림당,2020,2021,2020-12-31,투자적격,투기등급,false_positive,BBB+,near_investment_BBB_plus_to_BBB_minus,OTHER,it_services,mid_sized,0.32790717,0.325,0.0029071748256683,rolling_stage1_risk,rolling OOT 43개 모델이 위험 기준선을 넘어 위원회 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투자적격을 1차 모델이 과민 경고한 사례입니다. 위원회가 적격/보류로 완화하는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)예림당"", ""market"": ""KOSDAQ"", ""stock_code"": ""036000""}, ""request_id"": ""committee-eval-KOSDAQ-036000-2020"", ""selected_at"": ""2026-05-21T01:02:13.329126+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tuning,rolling_validation,2022,2021,rolling_stage1_or_near_threshold_0_10,bbb_minus_bb_plus_boundary,KOSDAQ,317120,(주)라닉스,2022,2023,2022-12-31,투자적격,투기등급,false_positive,BBB-,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,small_and_medium,0.9462891,0.25,0.6962891221046448,rolling_stage1_risk,rolling OOT 43개 모델이 위험 기준선을 넘어 위원회 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",실제 투자적격을 1차 모델이 과민 경고한 사례입니다. 위원회가 적격/보류로 완화하는지 확인합니다.,"{""analysis"": {""eval_year"": 2023, ""fiscal_year"": 2022}, ""as_of_date"": ""2022-12-31"", ""company"": {""corp_name"": ""(주)라닉스"", ""market"": ""KOSDAQ"", ""stock_code"": ""317120""}, ""request_id"": ""committee-eval-KOSDAQ-317120-2022"", ""selected_at"": ""2026-05-21T01:02:13.329253+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tuning,rolling_validation,2021,2020,rolling_stage1_or_near_threshold_0_10,true_positive_risk_explanation,KOSDAQ,96350,(주)대창솔루션,2021,2022,2021-12-31,투기등급,투기등급,true_positive,B,deep_speculative_B_plus_or_lower,OTHER,manufacturing,small_and_medium,0.9970216,0.31,0.6870216155052185,rolling_stage1_risk,rolling OOT 43개 모델이 위험 기준선을 넘어 위원회 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 맞춘 위험 사례입니다. 위원회가 외부근거로 위험 설명을 보강하는지 확인합니다.,"{""analysis"": {""eval_year"": 2022, ""fiscal_year"": 2021}, ""as_of_date"": ""2021-12-31"", ""company"": {""corp_name"": ""(주)대창솔루션"", ""market"": ""KOSDAQ"", ""stock_code"": ""096350""}, ""request_id"": ""committee-eval-KOSDAQ-096350-2021"", ""selected_at"": ""2026-05-21T01:02:13.329380+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tuning,rolling_validation,2021,2020,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,115160,(주)휴맥스,2021,2022,2021-12-31,투자적격,투자적격,true_negative,BBB-,near_investment_BBB_plus_to_BBB_minus,BIG3,manufacturing,mid_sized,0.30423555,0.31,-0.0057644522190093,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처 또는 취약 세그먼트여서 추가 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2022, ""fiscal_year"": 2021}, ""as_of_date"": ""2021-12-31"", ""company"": {""corp_name"": ""(주)휴맥스"", ""market"": ""KOSDAQ"", ""stock_code"": ""115160""}, ""request_id"": ""committee-eval-KOSDAQ-115160-2021"", ""selected_at"": ""2026-05-21T01:02:13.329516+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tuning,rolling_validation,2022,2021,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,33500,(주)동성화인텍,2022,2023,2022-12-31,투자적격,투자적격,true_negative,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,mid_sized,0.24501151,0.25,-0.0049884915351867,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처 또는 취약 세그먼트여서 추가 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2023, ""fiscal_year"": 2022}, ""as_of_date"": ""2022-12-31"", ""company"": {""corp_name"": ""(주)동성화인텍"", ""market"": ""KOSDAQ"", ""stock_code"": ""033500""}, ""request_id"": ""committee-eval-KOSDAQ-033500-2022"", ""selected_at"": ""2026-05-21T01:02:13.329500+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tuning,rolling_validation,2020,2019,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,263800,(주)데이타솔루션,2020,2021,2020-12-31,투자적격,투자적격,true_negative,BBB+,near_investment_BBB_plus_to_BBB_minus,OTHER,wholesale_retail,mid_sized,0.32251045,0.325,-0.002489548921585,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처 또는 취약 세그먼트여서 추가 검토 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)데이타솔루션"", ""market"": ""KOSDAQ"", ""stock_code"": ""263800""}, ""request_id"": ""committee-eval-KOSDAQ-263800-2020"", ""selected_at"": ""2026-05-21T01:02:13.329493+00:00"", ""source"": ""csv_upload""}"
