evaluation_mode,split,rolling_eval_year,policy_year,committee_policy,sample_category,market,stock_code,corp_name,fiscal_year,eval_year,as_of_date,actual_label_name,model_predicted_label_name,model_error_type,credit_rating,rating_boundary_group,rating_agency_group,industry_macro_category,firm_size_group,prob_speculative,threshold,stage1_probability_margin,trigger_reason_code,trigger_reason,evidence_cutoff_rule,committee_success_question,company_selection_json
rolling_validation_tn_overhold_expanded,rolling_validation,2022,2021,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,131030,(주)옵투스제약,2022,2023,2022-12-31,투자적격,투자적격,true_negative,BBB+,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,mid_sized,0.23825942,0.25,-0.0117405802011489,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2023, ""fiscal_year"": 2022}, ""as_of_date"": ""2022-12-31"", ""company"": {""corp_name"": ""(주)옵투스제약"", ""market"": ""KOSDAQ"", ""stock_code"": ""131030""}, ""request_id"": ""committee-eval-KOSDAQ-131030-2022"", ""selected_at"": ""2026-05-22T08:19:39.585203+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2022,2021,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,031310,(주)아이즈비전,2022,2023,2022-12-31,투자적격,투자적격,true_negative,BBB-,near_investment_BBB_plus_to_BBB_minus,OTHER,it_services,mid_sized,0.23808466,0.25,-0.0119153410196304,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2023, ""fiscal_year"": 2022}, ""as_of_date"": ""2022-12-31"", ""company"": {""corp_name"": ""(주)아이즈비전"", ""market"": ""KOSDAQ"", ""stock_code"": ""031310""}, ""request_id"": ""committee-eval-KOSDAQ-031310-2022"", ""selected_at"": ""2026-05-22T08:19:39.585211+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2021,2020,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,220180,(주)핸디소프트,2021,2022,2021-12-31,투자적격,투자적격,true_negative,BBB-,near_investment_BBB_plus_to_BBB_minus,OTHER,it_services,small_and_medium,0.29693395,0.31,-0.0130660510063171,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2022, ""fiscal_year"": 2021}, ""as_of_date"": ""2021-12-31"", ""company"": {""corp_name"": ""(주)핸디소프트"", ""market"": ""KOSDAQ"", ""stock_code"": ""220180""}, ""request_id"": ""committee-eval-KOSDAQ-220180-2021"", ""selected_at"": ""2026-05-22T08:19:39.585220+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2020,2019,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSPI,005870,(주)휴니드테크놀러지스,2020,2021,2020-12-31,투자적격,투자적격,true_negative,A,upper_investment_A_or_above,OTHER,manufacturing,small_and_medium,0.31136712,0.325,-0.0136328756809234,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)휴니드테크놀러지스"", ""market"": ""KOSPI"", ""stock_code"": ""005870""}, ""request_id"": ""committee-eval-KOSPI-005870-2020"", ""selected_at"": ""2026-05-22T08:19:39.585228+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2020,2019,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,100590,(주)머큐리,2020,2021,2020-12-31,투자적격,투자적격,true_negative,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,mid_sized,0.31128055,0.325,-0.0137194514274597,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)머큐리"", ""market"": ""KOSDAQ"", ""stock_code"": ""100590""}, ""request_id"": ""committee-eval-KOSDAQ-100590-2020"", ""selected_at"": ""2026-05-22T08:19:39.585236+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2020,2019,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,294140,(주)레몬,2020,2021,2020-12-31,투자적격,투자적격,true_negative,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,mid_sized,0.31128055,0.325,-0.0137194514274597,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)레몬"", ""market"": ""KOSDAQ"", ""stock_code"": ""294140""}, ""request_id"": ""committee-eval-KOSDAQ-294140-2020"", ""selected_at"": ""2026-05-22T08:19:39.585244+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2020,2019,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,319400,현대무벡스(주),2020,2021,2020-12-31,투자적격,투자적격,true_negative,AA-,upper_investment_A_or_above,OTHER,manufacturing,mid_sized,0.31128055,0.325,-0.0137194514274597,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""현대무벡스(주)"", ""market"": ""KOSDAQ"", ""stock_code"": ""319400""}, ""request_id"": ""committee-eval-KOSDAQ-319400-2020"", ""selected_at"": ""2026-05-22T08:19:39.585252+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2020,2019,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,320000,(주)한울반도체,2020,2021,2020-12-31,투자적격,투자적격,true_negative,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,mid_sized,0.31128055,0.325,-0.0137194514274597,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)한울반도체"", ""market"": ""KOSDAQ"", ""stock_code"": ""320000""}, ""request_id"": ""committee-eval-KOSDAQ-320000-2020"", ""selected_at"": ""2026-05-22T08:19:39.585260+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2022,2021,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSPI,039130,(주)하나투어,2022,2023,2022-12-31,투자적격,투자적격,true_negative,BBB-,near_investment_BBB_plus_to_BBB_minus,OTHER,it_services,mid_sized,0.23534141,0.25,-0.014658585190773,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2023, ""fiscal_year"": 2022}, ""as_of_date"": ""2022-12-31"", ""company"": {""corp_name"": ""(주)하나투어"", ""market"": ""KOSPI"", ""stock_code"": ""039130""}, ""request_id"": ""committee-eval-KOSPI-039130-2022"", ""selected_at"": ""2026-05-22T08:19:39.585268+00:00"", ""source"": ""csv_upload""}"
rolling_validation_tn_overhold_expanded,rolling_validation,2020,2019,rolling_stage1_or_near_threshold_0_10,true_negative_overescalation_guardrail,KOSDAQ,317830,(주)에스피시스템스,2020,2021,2020-12-31,투자적격,투자적격,true_negative,BBB,near_investment_BBB_plus_to_BBB_minus,OTHER,manufacturing,small_and_medium,0.30990976,0.325,-0.0150902390480041,rolling_near_threshold_or_segment_review,rolling OOT 43개 모델은 투자적격이지만 기준선 근처여서 TN 과잉 보류 guardrail 분석 대상으로 올렸습니다.,"Use only evidence published on or before fiscal_year-12-31. For rolling validation, undated web evidence is excluded.",1차 모델이 안정으로 본 사례입니다. 위원회가 근거 없이 과도하게 위험을 키우지 않는지 확인합니다.,"{""analysis"": {""eval_year"": 2021, ""fiscal_year"": 2020}, ""as_of_date"": ""2020-12-31"", ""company"": {""corp_name"": ""(주)에스피시스템스"", ""market"": ""KOSDAQ"", ""stock_code"": ""317830""}, ""request_id"": ""committee-eval-KOSDAQ-317830-2020"", ""selected_at"": ""2026-05-22T08:19:39.585276+00:00"", ""source"": ""csv_upload""}"
