market,stock_code,corp_name,fiscal_year,eval_year,firm_size_group,industry_macro_category,listed_year,current_ratio,industry_current_ratio_percentile,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail
KOSDAQ,000250,삼천당제약(주),2025,2026,mid_sized,manufacturing,2000,2.268503381019123,0.6825885978428351,0.9002749421819706,561231384,0.647849062553494,0.5435694200749493,0.0734917953198426,-30.000205478237383,0.0518963463808619,109375936,8.63957227218412,0.0223037901244667,0.0150856014851799,0.0344274483265538,0.0495526625503529,0.2374416978443095,0.0422488093649015,9.993680412339572,0.0039847201417374,9085019,0.2245264993947665,1.172877136545276,1,14.999900575705444,5.803,0.285702977231532,0.0797641199790883,0.075971613750517,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,000440,(주)중앙에너비스,2025,2026,small_and_medium,wholesale_retail,1993,8.014451169150734,0.9485294117647058,0.0155238473849612,54994658,0.9456784148016704,0.0574419214270868,0.0,-15.703444765084395,-0.0224921676396329,8864469,-88.99561134925494,-0.027209115474452,-0.0317114073152341,-0.028772059347636,0.1718877671765754,,0.0103543632654485,26.204174321290058,-0.0296198950814459,1354950,0.0359314353768687,16.600515431996484,1,1.876259684200635,5.803,,-0.0595301855920428,-0.0035484743366509,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
KOSDAQ,0007C0,(주)아크릴,2025,2026,other,it_services,2025,7.788577311571002,0.9290322580645162,6.860140895093366,50936357,0.8588722982289448,0.1643174451685896,0.1010084015234933,-9.895656513983743,-0.2109342534040664,13312020,-2.935235644100822,-0.055126851729895,-0.0442430541312563,-0.064185155166339,-0.6554489366464442,-0.9157852283770652,-0.3539444051316028,-6.136899427952194,0.0373751503272996,1090230,0.0004726486426973,1.8518414958494305,0,6.819231122479092,5.803,0.9154518950437318,,,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
KOSDAQ,0008Z0,에스엔시스(주),2025,2026,other,manufacturing,2025,2.89039710749207,0.7526964560862865,1.2732368289240117,232525687,0.7425931484292314,0.3466324084934636,0.0238683307276928,-34.13758934118437,0.1249176910367668,38509670,64.22713118790372,0.0843657974011275,0.076286221229399,0.113609716948752,0.3006556068667762,3.2424057657657657,0.1245996858999951,65.15711264953799,0.0001975179628218,955796,0.0244911393380809,2.4129724300275144,1,1.6285769349656274,5.803,0.5405405405405406,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0009K0,(주)에임드바이오,2025,2026,other,it_services,2025,31.433426453695365,0.9956989247311828,18.73581730989325,198968699,0.967850480843723,0.033217444008759,0.0,-5.003225411146009,0.1061391669037201,47278353,364.15014114635386,-0.0209302016896637,0.1043811167504291,-0.0216254494923822,2.7920718465070062,,0.377766543601889,313.15519085441764,-0.064543292812102,1087691,0.0081384559889995,7.39099820721404,0,19.18968393065717,5.803,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KOSDAQ,001000,신라섬유(주),2025,2026,small_and_medium,other,1994,,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,,5.803,,,,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
KOSDAQ,0010V0,제이피아이헬스케어(주),2025,2026,other,manufacturing,2025,7.517923652066852,0.9314329738058552,0.9354520232010344,82378185,0.7653785890038728,0.3065429505958391,0.1332738879838151,-23.497998601235576,0.0999088924925841,20321361,11.94191241521675,0.068442840783637,0.0589889544179687,0.0894235111446144,0.1664443431044978,0.2930161881091308,0.0663748428644636,7.905691536419935,0.0197296408023556,1427954,0.0091968644368651,2.507641990872575,1,1.1579166090342916,5.803,0.0,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0013V0,삼진식품(주),2025,2026,other,manufacturing,2025,1.537209593035403,0.5007704160246533,0.6991617567589581,83070754,0.5020643366256192,0.9917766052076368,0.1934526319575719,-7.368019722002746,0.0474331443120172,45954576,4.21834650030527,0.0584821584742086,0.0716947868319577,0.1164833950709742,0.1991871364325952,0.5126959396290887,0.0752451240291481,5.835649417154319,-0.0366596287304675,4226343,0.0032255997098569,2.647176664303656,0,3.3080528008064283,5.803,0.4363855186874434,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,001540,안국약품(주),2025,2026,mid_sized,manufacturing,2000,1.6493008521048311,0.5416024653312789,0.4696958611477371,310952617,0.5347742772012111,0.8699478315105008,0.2331003054397834,-24.499786235989948,0.0238516990353145,200302298,3.565562728802269,0.0248161249596429,0.0315885329886128,0.0464048590547779,0.3157867301056255,0.6302527552955411,0.1488647434810879,16.582737260126287,-0.1233732694393113,8207005,0.0178955207185151,2.1212996625070173,1,0.6635349741136031,5.803,0.3085765450315004,0.0278225300365674,-0.0364294573823664,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KOSDAQ,0015G0,(주)그린광학,2025,2026,other,manufacturing,2025,2.497846124672292,0.714175654853621,0.1098621410921209,99906203,0.6562437969942667,0.5238239272968496,0.152881758503023,-10.204886254627413,0.0490406342397725,11067217,2.3252818953503103,0.0106218930169931,0.0220448173773554,0.0161858947324814,-0.2350773483923843,-0.5285738304378809,-0.1933648204380221,-8.523744668271464,0.1013039200378779,4567106,0.039877183601903,1.2157193219525266,0,2.739875861208301,5.803,0.4673210449555697,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
