policy_name,policy_type,selection_rule,split,threshold_detail,rows,positive_rows,positive_rate,pr_auc,roc_auc,logloss,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
current_artifact_threshold,global,saved_model_threshold,valid,0.315000,676,176,0.2603550295857988,0.820590425087869,0.9294261363636364,0.2925593898750077,0.8520710059171598,0.8521363636363637,0.6696428571428571,0.8522727272727273,0.75,426,74,26,150
current_artifact_threshold,global,saved_model_threshold,test,0.315000,672,167,0.24851190476190477,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8497023809523809,0.8458943499140332,0.6542056074766355,0.8383233532934131,0.7349081364829397,431,74,27,140
default_0_5,global,fixed_0_5,valid,0.500000,676,176,0.2603550295857988,0.820590425087869,0.9294261363636364,0.2925593898750077,0.863905325443787,0.8085909090909091,0.7625,0.6931818181818182,0.7261904761904763,462,38,54,122
default_0_5,global,fixed_0_5,test,0.500000,672,167,0.24851190476190477,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8482142857142857,0.7907986008181657,0.7018633540372671,0.6766467065868264,0.6890243902439024,457,48,54,113
global_valid_best_f1_grid,global,valid_best_f1_grid,valid,0.340000,676,176,0.2603550295857988,0.820590425087869,0.9294261363636364,0.2925593898750077,0.8653846153846154,0.8574545454545455,0.7014218009478673,0.8409090909090909,0.764857881136951,437,63,28,148
global_valid_best_f1_grid,global,valid_best_f1_grid,test,0.340000,672,167,0.24851190476190477,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8526785714285714,0.8398588960692477,0.6666666666666666,0.8143712574850299,0.7331536388140161,437,68,31,136
global_valid_precision_at_recall_0.90,global,valid_max_precision_with_recall_ge_0.90,valid,0.255000,676,176,0.2603550295857988,0.820590425087869,0.9294261363636364,0.2925593898750077,0.8387573964497042,0.8597045454545454,0.6334661354581673,0.9034090909090909,0.7447306791569086,408,92,17,159
global_valid_precision_at_recall_0.90,global,valid_max_precision_with_recall_ge_0.90,test,0.255000,672,167,0.24851190476190477,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8229166666666666,0.842099958498844,0.5975609756097561,0.8802395209580839,0.711864406779661,406,99,20,147
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,valid,0.315000,676,176,0.2603550295857988,0.820590425087869,0.9294261363636364,0.2925593898750077,0.8520710059171598,0.8521363636363637,0.6696428571428571,0.8522727272727273,0.75,426,74,26,150
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,test,0.315000,672,167,0.24851190476190477,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8497023809523809,0.8458943499140332,0.6542056074766355,0.8383233532934131,0.7349081364829397,431,74,27,140
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,valid,0.360000,676,176,0.2603550295857988,0.820590425087869,0.9294261363636364,0.2925593898750077,0.8683431952662722,0.8484090909090909,0.7208121827411168,0.8068181818181818,0.7613941018766757,445,55,34,142
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,test,0.360000,672,167,0.24851190476190477,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8497023809523809,0.8278591332187111,0.6683673469387755,0.7844311377245509,0.721763085399449,440,65,36,131
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,valid,0.425000,676,176,0.2603550295857988,0.820590425087869,0.9294261363636364,0.2925593898750077,0.8653846153846154,0.8280000000000001,0.7374301675977654,0.75,0.743661971830986,453,47,44,132
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,test,0.425000,672,167,0.24851190476190477,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8452380952380952,0.8128653583921266,0.6684491978609626,0.7485029940119761,0.7062146892655368,443,62,42,125
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,valid,KOSDAQ:0.340; KOSPI:0.225; fallback:0.340,676,176,0.2603550295857988,0.820590425087869,0.9294261363636364,0.2925593898750077,0.8624260355029586,0.8646590909090909,0.6860986547085202,0.8693181818181818,0.7669172932330827,430,70,23,153
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,test,KOSDAQ:0.340; KOSPI:0.225; fallback:0.340,672,167,0.24851190476190477,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8407738095238095,0.8319381039900398,0.6415094339622641,0.8143712574850299,0.7176781002638523,429,76,31,136
industry_valid_best_f1_by_segment,segment,valid_best_f1_by_industry_macro_category_fallback_global,valid,it_services:0.350; manufacturing:0.340; wholesale_retail:0.455; fallback:0.340,676,176,0.2603550295857988,0.820590425087869,0.9294261363636364,0.2925593898750077,0.8727810650887574,0.8624545454545455,0.7184466019417476,0.8409090909090909,0.7748691099476439,442,58,28,148
industry_valid_best_f1_by_segment,segment,valid_best_f1_by_industry_macro_category_fallback_global,test,it_services:0.350; manufacturing:0.340; wholesale_retail:0.455; fallback:0.340,672,167,0.24851190476190477,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8526785714285714,0.8378549831031008,0.6683168316831684,0.8083832335329342,0.7317073170731708,438,67,32,135
kosdaq_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,valid,market=KOSDAQ:0.340; fallback:0.315,676,176,0.2603550295857988,0.820590425087869,0.9294261363636364,0.2925593898750077,0.8624260355029586,0.8554545454545455,0.6948356807511737,0.8409090909090909,0.7609254498714653,435,65,28,148
kosdaq_conservative_recall_0.85,targeted_segment,valid_conservative_max_precision_with_recall_ge_0.85,test,market=KOSDAQ:0.340; fallback:0.315,672,167,0.24851190476190477,0.7741723973926523,0.9102448568210114,0.32021936378233706,0.8497023809523809,0.8378786980494457,0.6601941747572816,0.8143712574850299,0.7292225201072388,435,70,31,136
