split,probability_bin,rows,mean_probability,actual_positive_rate,calibration_gap
valid,"(-0.001, 0.1]",352,0.02402489545806513,0.019886363636363636,0.004138531821701492
valid,"(0.1, 0.2]",40,0.15343345724056706,0.125,0.02843345724056706
valid,"(0.2, 0.3]",47,0.24536907118599488,0.2978723404255319,-0.05250326923953702
valid,"(0.3, 0.4]",55,0.3382370233923223,0.3090909090909091,0.02914611430141323
valid,"(0.4, 0.5]",38,0.46678971322856416,0.5526315789473685,-0.08584186571880431
valid,"(0.5, 0.6]",19,0.5486095436177765,0.631578947368421,-0.08296940375064454
valid,"(0.6, 0.7]",22,0.6514687897549446,0.5454545454545454,0.10601424430039919
valid,"(0.7, 0.8]",28,0.7547568977009996,0.75,0.004756897700999629
valid,"(0.8, 0.9]",37,0.8588445732935002,0.8378378378378378,0.02100673545566234
valid,"(0.9, 1.0]",38,0.944321847447313,0.9473684210526315,-0.00304657360531857
test,"(-0.001, 0.1]",531,0.020808902206059084,0.02071563088512241,9.327132093667201e-05
test,"(0.1, 0.2]",67,0.1452204908038608,0.13432835820895522,0.010892132594905568
test,"(0.2, 0.3]",49,0.2479731686255443,0.24489795918367346,0.003075209441870841
test,"(0.3, 0.4]",52,0.3426058345614814,0.34615384615384615,-0.0035480115923647304
test,"(0.4, 0.5]",58,0.46035142096679565,0.41379310344827586,0.0465583175185198
test,"(0.5, 0.6]",23,0.5434944039067456,0.6086956521739131,-0.06520124826716744
test,"(0.6, 0.7]",39,0.6463853008201951,0.6923076923076923,-0.045922391487497216
test,"(0.7, 0.8]",27,0.7462288413250944,0.7037037037037037,0.04252513762139065
test,"(0.8, 0.9]",34,0.8529579539377561,0.7941176470588235,0.0588403068789326
test,"(0.9, 1.0]",44,0.9413117246274261,0.9545454545454546,-0.013233729918028514
