policy_name,policy_type,selection_rule,split,dimension,segment,rows,positive_rows,positive_rate,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
global_valid_precision_at_recall_0.90,global,valid_max_precision_with_recall_ge_0.90,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.8636363636363636,0.8608294930875575,0.46153846153846156,0.8571428571428571,0.6,134,21,3,18
global_valid_precision_at_recall_0.90,global,valid_max_precision_with_recall_ge_0.90,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.81438127090301,0.8319741760108732,0.6103896103896104,0.8703703703703703,0.7175572519083969,346,90,21,141
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,valid,market,KOSDAQ,403,143,0.3548387096774194,0.7692307692307693,0.7928321678321679,0.625,0.8741258741258742,0.728862973760933,185,75,18,125
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,valid,market,KOSPI,273,33,0.12087912087912088,0.9340659340659341,0.8579545454545454,0.7142857142857143,0.7575757575757576,0.7352941176470589,230,10,8,25
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.8449612403100775,0.8545939294503692,0.5405405405405406,0.8695652173913043,0.6666666666666666,89,17,3,20
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.8133333333333334,0.820391532409142,0.6477272727272727,0.8382352941176471,0.7307692307692308,252,62,22,114
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,test,market,KOSDAQ,427,163,0.38173302107728335,0.7283372365339579,0.7486173080498233,0.6044444444444445,0.8343558282208589,0.7010309278350515,175,89,27,136
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,test,market,KOSPI,497,40,0.08048289738430583,0.9577464788732394,0.9199945295404814,0.6862745098039216,0.875,0.7692307692307692,441,16,5,35
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.8693181818181818,0.8228878648233486,0.47058823529411764,0.7619047619047619,0.5818181818181817,137,18,5,16
global_valid_precision_at_recall_0.85,global,valid_max_precision_with_recall_ge_0.85,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8244147157190636,0.8291567561445237,0.6325581395348837,0.8395061728395061,0.7214854111405835,357,79,26,136
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,valid,market,KOSDAQ,403,143,0.3548387096774194,0.8213399503722084,0.819055944055944,0.7204968944099379,0.8111888111888111,0.763157894736842,215,45,27,116
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,valid,market,KOSPI,273,33,0.12087912087912088,0.9487179487179487,0.8662878787878787,0.8064516129032258,0.7575757575757576,0.7812499999999999,234,6,8,25
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.875968992248062,0.856439704675964,0.6129032258064516,0.8260869565217391,0.7037037037037037,94,12,4,19
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.8555555555555555,0.8360575121768452,0.7482517482517482,0.7867647058823529,0.7670250896057347,278,36,29,107
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,test,market,KOSDAQ,427,163,0.38173302107728335,0.7540983606557377,0.7565416434281464,0.6510416666666666,0.7668711656441718,0.7042253521126761,197,67,38,125
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,test,market,KOSPI,497,40,0.08048289738430583,0.959758551307847,0.8982768052516411,0.717391304347826,0.825,0.7674418604651162,444,13,7,33
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.8806818181818182,0.8293394777265745,0.5,0.7619047619047619,0.6037735849056604,139,16,5,16
global_valid_precision_at_recall_0.80,global,valid_max_precision_with_recall_ge_0.80,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8377926421404682,0.8131158681617398,0.6795580110497238,0.7592592592592593,0.7172011661807581,378,58,39,123
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,valid,market,KOSDAQ,403,143,0.3548387096774194,0.8188585607940446,0.813986013986014,0.7215189873417721,0.7972027972027972,0.7574750830564784,216,44,29,114
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,valid,market,KOSPI,273,33,0.12087912087912088,0.9487179487179487,0.8662878787878787,0.8064516129032258,0.7575757575757576,0.7812499999999999,234,6,8,25
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.875968992248062,0.856439704675964,0.6129032258064516,0.8260869565217391,0.7037037037037037,94,12,4,19
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.8511111111111112,0.8287045710003746,0.7446808510638298,0.7720588235294118,0.7581227436823105,278,36,31,105
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,test,market,KOSDAQ,427,163,0.38173302107728335,0.7540983606557377,0.7565416434281464,0.6510416666666666,0.7668711656441718,0.7042253521126761,197,67,38,125
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,test,market,KOSPI,497,40,0.08048289738430583,0.9577464788732394,0.8857768052516412,0.7111111111111111,0.8,0.7529411764705882,444,13,8,32
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.8806818181818182,0.8293394777265745,0.5,0.7619047619047619,0.6037735849056604,139,16,5,16
global_valid_precision_at_recall_0.75,global,valid_max_precision_with_recall_ge_0.75,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8377926421404682,0.8131158681617398,0.6795580110497238,0.7592592592592593,0.7172011661807581,378,58,39,123
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,valid,market,KOSDAQ,403,143,0.3548387096774194,0.8238213399503722,0.8241258741258741,0.7195121951219512,0.8251748251748252,0.7687296416938111,214,46,25,118
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,valid,market,KOSPI,273,33,0.12087912087912088,0.9487179487179487,0.8662878787878787,0.8064516129032258,0.7575757575757576,0.7812499999999999,234,6,8,25
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.8682170542635659,0.8517227235438884,0.59375,0.8260869565217391,0.6909090909090908,93,13,4,19
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.86,0.8434104533533159,0.7517241379310344,0.8014705882352942,0.7758007117437723,278,36,27,109
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,test,market,KOSDAQ,427,163,0.38173302107728335,0.7494145199063232,0.7527537646402678,0.6443298969072165,0.7668711656441718,0.700280112044818,195,69,38,125
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,test,market,KOSPI,497,40,0.08048289738430583,0.9617706237424547,0.9107768052516412,0.723404255319149,0.85,0.7816091954022989,444,13,6,34
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,test,industry_macro_category,it_services,176,21,0.11931818181818182,0.8806818181818182,0.8293394777265745,0.5,0.7619047619047619,0.6037735849056604,139,16,5,16
market_valid_best_f1_by_segment,segment,valid_best_f1_by_market_fallback_global,test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.8361204013377926,0.8139087099331748,0.6739130434782609,0.7654320987654321,0.7167630057803468,376,60,38,124
industry_valid_best_f1_by_segment,segment,valid_best_f1_by_industry_macro_category_fallback_global,valid,market,KOSDAQ,403,143,0.3548387096774194,0.8287841191066998,0.827972027972028,0.7283950617283951,0.8251748251748252,0.7737704918032787,216,44,25,118
industry_valid_best_f1_by_segment,segment,valid_best_f1_by_industry_macro_category_fallback_global,valid,market,KOSPI,273,33,0.12087912087912088,0.9413919413919414,0.8621212121212121,0.7575757575757576,0.7575757575757576,0.7575757575757576,232,8,8,25
industry_valid_best_f1_by_segment,segment,valid_best_f1_by_industry_macro_category_fallback_global,valid,industry_macro_category,it_services,129,23,0.17829457364341086,0.875968992248062,0.856439704675964,0.6129032258064516,0.8260869565217391,0.7037037037037037,94,12,4,19
industry_valid_best_f1_by_segment,segment,valid_best_f1_by_industry_macro_category_fallback_global,valid,industry_macro_category,manufacturing,450,136,0.3022222222222222,0.8555555555555555,0.8402257399775197,0.7414965986394558,0.8014705882352942,0.7703180212014136,276,38,27,109
industry_valid_best_f1_by_segment,segment,valid_best_f1_by_industry_macro_category_fallback_global,test,market,KOSDAQ,427,163,0.38173302107728335,0.7494145199063232,0.7527537646402678,0.6443298969072165,0.7668711656441718,0.700280112044818,195,69,38,125
industry_valid_best_f1_by_segment,segment,valid_best_f1_by_industry_macro_category_fallback_global,test,market,KOSPI,497,40,0.08048289738430583,0.959758551307847,0.9096827133479213,0.7083333333333334,0.85,0.7727272727272727,443,14,6,34
