error_type,error_note,corp_name,stock_code,market,fiscal_year,eval_year,industry_macro_category,prob_speculative,decision_threshold,actual_label_name,predicted_label_name,probability_distance_from_threshold
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)라닉스,317120,KOSDAQ,2023,2024,manufacturing,0.9420577632063778,0.305,투자적격,투기등급,0.6370577632063779
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)푸드나무,290720,KOSDAQ,2023,2024,wholesale_retail,0.9190285490913782,0.305,투자적격,투기등급,0.6140285490913782
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,유니온머티리얼(주),47400,KOSPI,2023,2024,manufacturing,0.892687839236888,0.305,투자적격,투기등급,0.587687839236888
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)엑스페릭스,317770,KOSDAQ,2023,2024,manufacturing,0.8597137627929778,0.305,투자적격,투기등급,0.5547137627929779
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,한국맥널티(주),222980,KOSDAQ,2023,2024,manufacturing,0.8582181242686486,0.305,투자적격,투기등급,0.5532181242686487
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)웹스,196700,KOSDAQ,2023,2024,manufacturing,0.8576343301164343,0.305,투자적격,투기등급,0.5526343301164343
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,범양건영(주),2410,KOSPI,2023,2024,construction,0.8552542894250799,0.305,투자적격,투기등급,0.5502542894250799
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,브이엠(주),89970,KOSDAQ,2023,2024,manufacturing,0.8106712493529207,0.305,투자적격,투기등급,0.5056712493529207
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,알에스오토메이션(주),140670,KOSDAQ,2023,2024,manufacturing,0.8061564098371976,0.305,투자적격,투기등급,0.5011564098371977
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,한국맥널티(주),222980,KOSDAQ,2024,2025,manufacturing,0.7975801776795387,0.305,투자적격,투기등급,0.4925801776795387
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)한솔홈데코,25750,KOSPI,2023,2024,manufacturing,0.7734691613483814,0.305,투자적격,투기등급,0.4684691613483814
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)케이엑스하이텍,52900,KOSDAQ,2023,2024,manufacturing,0.7261409356957502,0.305,투자적격,투기등급,0.42114093569575023
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)에스에너지,95910,KOSDAQ,2023,2024,manufacturing,0.7223694312910472,0.305,투자적격,투기등급,0.41736943129104725
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)파라텍,33540,KOSDAQ,2023,2024,manufacturing,0.72006273524928,0.305,투자적격,투기등급,0.41506273524928
false_positive,모델은 부적격으로 봤지만 실제 라벨은 투자적격,(주)윙스풋,335870,KOSDAQ,2023,2024,wholesale_retail,0.7168797597797686,0.305,투자적격,투기등급,0.4118797597797686
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,케이지모빌리티(주),3620,KOSPI,2024,2025,manufacturing,0.0087511309625998,0.305,투기등급,투자적격,0.2962488690374002
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,제이엠티(주),94970,KOSDAQ,2023,2024,manufacturing,0.0095106965179139,0.305,투기등급,투자적격,0.2954893034820861
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)엑시콘,92870,KOSDAQ,2023,2024,manufacturing,0.0122700154709642,0.305,투기등급,투자적격,0.2927299845290358
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,케이지케미칼(주),1390,KOSPI,2023,2024,manufacturing,0.0290309677623121,0.305,투기등급,투자적격,0.2759690322376879
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,코리아에프티(주),123410,KOSDAQ,2023,2024,manufacturing,0.031223265863739,0.305,투기등급,투자적격,0.27377673413626097
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,케이지모빌리티(주),3620,KOSPI,2023,2024,manufacturing,0.0348169741840511,0.305,투기등급,투자적격,0.2701830258159489
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)디알비동일,4840,KOSPI,2023,2024,manufacturing,0.0427181202894149,0.305,투기등급,투자적격,0.2622818797105851
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)톱텍,108230,KOSDAQ,2024,2025,manufacturing,0.0482267258668345,0.305,투기등급,투자적격,0.2567732741331655
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,삼보모터스(주),53700,KOSDAQ,2023,2024,manufacturing,0.0526320373706082,0.305,투기등급,투자적격,0.25236796262939176
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)서진시스템,178320,KOSDAQ,2024,2025,manufacturing,0.0558675590956024,0.305,투기등급,투자적격,0.2491324409043976
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,아진산업(주),13310,KOSDAQ,2024,2025,manufacturing,0.0587939463968969,0.305,투기등급,투자적격,0.2462060536031031
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,삼보모터스(주),53700,KOSDAQ,2024,2025,manufacturing,0.1076975683520529,0.305,투기등급,투자적격,0.19730243164794709
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,에스넷시스템(주),38680,KOSDAQ,2023,2024,it_services,0.1134244669172387,0.305,투기등급,투자적격,0.1915755330827613
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,(주)위닉스,44340,KOSDAQ,2023,2024,manufacturing,0.1303090140710656,0.305,투기등급,투자적격,0.1746909859289344
false_negative,모델은 투자적격으로 봤지만 실제 라벨은 투기등급,우리산업(주),215360,KOSDAQ,2024,2025,manufacturing,0.1510947011792248,0.305,투기등급,투자적격,0.1539052988207752
