distance_bucket,rows,positive_rows,negative_rows,positive_rate,pr_auc,roc_auc,precision,recall,f1,true_positive,true_negative,false_positive,false_negative,fp_rate_among_negatives,fn_rate_among_positives
<=0.02,15,4,11,0.26666666666666666,0.65,0.8181818181818181,0.4444444444444444,1.0,0.6153846153846154,4,6,5,0,0.45454545454545453,0.0
0.02-0.05,23,10,13,0.43478260869565216,0.6281831618673724,0.5923076923076923,0.45454545454545453,0.5,0.47619047619047616,5,7,6,5,0.46153846153846156,0.5
0.05-0.10,30,6,24,0.2,0.3132732764311712,0.375,0.1,0.16666666666666666,0.125,1,15,9,5,0.375,0.8333333333333334
0.10-0.20,92,27,65,0.29347826086956524,0.696105692316114,0.8205128205128205,0.6176470588235294,0.7777777777777778,0.6885245901639344,21,52,13,6,0.2,0.2222222222222222
>0.20,764,156,608,0.20418848167539266,0.8745908697370631,0.9608426113360324,0.7759562841530054,0.9102564102564102,0.8377581120943953,142,567,41,14,0.06743421052631579,0.08974358974358974
