variant,feature_count,added_features,best_iteration,threshold_tuned,valid_pr_auc,valid_roc_auc,valid_brier,valid_logloss,test_pr_auc,test_roc_auc,test_brier,test_logloss,valid_threshold_at_threshold,valid_precision_at_threshold,valid_recall_at_threshold,valid_f1_at_threshold,valid_true_negative_at_threshold,valid_false_positive_at_threshold,valid_false_negative_at_threshold,valid_true_positive_at_threshold,test_threshold_at_threshold,test_precision_at_threshold,test_recall_at_threshold,test_f1_at_threshold,test_true_negative_at_threshold,test_false_positive_at_threshold,test_false_negative_at_threshold,test_true_positive_at_threshold,delta_test_pr_auc,delta_test_roc_auc,delta_test_precision_at_threshold,delta_test_recall_at_threshold,delta_test_f1_at_threshold,delta_test_false_positive_at_threshold,delta_test_false_negative_at_threshold
baseline_43_native,43,,332,0.315,0.8155875017491411,0.9246477272727273,0.0944402621710599,0.29916013112974943,0.7743939580944008,0.9110393075235668,0.10178817167985191,0.3210880411511589,0.315,0.6651982378854625,0.8579545454545454,0.749379652605459,424,76,25,151,0.315,0.64,0.8622754491017964,0.7346938775510204,424,81,23,144,0.0,0.0,0.0,0.0,0.0,0,0
feature_45_candidate3,45,"delta_accruals_ratio, is_3y_consecutive_operating_loss",272,0.315,0.8179252823269301,0.9253522727272727,0.09424321206325022,0.29796136394101336,0.7749969045570326,0.910161854508804,0.1026266921864392,0.32027233723270115,0.315,0.6536796536796536,0.8579545454545454,0.742014742014742,420,80,25,151,0.315,0.6293103448275862,0.874251497005988,0.731829573934837,419,86,21,146,0.0006029464626318148,-0.0008774530147627191,-0.010689655172413826,0.0119760479041916,-0.0028643036161833946,5,-2
