market,stock_code,corp_name,fiscal_year,eval_year,split,is_speculative,credit_rating,rating_boundary_group,prob_speculative,threshold,stage1_risk,financial_support_count,financial_blocker_count,financial_blocker_count_extended,current_ratio,cash_ratio,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,interest_coverage_ratio,net_margin,ocf_to_sales,ocf_to_total_liabilities,ocf_to_total_borrowings,cashflow_coverage_ratio,short_term_borrowings_share,dividend_payer,is_2y_consecutive_operating_loss,is_2y_consecutive_ocf_deficit,icr_under_1,candidate__dashboard_composite_filter,candidate__financial_resilience_v1_support8_block0,candidate__financial_resilience_strict_support9_block0,candidate__financial_resilience_lax_support7_block0,candidate__financial_resilience_v1_support8_block0_prob_lt_0_85,candidate__financial_resilience_v1_support8_block0_prob_lt_0_90,candidate__extended_blocker_support8_block0,candidate__liquidity_capital_profit_core,candidate__liquidity_capital_profit_core_prob_lt_0_85,candidate__liquidity_capital_profit_core_prob_lt_0_80,candidate__liquidity_capital_profit_core_plus_support8,candidate__liquidity_capital_profit_core_plus_support8_prob_lt_0_85,candidate__liquidity_capital_profit_core_plus_ocf_not_deep_negative,candidate__cashflow_quality_core,candidate__low_borrowing_buffer,candidate__dividend_balance_sheet_buffer,candidate__dashboard_or_financial_resilience_v1
KOSDAQ,222980,한국맥널티(주),2023,2024,test,0,BBB-,near_investment_BBB_plus_to_BBB_minus,0.8424745910594227,0.315,True,8,2,2,1.139213,0.163959,0.443932,1.252599,0.247255,-5.801163,-1.744714,-0.054938,0.025006,0.041722,0.093832,0.817131,0.769261,0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,222980,한국맥널티(주),2024,2025,test,0,BBB-,near_investment_BBB_plus_to_BBB_minus,0.7509064461066357,0.315,True,8,1,1,1.308166,0.072102,0.469827,1.128444,0.353879,-5.92657,0.269792,-0.003959,-0.035359,-0.072857,-0.109153,-1.483339,0.742985,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,225430,케이엠제약(주),2023,2024,test,1,BB+,near_speculative_BB_plus_to_BB_minus,0.3268851283594954,0.315,True,4,0,0,,,,,,,1000000.0,,,,,1000000.0,,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
KOSDAQ,232140,(주)와이씨,2023,2024,test,0,A-,upper_investment_A_or_above,0.0094555401578558,0.315,False,13,0,0,2.504086,0.27538,0.761659,0.312923,0.063609,-43.585641,9.423708,0.050471,0.094371,0.210378,0.788278,26.475773,0.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,234100,(주)폴라리스세원,2023,2024,test,0,BBB,near_investment_BBB_plus_to_BBB_minus,0.1101049903316634,0.315,False,12,0,0,4.064587,1.203702,0.820373,0.218958,0.0,-42.679701,4.899669,0.076135,0.126277,0.389585,,13.473059,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,236200,(주)슈프리마,2023,2024,test,0,A+,upper_investment_A_or_above,0.009278525984253,0.315,False,13,0,0,8.897837,2.958649,0.934414,0.07019,5e-06,-55.748739,1399.524738,0.242571,0.247415,1.634293,23412.976,1966.650651,0.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,237750,피앤씨테크(주),2023,2024,test,0,BBB,near_investment_BBB_plus_to_BBB_minus,0.2776096790114264,0.315,False,4,0,0,,,,,,,1000000.0,,,,,1000000.0,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,238490,(주)힘스,2023,2024,test,0,BBB-,near_investment_BBB_plus_to_BBB_minus,0.2684282144556414,0.315,False,11,1,1,1.515669,0.107591,0.716871,0.394952,0.062763,-11.116283,21.893981,0.111762,0.234181,0.433484,1.955484,45.182325,1.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,239610,(주)에이치엘사이언스,2023,2024,test,0,BBB+,near_investment_BBB_plus_to_BBB_minus,0.5799712379970611,0.315,True,7,2,2,11.981759,0.714026,0.968145,0.032903,0.0,-37.053116,-246970.684211,-0.05437,-0.076413,-0.579209,,-102906.052632,,0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KOSDAQ,240600,(주)유진테크놀로지,2023,2024,test,1,BB+,near_speculative_BB_plus_to_BB_minus,0.7363885301331032,0.315,True,12,0,0,2.231405,1.419089,0.678759,0.473276,0.195819,-12.812382,4.700979,-0.038182,0.225115,0.472179,0.77461,7.878949,0.754545,0,0,0,0,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True
