rows,positive_rows,positive_rate,threshold,pr_auc,roc_auc,logloss,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
924,203,0.2196969696969697,0.1,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.7878787878787878,0.8410732220574872,0.5093833780160858,0.9359605911330049,0.6597222222222223,538,183,13,190
924,203,0.2196969696969697,0.15,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8354978354978355,0.8662776794681716,0.5789473684210527,0.9211822660098522,0.7110266159695817,585,136,16,187
924,203,0.2196969696969697,0.2,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8614718614718615,0.877612511358745,0.6279863481228669,0.9064039408866995,0.7419354838709677,612,109,19,184
924,203,0.2196969696969697,0.25,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8744588744588745,0.8770864221148787,0.6605166051660517,0.8817733990147784,0.7552742616033756,629,92,24,179
924,203,0.2196969696969697,0.3,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8809523809523809,0.8706298723037926,0.6837944664031621,0.8522167487684729,0.7587719298245614,641,80,30,173
924,203,0.2196969696969697,0.32,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8874458874458875,0.8747907599598259,0.7004048582995951,0.8522167487684729,0.7688888888888888,647,74,30,173
924,203,0.2196969696969697,0.35,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8917748917748918,0.8704863934191018,0.7191489361702128,0.8325123152709359,0.771689497716895,655,66,34,169
924,203,0.2196969696969697,0.4,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8939393939393939,0.86302549141518,0.7354260089686099,0.8078817733990148,0.7699530516431925,662,59,39,164
924,203,0.2196969696969697,0.45,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8982683982683982,0.8569515519632694,0.7607655502392344,0.7832512315270936,0.7718446601941747,671,50,44,159
924,203,0.2196969696969697,0.5,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8928571428571429,0.8322492706490028,0.7736842105263158,0.7241379310344828,0.7480916030534351,678,43,56,147
924,203,0.2196969696969697,0.55,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8885281385281385,0.8100100435219284,0.7906976744186046,0.6699507389162561,0.7253333333333333,685,36,67,136
924,203,0.2196969696969697,0.6,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8874458874458875,0.7933904060452437,0.8193548387096774,0.625615763546798,0.7094972067039107,693,28,76,127
924,203,0.2196969696969697,0.65,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8809523809523809,0.7733033621885312,0.8251748251748252,0.5812807881773399,0.6820809248554913,696,25,85,118
924,203,0.2196969696969697,0.7,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8755411255411255,0.7450619350518916,0.8666666666666667,0.5123152709359606,0.6439628482972136,705,16,99,104
924,203,0.2196969696969697,0.75,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8722943722943723,0.7305944808455689,0.8899082568807339,0.47783251231527096,0.6217948717948719,709,12,106,97
924,203,0.2196969696969697,0.8,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8658008658008658,0.7051987182552968,0.9340659340659341,0.4187192118226601,0.5782312925170068,715,6,118,85
924,203,0.2196969696969697,0.85,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8506493506493507,0.6689463867234205,0.9333333333333333,0.3448275862068966,0.5035971223021584,716,5,133,70
924,203,0.2196969696969697,0.9,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8344155844155844,0.6249222822707925,0.9807692307692307,0.2512315270935961,0.39999999999999997,720,1,152,51
