variant,feature_count,best_iteration,threshold_tuned,max_depth,min_child_weight,reg_lambda,subsample,colsample_bytree,scale_pos_weight_multiplier,scale_pos_weight,valid_pr_auc,valid_roc_auc,valid_brier,valid_logloss,test_pr_auc,test_roc_auc,test_brier,test_logloss,valid_precision_at_threshold,valid_recall_at_threshold,valid_f1_at_threshold,valid_true_negative_at_threshold,valid_false_positive_at_threshold,valid_false_negative_at_threshold,valid_true_positive_at_threshold,test_precision_at_threshold,test_recall_at_threshold,test_f1_at_threshold,test_true_negative_at_threshold,test_false_positive_at_threshold,test_false_negative_at_threshold,test_true_positive_at_threshold
feature_45_tuned_024,45,177,0.31,4,5,1.0,0.9,0.75,0.8,2.708883826879271,0.8123919596419565,0.923778409090909,0.09570516570748976,0.3030353176637276,0.7680962758148668,0.9037528902590858,0.1061066223564395,0.3314202852378475,0.6495726495726496,0.8636363636363636,0.7414634146341463,418,82,24,152,0.5933609958506224,0.8562874251497006,0.7009803921568627,407,98,24,143
feature_45_tuned_025,45,175,0.325,4,5,3.0,0.75,0.75,1.2,4.0633257403189065,0.8041308147343118,0.9213181818181818,0.0976865422433423,0.3083635589527135,0.7630363748695873,0.9044821248591924,0.10523776850527797,0.3305660770382883,0.6536796536796536,0.8579545454545454,0.742014742014742,420,80,25,151,0.6181818181818182,0.8143712574850299,0.7028423772609819,421,84,31,136
feature_45_tuned_026,45,220,0.31,4,8,1.0,0.9,0.75,1.0,3.3861047835990887,0.8102524022259859,0.9223920454545456,0.09624244295897995,0.3042578995900532,0.7668798385703909,0.9046955593762969,0.1053925257619879,0.329347578767121,0.6371308016877637,0.8579545454545454,0.7312348668280871,414,86,25,151,0.5909090909090909,0.8562874251497006,0.6992665036674817,406,99,24,143
feature_45_tuned_027,45,200,0.3,4,8,3.0,0.75,0.75,0.8,2.708883826879271,0.8054099459179932,0.9227727272727273,0.09729364393436442,0.3062043258873629,0.7622254107163953,0.9044050512835715,0.10512728841472271,0.33081665846063557,0.648068669527897,0.8579545454545454,0.7383863080684596,418,82,25,151,0.5907172995780591,0.8383233532934131,0.693069306930693,408,97,27,140
feature_45_tuned_028,45,266,0.305,4,8,6.0,0.9,0.75,1.5,5.079157175398633,0.8120486396495253,0.9231079545454545,0.09641682709088453,0.30295583551997685,0.7572305535532368,0.903533527005395,0.1059701803563235,0.33226164526401575,0.6329113924050633,0.8522727272727273,0.7263922518159807,413,87,26,150,0.5813008130081301,0.8562874251497006,0.6924939467312349,402,103,24,143
feature_45_tuned_029,45,161,0.335,5,1,0.5,0.9,0.9,1.5,5.079157175398633,0.8271494207246012,0.9300965909090909,0.09261724248561579,0.2907591502635472,0.7800859477871095,0.9086915278354183,0.10284266534520421,0.32236772070793196,0.6550218340611353,0.8522727272727273,0.7407407407407407,421,79,26,150,0.6088888888888889,0.8203592814371258,0.6989795918367347,417,88,30,137
feature_45_tuned_030,45,300,0.26,5,1,1.0,0.75,0.9,1.2,4.0633257403189065,0.8208517971236143,0.9287443181818182,0.09440077261917855,0.2929371307340502,0.7840400861331595,0.9114187466650856,0.10140672624160105,0.31723872914075235,0.6322314049586777,0.8693181818181818,0.7320574162679426,411,89,23,153,0.5853658536585366,0.8622754491017964,0.6973365617433414,403,102,23,144
feature_45_tuned_031,45,106,0.34,5,1,1.0,0.9,0.75,1.5,5.079157175398633,0.8156658868288532,0.9254090909090908,0.09521299904164499,0.3012767126810303,0.7706337373556763,0.9053240054544377,0.10470874260930821,0.32930507243809853,0.6550218340611353,0.8522727272727273,0.7407407407407407,421,79,26,150,0.6086956521739131,0.8383233532934131,0.7052896725440806,415,90,27,140
feature_45_tuned_032,45,105,0.33,5,1,3.0,0.9,0.9,1.2,4.0633257403189065,0.8147687500075256,0.924875,0.0959141495386237,0.3028820801582701,0.7668560306046798,0.9044999110689511,0.10506017859647929,0.3308015238218485,0.6508620689655172,0.8579545454545454,0.7401960784313726,419,81,25,151,0.6,0.844311377245509,0.7014925373134329,411,94,26,141
feature_45_tuned_033,45,313,0.31,5,1,3.0,0.9,0.9,1.5,5.079157175398633,0.8223573971174792,0.9279886363636363,0.09348466852007054,0.2932960867062548,0.7839415996710614,0.9109563052113595,0.10128145241398524,0.3180727361028929,0.6550218340611353,0.8522727272727273,0.7407407407407407,421,79,26,150,0.611353711790393,0.8383233532934131,0.7070707070707071,416,89,27,140
feature_45_tuned_034,45,106,0.315,5,3,0.5,0.75,0.75,1.0,3.3861047835990887,0.8184545100789872,0.9253011363636363,0.09543362659953457,0.300169715283141,0.7527626970790247,0.9011146024782118,0.10697243509811165,0.3365972865902339,0.658008658008658,0.8636363636363636,0.7469287469287469,421,79,24,152,0.6,0.844311377245509,0.7014925373134329,411,94,26,141
feature_45_tuned_035,45,207,0.285,5,3,0.5,0.75,0.75,1.2,4.0633257403189065,0.8152010291190137,0.9231079545454545,0.09652441761067189,0.3020874648275097,0.7704972095744836,0.90401375466888,0.10506448182955061,0.32914269896061055,0.6276150627615062,0.8522727272727273,0.7228915662650602,411,89,26,150,0.5802469135802469,0.844311377245509,0.6878048780487804,403,102,26,141
