market,stock_code,corp_name,fiscal_year,eval_year,industry_macro_category,firm_size_group,split,is_speculative,prob_speculative,feature,rank,shap_value,abs_shap,direction,feature_value,stock_code_norm,firm_size_group_score,industry_macro_category_score,error_type,is_speculative_score,predicted_current,actual_label_name,predicted_label_name,prob_speculative_score,threshold,probability_distance_from_threshold,feature_group,korean_name,description,case_id
KOSPI,3620,케이지모빌리티(주),2024,2025,manufacturing,mid_sized,test,1,0.0095734081981097,gross_profit,1,-1.482542634010315,1.482542634010315,decrease_risk,345715769,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0095734081981097,0.315,0.3054265918018903,profitability_returns,매출총이익,매출총이익(손실),KOSPI|003620|케이지모빌리티(주)|2024|2025
KOSPI,3620,케이지모빌리티(주),2024,2025,manufacturing,mid_sized,test,1,0.0095734081981097,depreciation,2,-1.233514428138733,1.233514428138733,decrease_risk,118273864,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0095734081981097,0.315,0.3054265918018903,cashflow_structure,감가상각비,감가상각비,KOSPI|003620|케이지모빌리티(주)|2024|2025
KOSPI,3620,케이지모빌리티(주),2024,2025,manufacturing,mid_sized,test,1,0.0095734081981097,assets_total,3,-1.0752254724502563,1.0752254724502563,decrease_risk,3104452197,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0095734081981097,0.315,0.3054265918018903,stability_leverage,자산총계,총자산,KOSPI|003620|케이지모빌리티(주)|2024|2025
KOSPI,3620,케이지모빌리티(주),2024,2025,manufacturing,mid_sized,test,1,0.0095734081981097,intangible_assets_ratio,4,-0.5065869688987732,0.5065869688987732,decrease_risk,0.061267,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0095734081981097,0.315,0.3054265918018903,cashflow_structure,무형자산 비중,총자산 대비 무형자산 비율,KOSPI|003620|케이지모빌리티(주)|2024|2025
KOSPI,3620,케이지모빌리티(주),2024,2025,manufacturing,mid_sized,test,1,0.0095734081981097,capital_impairment_ratio,5,0.4614259898662567,0.4614259898662567,increase_risk,-0.44655,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0095734081981097,0.315,0.3054265918018903,stability_leverage,자본잠식률,자본금 대비 자본잠식 정도,KOSPI|003620|케이지모빌리티(주)|2024|2025
KOSPI,3620,케이지모빌리티(주),2024,2025,manufacturing,mid_sized,test,1,0.0095734081981097,total_debt_turnover,6,-0.3713075220584869,0.3713075220584869,decrease_risk,2.319049,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0095734081981097,0.315,0.3054265918018903,cashflow_structure,총부채회전율,총부채 대비 매출액 비율,KOSPI|003620|케이지모빌리티(주)|2024|2025
KOSPI,3620,케이지모빌리티(주),2024,2025,manufacturing,mid_sized,test,1,0.0095734081981097,total_assets_growth,7,-0.3074802756309509,0.3074802756309509,decrease_risk,0.177981,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0095734081981097,0.315,0.3054265918018903,trend_early_warning,총자산증가율,전년 대비 총자산 증가율,KOSPI|003620|케이지모빌리티(주)|2024|2025
KOSPI,3620,케이지모빌리티(주),2024,2025,manufacturing,mid_sized,test,1,0.0095734081981097,interest_coverage_ratio,8,0.3074789047241211,0.3074789047241211,increase_risk,0.06217,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0095734081981097,0.315,0.3054265918018903,profitability_returns,이자보상배율,영업이익 대비 이자비용 배수,KOSPI|003620|케이지모빌리티(주)|2024|2025
KOSPI,3620,케이지모빌리티(주),2024,2025,manufacturing,mid_sized,test,1,0.0095734081981097,listed_year,9,0.2905906140804291,0.2905906140804291,increase_risk,1975,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0095734081981097,0.315,0.3054265918018903,context,상장연도,상장일에서 추출한 연도,KOSPI|003620|케이지모빌리티(주)|2024|2025
KOSPI,3620,케이지모빌리티(주),2024,2025,manufacturing,mid_sized,test,1,0.0095734081981097,dividend_payer,10,0.254862904548645,0.254862904548645,increase_risk,0,003620,mid_sized,manufacturing,false_negative,1,0,투기등급,투자적격,0.0095734081981097,0.315,0.3054265918018903,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,KOSPI|003620|케이지모빌리티(주)|2024|2025
