variant,note,added_features,folds,eval_pr_auc_mean,eval_pr_auc_std,eval_pr_auc_min,eval_pr_auc_max,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_min,eval_roc_auc_max,eval_precision_mean,eval_precision_std,eval_precision_min,eval_precision_max,eval_recall_mean,eval_recall_std,eval_recall_min,eval_recall_max,eval_f1_mean,eval_f1_std,eval_f1_min,eval_f1_max,eval_false_positive_mean,eval_false_positive_std,eval_false_positive_min,eval_false_positive_max,eval_false_negative_mean,eval_false_negative_std,eval_false_negative_min,eval_false_negative_max,total_false_positive,total_false_negative,selection_stage
pair_rolling_pool__roe__ar_days,"rolling 상위 단일 후보 2개 조합: roe, ar_days","roe, ar_days",4,0.7936157431780699,0.02025398085909481,0.7601944820508704,0.8144218346512246,0.9157405744073844,0.006106631164868534,0.9065020281555715,0.922251362597433,0.6110164287935469,0.048399454299067904,0.5603448275862069,0.6809815950920245,0.8363722370344887,0.07041149584280525,0.7350993377483444,0.9285714285714286,0.7020661488524292,0.019919472218519148,0.6733167082294265,0.7290167865707434,86.0,20.285462775100793,52.0,102.0,26.0,10.862780491200215,10.0,40.0,344,104,pair_rolling_pool
pair_rolling_pool__market_spread__non_paid_in_equity_ratio,"rolling 상위 단일 후보 2개 조합: market_spread, non_paid_in_equity_ratio","market_spread, non_paid_in_equity_ratio",4,0.79452830108727,0.02259733114677553,0.7572729347032824,0.8182521521337883,0.9144608224841925,0.006405966692249928,0.9046170365068003,0.9224857879622576,0.6043743647656691,0.0314981165267255,0.5727272727272728,0.6428571428571429,0.8417199729078869,0.05509865402510739,0.7748344370860927,0.9,0.7020365837400959,0.02432984217535101,0.6683544303797468,0.7370892018779343,87.5,13.124404748406688,65.0,98.0,25.0,8.689073598491383,14.0,34.0,350,100,pair_rolling_pool
single__is_current_ratio_below_1,단일 후보 변수: is_current_ratio_below_1,is_current_ratio_below_1,4,0.7972551565327975,0.014129480510341012,0.7736386739520932,0.8106564133893882,0.9158474338499711,0.003922114592123052,0.9094010975900739,0.91963605462111,0.6128120653404496,0.046421636172008375,0.5589519650655022,0.6851851851851852,0.8326114145236662,0.06833928951815293,0.7350993377483444,0.9142857142857143,0.7020220225687974,0.01548961512214815,0.6820512820512821,0.7230046948356808,85.0,19.887181801351343,51.0,101.0,26.5,10.523782589924593,12.0,40.0,340,106,single
pair_rolling_pool__ebitda_margin__market_spread,"rolling 상위 단일 후보 2개 조합: ebitda_margin, market_spread","ebitda_margin, market_spread",4,0.7938994037544743,0.019994730463276066,0.7620635820809338,0.816639931527065,0.915638890228375,0.006019879062125233,0.9058935814841326,0.9221927562562269,0.5975548717986723,0.03494437033263387,0.5521739130434783,0.6486486486486487,0.8561430291562742,0.04381921275321883,0.7947019867549668,0.9071428571428571,0.7019863779336066,0.014707755121014673,0.6864864864864865,0.7188940092165899,92.0,15.700318468107582,65.0,103.0,22.75,6.869315832017043,13.0,31.0,368,91,pair_rolling_pool
pair_rolling_pool__ap_days_diff__is_3y_consecutive_operating_loss,"rolling 상위 단일 후보 2개 조합: ap_days_diff, is_3y_consecutive_operating_loss","ap_days_diff, is_3y_consecutive_operating_loss",4,0.7953988469154951,0.015526042304482292,0.7712138845461782,0.8145304285032229,0.9154822467154309,0.0048652365884094585,0.9086435218324983,0.9223392721092422,0.6047198244978456,0.042399958582277755,0.5545851528384279,0.6703910614525139,0.8428854533986985,0.04537986902502272,0.7947019867549668,0.9071428571428571,0.7019515156967923,0.01942238181450714,0.6785714285714286,0.7272727272727273,88.25,17.122718826167766,59.0,102.0,25.0,7.582875444051551,13.0,32.0,353,100,pair_rolling_pool
pair_rolling_pool__rolling_3y_cv_operating_margin__is_3y_consecutive_ocf_deficit,"rolling 상위 단일 후보 2개 조합: rolling_3y_cv_operating_margin, is_3y_consecutive_ocf_deficit","rolling_3y_cv_operating_margin, is_3y_consecutive_ocf_deficit",4,0.7888767021764798,0.01634364168515708,0.7615821002783859,0.8045782539383036,0.9144009615907385,0.00401427169009144,0.908291577189215,0.9195523370638577,0.6106086334165989,0.033603426365977886,0.5780590717299579,0.6606060606060606,0.833940307760672,0.07121004178892998,0.7218543046357616,0.9142857142857143,0.7019237630114868,0.017182783606651934,0.681592039800995,0.7251184834123223,85.25,17.166464400102893,56.0,100.0,26.25,10.779030568655049,12.0,42.0,341,105,pair_rolling_pool
pair_rolling_pool__rolling_3y_cv_operating_margin__ocf_to_total_borrowings_diff,"rolling 상위 단일 후보 2개 조합: rolling_3y_cv_operating_margin, ocf_to_total_borrowings_diff","rolling_3y_cv_operating_margin, ocf_to_total_borrowings_diff",4,0.7930676269034603,0.01457485387165438,0.7690924204192492,0.8071982071539117,0.9151183022357738,0.0033824309305713353,0.9104628966833692,0.9200049374588545,0.6136779167310311,0.03663271888787107,0.5774058577405857,0.6666666666666666,0.8276382557839512,0.061349341044450195,0.7417218543046358,0.9142857142857143,0.7018962241051692,0.011408896521470839,0.6831683168316832,0.7111111111111111,83.5,16.859715300087366,56.0,101.0,27.5,9.912113800799505,12.0,39.0,334,110,pair_rolling_pool
pair_rolling_pool__is_operating_income_turn_negative__non_paid_in_equity_ratio,"rolling 상위 단일 후보 2개 조합: is_operating_income_turn_negative, non_paid_in_equity_ratio","is_operating_income_turn_negative, non_paid_in_equity_ratio",4,0.794136796931031,0.02140201535193369,0.7593418653470491,0.8166178998264007,0.9144492352152813,0.006911056461215254,0.9034001431639226,0.922471136376956,0.6026185341296997,0.0346893644929861,0.5695067264573991,0.6590909090909091,0.8474371792666494,0.06714714884586763,0.7682119205298014,0.9204545454545454,0.7018428135534139,0.020980996499907045,0.670076726342711,0.7280898876404495,89.5,17.67059704707229,60.0,107.0,24.0,10.51189802081432,13.0,35.0,358,96,pair_rolling_pool
single__market_spread,단일 후보 변수: market_spread,market_spread,4,0.7985433569731648,0.018375913365196495,0.7705125583720005,0.8220845124640419,0.916711426291223,0.005433885947408171,0.9085421140539252,0.9233209283244448,0.6046161289648426,0.03959808241813166,0.5526315789473685,0.659217877094972,0.842333935380293,0.04419411199214944,0.7814569536423841,0.9,0.7017907310431621,0.017008477328514782,0.6847826086956522,0.7220902612826603,88.0,15.921683328090658,61.0,102.0,25.0,7.106335201775948,14.0,33.0,352,100,single
single__ocf_deficit_flag,단일 후보 변수: ocf_deficit_flag,ocf_deficit_flag,4,0.7975968144614309,0.017741630013425526,0.7710720011093002,0.8210130077530663,0.9162811367993031,0.0056376847869618885,0.9082319255547602,0.9241707202719335,0.609857127413119,0.045619538940521585,0.5589519650655022,0.6809815950920245,0.8370621720994238,0.0682257948746492,0.7350993377483444,0.9142857142857143,0.7017226385837176,0.015788393177509318,0.6818181818181818,0.7242990654205608,86.5,20.006249023742555,52.0,101.0,25.75,10.40132203135736,12.0,40.0,346,103,single
single__is_3y_consecutive_ocf_deficit,단일 후보 변수: is_3y_consecutive_ocf_deficit,is_3y_consecutive_ocf_deficit,4,0.7975968144614309,0.017741630013425526,0.7710720011093002,0.8210130077530663,0.9162811367993031,0.0056376847869618885,0.9082319255547602,0.9241707202719335,0.609857127413119,0.045619538940521585,0.5589519650655022,0.6809815950920245,0.8370621720994238,0.0682257948746492,0.7350993377483444,0.9142857142857143,0.7017226385837176,0.015788393177509318,0.6818181818181818,0.7242990654205608,86.5,20.006249023742555,52.0,101.0,25.75,10.40132203135736,12.0,40.0,346,103,single
single__negative_equity_flag,단일 후보 변수: negative_equity_flag,negative_equity_flag,4,0.7975968144614309,0.017741630013425526,0.7710720011093002,0.8210130077530663,0.9162811367993031,0.0056376847869618885,0.9082319255547602,0.9241707202719335,0.609857127413119,0.045619538940521585,0.5589519650655022,0.6809815950920245,0.8370621720994238,0.0682257948746492,0.7350993377483444,0.9142857142857143,0.7017226385837176,0.015788393177509318,0.6818181818181818,0.7242990654205608,86.5,20.006249023742555,52.0,101.0,25.75,10.40132203135736,12.0,40.0,346,103,single
single__is_negative_equity_entry,단일 후보 변수: is_negative_equity_entry,is_negative_equity_entry,4,0.7975968144614309,0.017741630013425526,0.7710720011093002,0.8210130077530663,0.9162811367993031,0.0056376847869618885,0.9082319255547602,0.9241707202719335,0.609857127413119,0.045619538940521585,0.5589519650655022,0.6809815950920245,0.8370621720994238,0.0682257948746492,0.7350993377483444,0.9142857142857143,0.7017226385837176,0.015788393177509318,0.6818181818181818,0.7242990654205608,86.5,20.006249023742555,52.0,101.0,25.75,10.40132203135736,12.0,40.0,346,103,single
single__audit_qualified_flag,단일 후보 변수: audit_qualified_flag,audit_qualified_flag,4,0.7975968144614309,0.017741630013425526,0.7710720011093002,0.8210130077530663,0.9162811367993031,0.0056376847869618885,0.9082319255547602,0.9241707202719335,0.609857127413119,0.045619538940521585,0.5589519650655022,0.6809815950920245,0.8370621720994238,0.0682257948746492,0.7350993377483444,0.9142857142857143,0.7017226385837176,0.015788393177509318,0.6818181818181818,0.7242990654205608,86.5,20.006249023742555,52.0,101.0,25.75,10.40132203135736,12.0,40.0,346,103,single
pair_rolling_pool__rolling_3y_cv_ocf_to_total_borrowings__treasury_3y_diff,"rolling 상위 단일 후보 2개 조합: rolling_3y_cv_ocf_to_total_borrowings, treasury_3y_diff","rolling_3y_cv_ocf_to_total_borrowings, treasury_3y_diff",4,0.7921324168032517,0.019526710662491554,0.7613273396343985,0.8141234150371918,0.9136230403884626,0.005946610527634937,0.9037341923168695,0.9186983531618121,0.6054594270530089,0.050692787200743245,0.5493562231759657,0.6845238095238095,0.8448210522920787,0.06556357896209167,0.7615894039735099,0.9142857142857143,0.7016846930326712,0.024369883649028874,0.6700507614213198,0.7293577981651376,89.0,20.97617696340303,53.0,105.0,24.5,10.21028892833107,12.0,36.0,356,98,pair_rolling_pool
pair_rolling_pool__rolling_3y_cv_operating_margin__capital_impairment_diff,"rolling 상위 단일 후보 2개 조합: rolling_3y_cv_operating_margin, capital_impairment_diff","rolling_3y_cv_operating_margin, capital_impairment_diff",4,0.7934846319670685,0.014913217803014633,0.7678562641665511,0.8038208814477706,0.9150288067472216,0.0036589886755663656,0.9088284418993081,0.9182954545454546,0.603835099750865,0.0469977710735647,0.548936170212766,0.6686046511627907,0.8467014635474901,0.06535196216816354,0.7615894039735099,0.9214285714285714,0.701683442239408,0.026215218918873708,0.6683417085427136,0.7383177570093458,89.25,19.09679292446771,57.0,106.0,24.25,10.158124826955023,11.0,36.0,357,97,pair_rolling_pool
pair_rolling_pool__roe__treasury_3y_diff,"rolling 상위 단일 후보 2개 조합: roe, treasury_3y_diff","roe, treasury_3y_diff",4,0.7904695748469792,0.02046599832858532,0.7611516166535827,0.8158737976303545,0.9153408626559244,0.0050513441808421634,0.907832259603913,0.9216506476000703,0.6059497731143234,0.042011851785478956,0.5594713656387665,0.6724137931034483,0.8406647781026921,0.05479041080806881,0.7748344370860927,0.9071428571428571,0.7016368622757694,0.018960628536577047,0.6751918158567775,0.72,87.75,17.92170471802278,57.0,100.0,25.25,8.728545125048045,13.0,34.0,351,101,pair_rolling_pool
single__inventory_days_diff,단일 후보 변수: inventory_days_diff,inventory_days_diff,4,0.7951765615983435,0.016177005764776094,0.7677504403011476,0.8093360523435487,0.9154264876055835,0.004567840985201946,0.9083750894774517,0.9210572583953585,0.612774023001215,0.04906228414712081,0.5619469026548672,0.691358024691358,0.8310608748315702,0.06296539445920925,0.7417218543046358,0.9071428571428571,0.7016222017074853,0.017369849446610887,0.6768447837150128,0.72,85.0,20.26079958935481,50.0,99.0,26.75,9.756408150543928,13.0,39.0,340,107,single
pair_rolling_pool__gross_margin__market_spread,"rolling 상위 단일 후보 2개 조합: gross_margin, market_spread","gross_margin, market_spread",4,0.7926868728852519,0.017176360094973243,0.7652699413099677,0.8126120652483835,0.9141580866158394,0.004688018032892431,0.9069434502505368,0.9200536248022035,0.6098605255753302,0.04980699315042536,0.5614035087719298,0.6932515337423313,0.8371537334078725,0.06840509033558376,0.7483443708609272,0.9142857142857143,0.701509086114668,0.016692061088136763,0.6770025839793282,0.7197452229299363,87.0,22.102036105300343,50.0,107.0,25.75,10.638961415476606,12.0,38.0,348,103,pair_rolling_pool
pair_rolling_pool__gross_margin__ocf_to_total_borrowings_diff,"rolling 상위 단일 후보 2개 조합: gross_margin, ocf_to_total_borrowings_diff","gross_margin, ocf_to_total_borrowings_diff",4,0.7955859643600307,0.017205807801688296,0.7682623649038438,0.8130422383035141,0.915394339977215,0.0038992688736366847,0.9093533762825102,0.9194089550489364,0.6106271902027771,0.05545404064328134,0.5446808510638298,0.6932515337423313,0.8360173697715088,0.06223435330343055,0.7483443708609272,0.9142857142857143,0.7015051053677921,0.02203082641416805,0.6767676767676768,0.7268408551068883,86.5,21.754309917807092,50.0,107.0,26.0,9.669539802906858,12.0,38.0,346,104,pair_rolling_pool
single__is_3y_consecutive_operating_loss,단일 후보 변수: is_3y_consecutive_operating_loss,is_3y_consecutive_operating_loss,4,0.7979911496871512,0.017765235059108257,0.7710720011093002,0.8210130077530663,0.9166376708902122,0.005689421947860294,0.9082319255547602,0.9241707202719335,0.6109455857384194,0.04578280172567597,0.5589519650655022,0.6809815950920245,0.8342212630085146,0.06656675207241762,0.7350993377483444,0.9142857142857143,0.7014989360583647,0.01547005753685082,0.6818181818181818,0.723404255319149,85.75,19.651653874419832,52.0,101.0,26.25,10.207227831296802,12.0,40.0,343,105,single
pair_rolling_pool__ebitda_margin__ocf_to_total_borrowings_diff,"rolling 상위 단일 후보 2개 조합: ebitda_margin, ocf_to_total_borrowings_diff","ebitda_margin, ocf_to_total_borrowings_diff",4,0.7975049548299655,0.018969505698376455,0.7692892352794843,0.8187112141486996,0.9165124522394645,0.005621517051685272,0.9087091386303985,0.923218367227334,0.6050530441192123,0.05017433351040849,0.5528455284552846,0.6848484848484848,0.84472949098363,0.06478171017455427,0.7483443708609272,0.9142857142857143,0.7014317059907015,0.023777566516208565,0.6618004866180048,0.7235023041474654,89.5,22.299103120977758,52.0,110.0,24.5,9.86154146165801,12.0,38.0,358,98,pair_rolling_pool
