variant,note,added_features,folds,eval_pr_auc_mean,eval_pr_auc_std,eval_pr_auc_min,eval_pr_auc_max,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_min,eval_roc_auc_max,eval_precision_mean,eval_precision_std,eval_precision_min,eval_precision_max,eval_recall_mean,eval_recall_std,eval_recall_min,eval_recall_max,eval_f1_mean,eval_f1_std,eval_f1_min,eval_f1_max,eval_false_positive_mean,eval_false_positive_std,eval_false_positive_min,eval_false_positive_max,eval_false_negative_mean,eval_false_negative_std,eval_false_negative_min,eval_false_negative_max,total_false_positive,total_false_negative,selection_stage
pair_rolling_pool__rolling_3y_cv_operating_margin__ebitda_margin,"rolling 상위 단일 후보 2개 조합: rolling_3y_cv_operating_margin, ebitda_margin","rolling_3y_cv_operating_margin, ebitda_margin",4,0.7910288555145469,0.016042814759496336,0.7661015208741792,0.808806583493934,0.9143226169884165,0.003706758602048083,0.9090073968026725,0.9193630678077682,0.6077203897187601,0.04946486309621425,0.5676855895196506,0.691358024691358,0.8411528661735616,0.06677155891886447,0.7417218543046358,0.9285714285714286,0.7014265458978308,0.012417737475489255,0.6814814814814815,0.7156549520766773,88.25,22.117583502724706,50.0,102.0,25.25,10.304731922762475,10.0,39.0,353,101,pair_rolling_pool
single__spec_spread_diff,단일 후보 변수: spec_spread_diff,spec_spread_diff,4,0.79694921317407,0.018863965447783782,0.7654293476518369,0.815557765654703,0.9161637382641981,0.004836780044458704,0.9086733476497255,0.9211964484557229,0.6076819499657351,0.04676572099620764,0.5589519650655022,0.6764705882352942,0.837813476534503,0.058435656115946984,0.7615894039735099,0.9142857142857143,0.7013651011864426,0.022509364239427242,0.6683417085427136,0.7268408551068883,87.0,18.801595676963167,55.0,101.0,25.75,9.229707470987366,12.0,36.0,348,103,single
pair_rolling_pool__equity_growth__treasury_3y_diff,"rolling 상위 단일 후보 2개 조합: equity_growth, treasury_3y_diff","equity_growth, treasury_3y_diff",4,0.7969546997749749,0.019396880139808,0.7645138713830256,0.8152602237357011,0.9158862699876258,0.006029969225047465,0.9065736101169171,0.9226323038152728,0.5987233464837027,0.04288885818749929,0.5622317596566524,0.6685714285714286,0.8551939988819128,0.06258815197040547,0.7748344370860927,0.9357142857142857,0.7013540221319426,0.0200267704981019,0.6683168316831684,0.7177914110429447,92.25,19.803724397193573,58.0,105.0,23.0,9.772410142846033,9.0,34.0,369,92,pair_rolling_pool
pair_rolling_pool__ar_days__ocf_deficit_flag,"rolling 상위 단일 후보 2개 조합: ar_days, ocf_deficit_flag","ar_days, ocf_deficit_flag",4,0.797922949927325,0.018588634216488053,0.7674212362281219,0.8175362685537024,0.9169724074532676,0.004670324654869835,0.9092221426867096,0.9215920412588642,0.6097903425568605,0.034163305141684294,0.5657894736842105,0.6588235294117647,0.8334012427969382,0.06469483107690932,0.7417218543046358,0.9214285714285714,0.7013462826624655,0.010465236524710124,0.6887755102040817,0.7177033492822966,85.25,15.990231392947383,58.0,99.0,26.5,10.111874208078342,11.0,39.0,341,106,pair_rolling_pool
pair_rolling_pool__ar_days__is_3y_consecutive_ocf_deficit,"rolling 상위 단일 후보 2개 조합: ar_days, is_3y_consecutive_ocf_deficit","ar_days, is_3y_consecutive_ocf_deficit",4,0.797922949927325,0.018588634216488053,0.7674212362281219,0.8175362685537024,0.9169724074532676,0.004670324654869835,0.9092221426867096,0.9215920412588642,0.6097903425568605,0.034163305141684294,0.5657894736842105,0.6588235294117647,0.8334012427969382,0.06469483107690932,0.7417218543046358,0.9214285714285714,0.7013462826624655,0.010465236524710124,0.6887755102040817,0.7177033492822966,85.25,15.990231392947383,58.0,99.0,26.5,10.111874208078342,11.0,39.0,341,106,pair_rolling_pool
pair_rolling_pool__ar_days__negative_equity_flag,"rolling 상위 단일 후보 2개 조합: ar_days, negative_equity_flag","ar_days, negative_equity_flag",4,0.797922949927325,0.018588634216488053,0.7674212362281219,0.8175362685537024,0.9169724074532676,0.004670324654869835,0.9092221426867096,0.9215920412588642,0.6097903425568605,0.034163305141684294,0.5657894736842105,0.6588235294117647,0.8334012427969382,0.06469483107690932,0.7417218543046358,0.9214285714285714,0.7013462826624655,0.010465236524710124,0.6887755102040817,0.7177033492822966,85.25,15.990231392947383,58.0,99.0,26.5,10.111874208078342,11.0,39.0,341,106,pair_rolling_pool
pair_rolling_pool__ar_days__is_negative_equity_entry,"rolling 상위 단일 후보 2개 조합: ar_days, is_negative_equity_entry","ar_days, is_negative_equity_entry",4,0.797922949927325,0.018588634216488053,0.7674212362281219,0.8175362685537024,0.9169724074532676,0.004670324654869835,0.9092221426867096,0.9215920412588642,0.6097903425568605,0.034163305141684294,0.5657894736842105,0.6588235294117647,0.8334012427969382,0.06469483107690932,0.7417218543046358,0.9214285714285714,0.7013462826624655,0.010465236524710124,0.6887755102040817,0.7177033492822966,85.25,15.990231392947383,58.0,99.0,26.5,10.111874208078342,11.0,39.0,341,106,pair_rolling_pool
pair_rolling_pool__ocf_to_total_borrowings_diff__delta_accruals_ratio,"rolling 상위 단일 후보 2개 조합: ocf_to_total_borrowings_diff, delta_accruals_ratio","ocf_to_total_borrowings_diff, delta_accruals_ratio",4,0.7914241920835828,0.015392518351471018,0.7657962297306624,0.806860155763841,0.914536018718813,0.003364727379490163,0.9089238845144356,0.917153409090909,0.5952059459404611,0.031994203994589805,0.5622317596566524,0.6417112299465241,0.8588351287233738,0.05407725428027282,0.7947019867549668,0.9357142857142857,0.7012492268915657,0.01722102847586557,0.6732673267326733,0.7192575406032483,93.0,15.049916943292411,67.0,103.0,22.5,8.645808232895291,9.0,31.0,372,90,pair_rolling_pool
pair_rolling_pool__rolling_3y_cv_ocf_to_total_borrowings__delta_accruals_ratio,"rolling 상위 단일 후보 2개 조합: rolling_3y_cv_ocf_to_total_borrowings, delta_accruals_ratio","rolling_3y_cv_ocf_to_total_borrowings, delta_accruals_ratio",4,0.793172337053178,0.015642176208056087,0.7669684105027681,0.8060437629977723,0.9134603674917543,0.005081142342803683,0.9048437127177286,0.9180056818181819,0.6053304869552009,0.03667365835942976,0.5614035087719298,0.6571428571428571,0.8404649916860182,0.06421844130895978,0.7615894039735099,0.9142857142857143,0.7012258125088212,0.02155653117183317,0.6717948717948717,0.7319347319347319,87.5,16.023420358962067,60.0,100.0,25.25,10.084022015049353,12.0,36.0,350,101,pair_rolling_pool
single__ebitda_margin_diff,단일 후보 변수: ebitda_margin_diff,ebitda_margin_diff,4,0.7958245898476632,0.016912453262749306,0.767322847177939,0.8106432815652217,0.9144743360814671,0.004009113687859316,0.9083273681698879,0.9194382582195393,0.6043693094677239,0.04195338165642432,0.5427350427350427,0.6610169491525424,0.8434109902239042,0.059502503907738036,0.7748344370860927,0.9071428571428571,0.7012149187819561,0.019414803919798166,0.679144385026738,0.7264367816091954,88.5,18.145247311624054,60.0,107.0,24.75,9.41740410091868,13.0,34.0,354,99,single
pair_rolling_pool__ebitda_margin__ap_days_diff,"rolling 상위 단일 후보 2개 조합: ebitda_margin, ap_days_diff","ebitda_margin, ap_days_diff",4,0.7974552442816102,0.019962695459270766,0.7642789919308517,0.814720728939562,0.9163243018020912,0.005802209216897376,0.907366976855166,0.9235846568598722,0.6006619866155077,0.04646235552670793,0.5584415584415584,0.6781609195402298,0.8528047146010721,0.06817553134180579,0.7814569536423841,0.9214285714285714,0.7011343305464421,0.01774576839296934,0.6770833333333334,0.7261538461538461,92.0,23.695991222145572,56.0,121.0,23.25,10.825317547305483,11.0,35.0,368,93,pair_rolling_pool
pair_rolling_pool__rolling_3y_cv_operating_margin__delta_accruals_ratio,"rolling 상위 단일 후보 2개 조합: rolling_3y_cv_operating_margin, delta_accruals_ratio","rolling_3y_cv_operating_margin, delta_accruals_ratio",4,0.7920459576367324,0.016177724705735568,0.7641061790180226,0.8024414361205252,0.914584662001131,0.004203501535293967,0.9075578620854211,0.9187129690585912,0.6014667215147613,0.038935429868819774,0.5560344827586207,0.6609195402298851,0.8487847968808234,0.05722939264254716,0.7615894039735099,0.9214285714285714,0.7011277226692634,0.009850027855314651,0.6896551724137931,0.7136150234741784,90.25,18.129740759315894,59.0,103.0,24.0,8.860022573334675,11.0,36.0,361,96,pair_rolling_pool
single__delta_accruals_ratio,단일 후보 변수: delta_accruals_ratio,delta_accruals_ratio,4,0.7999037326152565,0.01626079837868187,0.7733042426000315,0.8168541562120518,0.9160688417966958,0.00447086179316175,0.9090551181102362,0.9200536248022037,0.6019454590548341,0.03750583923302012,0.5584415584415584,0.6611111111111111,0.8461270104068117,0.05477497748435743,0.7880794701986755,0.9214285714285714,0.7010842655679628,0.01642513968878128,0.676923076923077,0.7190332326283988,89.5,16.859715300087366,61.0,102.0,24.5,8.902246907382429,11.0,33.0,358,98,single
pair_rolling_pool__rolling_3y_cv_operating_margin__ocf_deficit_flag,"rolling 상위 단일 후보 2개 조합: rolling_3y_cv_operating_margin, ocf_deficit_flag","rolling_3y_cv_operating_margin, ocf_deficit_flag",4,0.7890238058059931,0.01660687578855837,0.7611093102443288,0.8045782539383036,0.9141827894659473,0.004112059638071552,0.90798138869005,0.9195523370638577,0.6078155597596999,0.03400274258934535,0.5743801652892562,0.6606060606060606,0.836970610790975,0.07124867826945042,0.7218543046357616,0.9142857142857143,0.7010078029698283,0.015077771280779093,0.683046683046683,0.72,86.75,18.18481509391833,56.0,103.0,25.75,10.732543966832841,12.0,42.0,347,103,pair_rolling_pool
pair_rolling_pool__rolling_3y_cv_operating_margin__negative_equity_flag,"rolling 상위 단일 후보 2개 조합: rolling_3y_cv_operating_margin, negative_equity_flag","rolling_3y_cv_operating_margin, negative_equity_flag",4,0.7890238058059931,0.01660687578855837,0.7611093102443288,0.8045782539383036,0.9141827894659473,0.004112059638071552,0.90798138869005,0.9195523370638577,0.6078155597596999,0.03400274258934535,0.5743801652892562,0.6606060606060606,0.836970610790975,0.07124867826945042,0.7218543046357616,0.9142857142857143,0.7010078029698283,0.015077771280779093,0.683046683046683,0.72,86.75,18.18481509391833,56.0,103.0,25.75,10.732543966832841,12.0,42.0,347,103,pair_rolling_pool
pair_rolling_pool__rolling_3y_cv_operating_margin__is_negative_equity_entry,"rolling 상위 단일 후보 2개 조합: rolling_3y_cv_operating_margin, is_negative_equity_entry","rolling_3y_cv_operating_margin, is_negative_equity_entry",4,0.7890238058059931,0.01660687578855837,0.7611093102443288,0.8045782539383036,0.9141827894659473,0.004112059638071552,0.90798138869005,0.9195523370638577,0.6078155597596999,0.03400274258934535,0.5743801652892562,0.6606060606060606,0.836970610790975,0.07124867826945042,0.7218543046357616,0.9142857142857143,0.7010078029698283,0.015077771280779093,0.683046683046683,0.72,86.75,18.18481509391833,56.0,103.0,25.75,10.732543966832841,12.0,42.0,347,103,pair_rolling_pool
pair_rolling_pool__ar_days__is_3y_consecutive_operating_loss,"rolling 상위 단일 후보 2개 조합: ar_days, is_3y_consecutive_operating_loss","ar_days, is_3y_consecutive_operating_loss",4,0.798989194096836,0.01887689510416211,0.7674212362281219,0.8175362685537024,0.9173715551805404,0.004795026752302506,0.9092221426867096,0.9215920412588642,0.6031525603932981,0.03414626214339558,0.5657894736842105,0.6588235294117647,0.8461853337060291,0.07182081631004696,0.7417218543046358,0.9214285714285714,0.7009744993959454,0.009888037044464615,0.6887755102040817,0.7162162162162162,89.5,19.1637678967368,58.0,109.0,24.25,10.940178243520533,11.0,39.0,358,97,pair_rolling_pool
pair_rolling_pool__roe__ap_days_diff,"rolling 상위 단일 후보 2개 조합: roe, ap_days_diff","roe, ap_days_diff",4,0.7952626739755817,0.014654827842963104,0.7724708828382921,0.8132125597244894,0.9155965816957401,0.005487340482413446,0.9074087329992842,0.9228520775947957,0.6010005433787637,0.04291898201231026,0.5454545454545454,0.664804469273743,0.8499690017488031,0.06368749621940066,0.7880794701986755,0.9428571428571428,0.7009620998445292,0.01872604337438807,0.6752577319587629,0.7212121212121212,90.5,18.728320800328042,60.0,110.0,24.0,10.295630140987,8.0,34.0,362,96,pair_rolling_pool
pair_rolling_pool__capital_impairment_diff__is_3y_consecutive_ocf_deficit,"rolling 상위 단일 후보 2개 조합: capital_impairment_diff, is_3y_consecutive_ocf_deficit","capital_impairment_diff, is_3y_consecutive_ocf_deficit",4,0.7970706816896164,0.02030061214983289,0.7635194699092194,0.8179883487774159,0.9162936195310883,0.006442840781148995,0.90567287043665,0.9228227744241928,0.6002778559295431,0.03813483846618779,0.5565217391304348,0.6574585635359116,0.8485079627877641,0.05783291555376648,0.7880794701986755,0.9142857142857143,0.7008908725798453,0.022619717631743474,0.6683673469387755,0.7264367816091954,90.25,16.467771555374455,62.0,102.0,24.0,9.273618495495704,12.0,34.0,361,96,pair_rolling_pool
pair_rolling_pool__is_3y_consecutive_operating_loss__non_paid_in_equity_ratio,"rolling 상위 단일 후보 2개 조합: is_3y_consecutive_operating_loss, non_paid_in_equity_ratio","is_3y_consecutive_operating_loss, non_paid_in_equity_ratio",4,0.7955381650765039,0.020955225678906772,0.7623108766442952,0.820222781836139,0.9146440879531726,0.006422001005063167,0.9047959914101646,0.9226762585711774,0.6039270982186009,0.034585861127709484,0.5727272727272728,0.6573033707865169,0.8402995183624323,0.053841848319286414,0.7748344370860927,0.9,0.7008746357051491,0.020591074184048083,0.6683544303797468,0.7238979118329466,88.0,15.700318468107582,61.0,99.0,25.25,8.525696452489967,14.0,34.0,352,101,pair_rolling_pool
pair_rolling_pool__ebitda_margin__ocf_deficit_flag,"rolling 상위 단일 후보 2개 조합: ebitda_margin, ocf_deficit_flag","ebitda_margin, ocf_deficit_flag",4,0.7944992705581458,0.018697400610751168,0.7651200280905726,0.8163391132371298,0.9155658627169243,0.005605363611709186,0.9065736101169172,0.9217092539412765,0.608199333399295,0.056589294904518785,0.5521739130434783,0.7005988023952096,0.8373503841632981,0.06519506516060447,0.7696969696969697,0.9071428571428571,0.7008696898299036,0.030660660871150335,0.6580310880829016,0.7358490566037735,87.5,21.96019125599775,50.0,103.0,25.75,10.497023387608508,13.0,38.0,350,103,pair_rolling_pool
pair_rolling_pool__ebitda_margin__negative_equity_flag,"rolling 상위 단일 후보 2개 조합: ebitda_margin, negative_equity_flag","ebitda_margin, negative_equity_flag",4,0.7944992705581458,0.018697400610751168,0.7651200280905726,0.8163391132371298,0.9155658627169243,0.005605363611709186,0.9065736101169172,0.9217092539412765,0.608199333399295,0.056589294904518785,0.5521739130434783,0.7005988023952096,0.8373503841632981,0.06519506516060447,0.7696969696969697,0.9071428571428571,0.7008696898299036,0.030660660871150335,0.6580310880829016,0.7358490566037735,87.5,21.96019125599775,50.0,103.0,25.75,10.497023387608508,13.0,38.0,350,103,pair_rolling_pool
pair_rolling_pool__ebitda_margin__is_negative_equity_entry,"rolling 상위 단일 후보 2개 조합: ebitda_margin, is_negative_equity_entry","ebitda_margin, is_negative_equity_entry",4,0.7944992705581458,0.018697400610751168,0.7651200280905726,0.8163391132371298,0.9155658627169243,0.005605363611709186,0.9065736101169172,0.9217092539412765,0.608199333399295,0.056589294904518785,0.5521739130434783,0.7005988023952096,0.8373503841632981,0.06519506516060447,0.7696969696969697,0.9071428571428571,0.7008696898299036,0.030660660871150335,0.6580310880829016,0.7358490566037735,87.5,21.96019125599775,50.0,103.0,25.75,10.497023387608508,13.0,38.0,350,103,pair_rolling_pool
pair_rolling_pool__market_spread__capital_impairment_diff,"rolling 상위 단일 후보 2개 조합: market_spread, capital_impairment_diff","market_spread, capital_impairment_diff",4,0.7951343837950722,0.01815523481682592,0.7665091115623257,0.8165250369960938,0.9153618883386422,0.0062256670384718245,0.90523741350513,0.9220828693664656,0.60328092982278,0.03727664595199597,0.5594713656387665,0.6611111111111111,0.8422714909262923,0.05761319141878134,0.7818181818181819,0.9071428571428571,0.7007750689652726,0.021162887624019775,0.6701298701298701,0.7218390804597701,88.5,16.408839081421938,61.0,102.0,25.0,9.354143466934854,13.0,36.0,354,100,pair_rolling_pool
pair_rolling_pool__treasury_3y_diff__ocf_deficit_flag,"rolling 상위 단일 후보 2개 조합: treasury_3y_diff, ocf_deficit_flag","treasury_3y_diff, ocf_deficit_flag",4,0.7915092825395489,0.01829403738971153,0.7609694120924795,0.8095417827541874,0.9148378459519626,0.005522704930633255,0.9057026962538773,0.9205517787024555,0.6072837366137526,0.046234671266952757,0.5672268907563025,0.6807228915662651,0.8378977810269201,0.0633411399548819,0.7483443708609272,0.9214285714285714,0.7007218368318168,0.0184663867073951,0.6699751861042184,0.7169811320754716,87.5,20.081085628023203,53.0,103.0,25.75,9.858372076565177,11.0,38.0,350,103,pair_rolling_pool
pair_rolling_pool__treasury_3y_diff__negative_equity_flag,"rolling 상위 단일 후보 2개 조합: treasury_3y_diff, negative_equity_flag","treasury_3y_diff, negative_equity_flag",4,0.7915092825395489,0.01829403738971153,0.7609694120924795,0.8095417827541874,0.9148378459519626,0.005522704930633255,0.9057026962538773,0.9205517787024555,0.6072837366137526,0.046234671266952757,0.5672268907563025,0.6807228915662651,0.8378977810269201,0.0633411399548819,0.7483443708609272,0.9214285714285714,0.7007218368318168,0.0184663867073951,0.6699751861042184,0.7169811320754716,87.5,20.081085628023203,53.0,103.0,25.75,9.858372076565177,11.0,38.0,350,103,pair_rolling_pool
pair_rolling_pool__treasury_3y_diff__is_negative_equity_entry,"rolling 상위 단일 후보 2개 조합: treasury_3y_diff, is_negative_equity_entry","treasury_3y_diff, is_negative_equity_entry",4,0.7915092825395489,0.01829403738971153,0.7609694120924795,0.8095417827541874,0.9148378459519626,0.005522704930633255,0.9057026962538773,0.9205517787024555,0.6072837366137526,0.046234671266952757,0.5672268907563025,0.6807228915662651,0.8378977810269201,0.0633411399548819,0.7483443708609272,0.9214285714285714,0.7007218368318168,0.0184663867073951,0.6699751861042184,0.7169811320754716,87.5,20.081085628023203,53.0,103.0,25.75,9.858372076565177,11.0,38.0,350,103,pair_rolling_pool
single__inventory_days,단일 후보 변수: inventory_days,inventory_days,4,0.7952659523236139,0.015112789470757658,0.7703322970470322,0.8088758206618992,0.9147331579792121,0.004352987334306015,0.9073729420186113,0.9180681818181817,0.5973800996198819,0.028885001458462834,0.5695067264573991,0.6373626373626373,0.8523614216908919,0.05566896305723293,0.7682119205298014,0.9071428571428571,0.7006661229535129,0.017871754041874546,0.6781326781326781,0.728110599078341,91.5,14.99166435056495,66.0,104.0,23.25,8.437268515343103,13.0,35.0,366,93,single
pair_rolling_pool__roe__capital_impairment_diff,"rolling 상위 단일 후보 2개 조합: roe, capital_impairment_diff","roe, capital_impairment_diff",4,0.7948662448425726,0.01636553635938,0.7676424210102389,0.8096089099142374,0.9143825136324022,0.005977227714137121,0.9042829873538535,0.9190397727272728,0.6056720146623156,0.05029823240945439,0.5466101694915254,0.6848484848484848,0.8432955082996474,0.07177854468412266,0.7483443708609272,0.9214285714285714,0.7006641848541377,0.019664983499427677,0.676923076923077,0.724373576309795,89.0,21.988633427296023,52.0,107.0,24.75,11.098986440211556,11.0,38.0,356,99,pair_rolling_pool
pair_rolling_pool__treasury_3y_diff__capital_impairment_diff,"rolling 상위 단일 후보 2개 조합: treasury_3y_diff, capital_impairment_diff","treasury_3y_diff, capital_impairment_diff",4,0.793202243496123,0.017877707194483627,0.7626399594025385,0.8078109273282204,0.9144689210482742,0.006654524542981436,0.9031853972798856,0.9193920454545454,0.5984606974088402,0.0345440837790644,0.5614035087719298,0.6521739130434783,0.8502582888965339,0.05352120310071033,0.7947019867549668,0.9142857142857143,0.700576083005164,0.0199465153399127,0.6700507614213198,0.7201834862385321,91.0,15.732132722552274,64.0,103.0,23.75,8.642193008721803,12.0,33.0,364,95,pair_rolling_pool
single__non_paid_in_equity_ratio,단일 후보 변수: non_paid_in_equity_ratio,non_paid_in_equity_ratio,4,0.7978028794467866,0.020436562987701263,0.7637158853617233,0.8169238362275592,0.9153599712824656,0.006680408607472659,0.9044738725841088,0.9226616069858758,0.6042387888600206,0.03975158203273543,0.5675675675675675,0.6666666666666666,0.8422486453943409,0.06798520992418274,0.7417218543046358,0.9090909090909091,0.7005593173968041,0.020411317550290842,0.6733167082294265,0.730593607305936,88.75,19.044356119333624,56.0,102.0,24.75,10.280442597476044,14.0,39.0,355,99,single
pair_rolling_pool__ocf_to_total_borrowings_diff__is_3y_consecutive_ocf_deficit,"rolling 상위 단일 후보 2개 조합: ocf_to_total_borrowings_diff, is_3y_consecutive_ocf_deficit","ocf_to_total_borrowings_diff, is_3y_consecutive_ocf_deficit",4,0.7894301018406596,0.01536707683681812,0.7634718243710621,0.8026965471444012,0.9137866621581113,0.004640925956833018,0.9061321880219517,0.9179394338380513,0.6043062610616445,0.05212253600186284,0.5565217391304348,0.691358024691358,0.8459147709354663,0.06947308329679733,0.7417218543046358,0.9142857142857143,0.7004991791255161,0.017136257074312846,0.6766169154228856,0.7178329571106095,90.25,23.39203924415313,50.0,108.0,24.25,10.520812706250407,12.0,39.0,361,97,pair_rolling_pool
pair_rolling_pool__rolling_3y_cv_ocf_to_total_borrowings__ocf_to_total_borrowings_diff,"rolling 상위 단일 후보 2개 조합: rolling_3y_cv_ocf_to_total_borrowings, ocf_to_total_borrowings_diff","rolling_3y_cv_ocf_to_total_borrowings, ocf_to_total_borrowings_diff",4,0.7921572421621406,0.015471925287993892,0.7672890556528905,0.8078648937776616,0.9140481190317739,0.004289649959753535,0.9068122166547363,0.9177727272727273,0.6046481493913729,0.04729154996499087,0.5450643776824035,0.6571428571428571,0.8404785198245464,0.055579901869958453,0.7615894039735099,0.9071428571428571,0.7004930006934857,0.02684229524322013,0.6733167082294265,0.7421686746987952,88.0,17.930421077041107,60.0,106.0,25.25,8.642193008721803,13.0,36.0,352,101,pair_rolling_pool
pair_rolling_pool__roe__ocf_deficit_flag,"rolling 상위 단일 후보 2개 조합: roe, ocf_deficit_flag","roe, ocf_deficit_flag",4,0.7890522795286313,0.01588611967873547,0.767073986234709,0.8070881299656018,0.9139827186446556,0.003444671094225139,0.908303507516106,0.9171193181818182,0.6095802109931631,0.04475064928903156,0.5644444444444444,0.6829268292682927,0.8336176930133883,0.07080409696171061,0.7417218543046358,0.9071428571428571,0.7004870688848664,0.019149773927971965,0.6718346253229974,0.7231121281464531,86.25,20.154093876927337,52.0,103.0,26.25,10.985786271359915,13.0,39.0,345,105,pair_rolling_pool
pair_rolling_pool__roe__negative_equity_flag,"rolling 상위 단일 후보 2개 조합: roe, negative_equity_flag","roe, negative_equity_flag",4,0.7890522795286313,0.01588611967873547,0.767073986234709,0.8070881299656018,0.9139827186446556,0.003444671094225139,0.908303507516106,0.9171193181818182,0.6095802109931631,0.04475064928903156,0.5644444444444444,0.6829268292682927,0.8336176930133883,0.07080409696171061,0.7417218543046358,0.9071428571428571,0.7004870688848664,0.019149773927971965,0.6718346253229974,0.7231121281464531,86.25,20.154093876927337,52.0,103.0,26.25,10.985786271359915,13.0,39.0,345,105,pair_rolling_pool
pair_rolling_pool__roe__is_negative_equity_entry,"rolling 상위 단일 후보 2개 조합: roe, is_negative_equity_entry","roe, is_negative_equity_entry",4,0.7890522795286313,0.01588611967873547,0.767073986234709,0.8070881299656018,0.9139827186446556,0.003444671094225139,0.908303507516106,0.9171193181818182,0.6095802109931631,0.04475064928903156,0.5644444444444444,0.6829268292682927,0.8336176930133883,0.07080409696171061,0.7417218543046358,0.9071428571428571,0.7004870688848664,0.019149773927971965,0.6718346253229974,0.7231121281464531,86.25,20.154093876927337,52.0,103.0,26.25,10.985786271359915,13.0,39.0,345,105,pair_rolling_pool
pair_rolling_pool__market_spread__is_3y_consecutive_operating_loss,"rolling 상위 단일 후보 2개 조합: market_spread, is_3y_consecutive_operating_loss","market_spread, is_3y_consecutive_operating_loss",4,0.7947975434001215,0.0195114880081931,0.7623481873482314,0.8133518642764159,0.9148511951668304,0.005635598186614562,0.9052851348126938,0.9198704799859345,0.6095009025973386,0.05660996748923358,0.5517241379310345,0.7018633540372671,0.835827975832115,0.06539210366658743,0.7483443708609272,0.9142857142857143,0.7004698337882898,0.021445370111229642,0.6717557251908397,0.7243589743589743,87.25,22.84047941703501,48.0,104.0,26.0,10.173494974687902,12.0,38.0,349,104,pair_rolling_pool
single__ap_days,단일 후보 변수: ap_days,ap_days,4,0.7918002784020219,0.015494401551487952,0.7653552134541897,0.8047151006540112,0.9129810526247771,0.00276563958761047,0.9082319255547602,0.9150940631776358,0.6027398761575977,0.0468096255643057,0.5541125541125541,0.6787878787878788,0.8474299224506179,0.06904869714373786,0.7417218543046358,0.9142857142857143,0.7003920472116782,0.01549947582119741,0.681592039800995,0.7210884353741497,90.5,21.754309917807092,53.0,106.0,24.0,10.41633332799983,12.0,39.0,362,96,single
pair_rolling_pool__rolling_3y_cv_ocf_to_total_borrowings__ebitda_margin,"rolling 상위 단일 후보 2개 조합: rolling_3y_cv_ocf_to_total_borrowings, ebitda_margin","rolling_3y_cv_ocf_to_total_borrowings, ebitda_margin",4,0.7932143428786689,0.023219582727396635,0.7551231875717688,0.8176290169374061,0.9147372239249392,0.005948009184518533,0.9047363397757098,0.9203613080935358,0.6006656280387328,0.05234326063557111,0.5458333333333333,0.6842105263157895,0.8505538473667613,0.0678532566460852,0.7748344370860927,0.9357142857142857,0.7002335212999515,0.02565165421348319,0.6632911392405063,0.7267080745341615,91.5,21.937410968480304,54.0,109.0,23.75,10.732543966832841,9.0,34.0,366,95,pair_rolling_pool
single__ar_days_diff,단일 후보 변수: ar_days_diff,ar_days_diff,4,0.793649817768629,0.02299995289193534,0.757092379605336,0.8194754744295702,0.9153413265473203,0.006384819568398235,0.9055356716774039,0.9233722088730001,0.6050256666543269,0.04354440903043276,0.5682819383259912,0.6764705882352942,0.8395044938505203,0.06245568770886819,0.7615894039735099,0.9214285714285714,0.7001980036678419,0.020038771921051825,0.6666666666666666,0.7165109034267912,88.25,19.22725929507375,55.0,101.0,25.5,9.86154146165801,11.0,36.0,353,102,single
pair_rolling_pool__roe__market_spread,"rolling 상위 단일 후보 2개 조합: roe, market_spread","roe, market_spread",4,0.7927370290979014,0.021221829133948374,0.7658198314047614,0.8220655981559957,0.9155125202379111,0.006686464278166307,0.9055476020042948,0.9238337338099982,0.6036450489838879,0.0357402879100231,0.5644444444444444,0.659217877094972,0.8393848011811588,0.05310488935695943,0.7814569536423841,0.9071428571428571,0.7001963789635023,0.01846610819687257,0.6717948717948717,0.717948717948718,88.0,15.700318468107582,61.0,99.0,25.5,8.616843969807043,13.0,34.0,352,102,pair_rolling_pool
single__corp_aa_3y,단일 후보 변수: corp_aa_3y,corp_aa_3y,4,0.7938371520323984,0.018252464328407825,0.76327692524032,0.810396973405425,0.9153280326491401,0.004565252149096024,0.9075638272488666,0.9191159233429058,0.6102079882518736,0.048713704693010944,0.5545851528384279,0.6871165644171779,0.8321972384679338,0.06954957751192233,0.7417218543046358,0.9071428571428571,0.7001177548356301,0.020289257456184567,0.6735751295336787,0.7251732101616628,86.0,20.627651344736268,51.0,102.0,26.5,10.805091392487155,13.0,39.0,344,106,single
pair_rolling_pool__ocf_to_total_borrowings_diff__ocf_deficit_flag,"rolling 상위 단일 후보 2개 조합: ocf_to_total_borrowings_diff, ocf_deficit_flag","ocf_to_total_borrowings_diff, ocf_deficit_flag",4,0.789383903577271,0.015445125704461122,0.7632870313175074,0.8026965471444012,0.9138552615377343,0.0045279274516381455,0.9064065855404438,0.9179394338380513,0.6029625280224443,0.052953314957685245,0.5565217391304348,0.691358024691358,0.8474299224506179,0.06904869714373786,0.7417218543046358,0.9142857142857143,0.7000641620924547,0.017748166355190324,0.6748768472906403,0.7178329571106095,91.0,23.769728648009426,50.0,108.0,24.0,10.41633332799983,12.0,39.0,364,96,pair_rolling_pool
