scope,dimension,segment,rows,positive_rows,positive_rate,threshold,pr_auc,roc_auc,logloss,accuracy,balanced_accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
all_splits,split,test,924,203,0.2196969696969697,0.32,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8874458874458875,0.8747907599598259,0.7004048582995951,0.8522167487684729,0.7688888888888888,647,74,30,173
all_splits,split,train,3851,878,0.22799272916125682,0.32,0.9604468780280038,0.9887060614628084,0.15110483335852753,0.9376785250584264,0.9488017441713462,0.799812030075188,0.969248291571754,0.8764160659114315,2760,213,27,851
all_splits,split,valid,676,176,0.2603550295857988,0.32,0.8408084118112217,0.9353295454545454,0.2795337634152652,0.8801775147928994,0.8729772727272727,0.7294685990338164,0.8579545454545454,0.7885117493472584,444,56,25,151
test,overall,test_all,924,203,0.2196969696969697,0.32,0.8329020790683123,0.9415016090132069,0.24710901731846105,0.8874458874458875,0.8747907599598259,0.7004048582995951,0.8522167487684729,0.7688888888888888,647,74,30,173
test,fiscal_year,2023,637,161,0.25274725274725274,0.32,0.8191536370164876,0.9286888668510882,0.2893572183317601,0.8618524332810047,0.8602941176470589,0.6798029556650246,0.8571428571428571,0.7582417582417582,411,65,23,138
test,fiscal_year,2024,287,42,0.14634146341463414,0.32,0.8811410215927492,0.9637512147716228,0.15333861994748024,0.9442508710801394,0.8982993197278912,0.7954545454545454,0.8333333333333334,0.8139534883720929,236,9,7,35
test,market,KOSDAQ,427,163,0.38173302107728335,0.32,0.8427058573821711,0.8900120840304889,0.40216098289817737,0.810304449648712,0.8172522773749767,0.711340206185567,0.8466257668711656,0.7731092436974789,208,56,25,138
test,market,KOSPI,497,40,0.08048289738430583,0.32,0.7908134038753692,0.9649890590809629,0.11389535674997239,0.9537223340040242,0.9178063457330417,0.660377358490566,0.875,0.7526881720430108,439,18,5,35
test,industry_macro_category,construction,44,6,0.13636363636363635,0.32,0.7746031746031745,0.9605263157894737,0.1928760867261017,0.9090909090909091,0.8771929824561404,0.625,0.8333333333333334,0.7142857142857143,35,3,1,5
test,industry_macro_category,it_services,176,21,0.11931818181818182,0.32,0.8085677828177533,0.9640552995391705,0.1579374831647449,0.9204545454545454,0.8519201228878648,0.64,0.7619047619047619,0.6956521739130435,146,9,5,16
test,industry_macro_category,manufacturing,598,162,0.2709030100334448,0.32,0.8331857336995973,0.9257843470381697,0.30061680464693613,0.862876254180602,0.859412164458036,0.7040816326530612,0.8518518518518519,0.770949720670391,378,58,24,138
test,industry_macro_category,other,22,0,0.0,0.32,,,,0.9545454545454546,,0.0,0.0,0.0,21,1,0,0
test,industry_macro_category,transport_storage,21,0,0.0,0.32,,,,0.9523809523809523,,0.0,0.0,0.0,20,1,0,0
test,industry_macro_category,wholesale_retail,63,14,0.2222222222222222,0.32,0.9564643689643688,0.988338192419825,0.14837411589454336,0.9682539682539683,0.9795918367346939,0.875,1.0,0.9333333333333333,47,2,0,14
