dimension,segment,rows,positive_rows,negative_rows,positive_rate,pr_auc,roc_auc,precision,recall,f1,true_positive,true_negative,false_positive,false_negative,fp_rate_among_negatives,fn_rate_among_positives
industry_x_firm_size,manufacturing / large,119,0,119,0.0,,,0.0,0.0,0.0,0,114,5,0,0.04201680672268908,
industry_x_firm_size,manufacturing / mid_sized,311,78,233,0.2508038585209003,0.7883257284334915,0.898481346979201,0.75,0.7307692307692307,0.7402597402597403,57,214,19,21,0.0815450643776824,0.2692307692307692
industry_x_firm_size,manufacturing / small_and_medium,168,84,84,0.5,0.8872422521577513,0.9002267573696145,0.7043478260869566,0.9642857142857143,0.8140703517587939,81,50,34,3,0.40476190476190477,0.03571428571428571
industry_x_firm_size,other / large,8,0,8,0.0,,,0.0,0.0,0.0,0,8,0,0,0.0,
industry_x_firm_size,other / mid_sized,11,0,11,0.0,,,0.0,0.0,0.0,0,10,1,0,0.09090909090909091,
industry_x_firm_size,other / other,2,0,2,0.0,,,0.0,0.0,0.0,0,2,0,0,0.0,
industry_x_firm_size,other / small_and_medium,1,0,1,0.0,,,0.0,0.0,0.0,0,1,0,0,0.0,
industry_x_firm_size,transport_storage / large,16,0,16,0.0,,,0.0,0.0,0.0,0,15,1,0,0.0625,
industry_x_firm_size,transport_storage / mid_sized,4,0,4,0.0,,,0.0,0.0,0.0,0,4,0,0,0.0,
industry_x_firm_size,transport_storage / small_and_medium,1,0,1,0.0,,,0.0,0.0,0.0,0,1,0,0,0.0,
industry_x_firm_size,wholesale_retail / large,34,0,34,0.0,,,0.0,0.0,0.0,0,34,0,0,0.0,
industry_x_firm_size,wholesale_retail / mid_sized,18,7,11,0.3888888888888889,1.0,1.0,1.0,1.0,1.0,7,11,0,0,0.0,0.0
industry_x_firm_size,wholesale_retail / small_and_medium,11,7,4,0.6363636363636364,0.982142857142857,0.9642857142857143,0.7777777777777778,1.0,0.875,7,2,2,0,0.5,0.0
credit_rating,A,108,0,108,0.0,,,0.0,0.0,0.0,0,106,2,0,0.018518518518518517,
credit_rating,A+,101,0,101,0.0,,,0.0,0.0,0.0,0,100,1,0,0.009900990099009901,
credit_rating,A-,71,0,71,0.0,,,0.0,0.0,0.0,0,65,6,0,0.08450704225352113,
credit_rating,AA,43,0,43,0.0,,,0.0,0.0,0.0,0,43,0,0,0.0,
credit_rating,AA+,22,0,22,0.0,,,0.0,0.0,0.0,0,22,0,0,0.0,
credit_rating,AA-,93,0,93,0.0,,,0.0,0.0,0.0,0,93,0,0,0.0,
credit_rating,AAA,12,0,12,0.0,,,0.0,0.0,0.0,0,12,0,0,0.0,
credit_rating,B,19,19,0,1.0,,,1.0,0.9473684210526315,0.972972972972973,18,0,0,1,,0.05263157894736842
credit_rating,B+,23,22,1,0.9565217391304348,0.9999999999999998,1.0,1.0,1.0,1.0,22,1,0,0,0.0,0.0
credit_rating,B-,17,17,0,1.0,,,1.0,1.0,1.0,17,0,0,0,,0.0
credit_rating,BB,54,54,0,1.0,,,1.0,0.7592592592592593,0.8631578947368421,41,0,0,13,,0.24074074074074073
credit_rating,BB+,58,56,2,0.9655172413793104,0.9965884040589006,0.9107142857142857,1.0,0.7321428571428571,0.845360824742268,41,2,0,15,0.0,0.26785714285714285
credit_rating,BB-,28,28,0,1.0,,,1.0,0.9642857142857143,0.9818181818181818,27,0,0,1,,0.03571428571428571
credit_rating,BBB,94,0,94,0.0,,,0.0,0.0,0.0,0,69,25,0,0.26595744680851063,
credit_rating,BBB+,104,0,104,0.0,,,0.0,0.0,0.0,0,88,16,0,0.15384615384615385,
credit_rating,BBB-,62,0,62,0.0,,,0.0,0.0,0.0,0,38,24,0,0.3870967741935484,
credit_rating,C,3,3,0,1.0,,,1.0,1.0,1.0,3,0,0,0,,0.0
credit_rating,CCC,3,3,0,1.0,,,1.0,1.0,1.0,3,0,0,0,,0.0
credit_rating,D,1,1,0,1.0,,,1.0,1.0,1.0,1,0,0,0,,0.0
credit_rating,,8,0,8,0.0,,,0.0,0.0,0.0,0,8,0,0,0.0,
rating_boundary_group,deep_speculative_B_plus_or_lower,66,65,1,0.9848484848484849,1.0,1.0,1.0,0.9846153846153847,0.9922480620155039,64,1,0,1,0.0,0.015384615384615385
rating_boundary_group,missing_rating,8,0,8,0.0,,,0.0,0.0,0.0,0,8,0,0,0.0,
rating_boundary_group,near_investment_BBB_plus_to_BBB_minus,260,0,260,0.0,,,0.0,0.0,0.0,0,195,65,0,0.25,
rating_boundary_group,near_speculative_BB_plus_to_BB_minus,140,138,2,0.9857142857142858,0.9989989155282821,0.9347826086956521,1.0,0.7898550724637681,0.8825910931174089,109,2,0,29,0.0,0.21014492753623187
rating_boundary_group,upper_investment_A_or_above,450,0,450,0.0,,,0.0,0.0,0.0,0,441,9,0,0.02,
is_exact_boundary_bbb_minus_bb_plus,False,804,147,657,0.1828358208955224,0.8912832418877991,0.964070864266559,0.7252747252747253,0.8979591836734694,0.8024316109422492,132,607,50,15,0.076103500761035,0.10204081632653061
is_exact_boundary_bbb_minus_bb_plus,True,120,56,64,0.4666666666666667,0.6572811082333908,0.7190290178571429,0.6307692307692307,0.7321428571428571,0.6776859504132231,41,40,24,15,0.375,0.26785714285714285
is_near_boundary_bbb_bb,False,524,65,459,0.12404580152671756,0.9851537588335386,0.9978548684431038,0.8767123287671232,0.9846153846153847,0.927536231884058,64,450,9,1,0.0196078431372549,0.015384615384615385
is_near_boundary_bbb_bb,True,400,138,262,0.345,0.7265567008099952,0.8273039052992588,0.6264367816091954,0.7898550724637681,0.6987179487179487,109,197,65,29,0.2480916030534351,0.21014492753623187
rating_agency_group,BIG3,482,60,422,0.12448132780082988,0.8673554468233321,0.9676540284360189,0.765625,0.8166666666666667,0.7903225806451613,49,407,15,11,0.035545023696682464,0.18333333333333332
rating_agency_group,FOREIGN,3,0,3,0.0,,,0.0,0.0,0.0,0,3,0,0,0.0,
rating_agency_group,OTHER,431,143,288,0.33178654292343385,0.8227253886758108,0.8985771173271173,0.6775956284153005,0.8671328671328671,0.7607361963190185,124,229,59,19,0.2048611111111111,0.13286713286713286
rating_agency_group,,8,0,8,0.0,,,0.0,0.0,0.0,0,8,0,0,0.0,
selection_scope,BIG3,482,60,422,0.12448132780082988,0.8673554468233321,0.9676540284360189,0.765625,0.8166666666666667,0.7903225806451613,49,407,15,11,0.035545023696682464,0.18333333333333332
selection_scope,FOREIGN_BACKFILL,3,0,3,0.0,,,0.0,0.0,0.0,0,3,0,0,0.0,
selection_scope,OTHER_DOMESTIC,431,143,288,0.33178654292343385,0.8227253886758108,0.8985771173271173,0.6775956284153005,0.8671328671328671,0.7607361963190185,124,229,59,19,0.2048611111111111,0.13286713286713286
selection_scope,,8,0,8,0.0,,,0.0,0.0,0.0,0,8,0,0,0.0,
market_x_rating_boundary,KOSDAQ / deep_speculative_B_plus_or_lower,52,52,0,1.0,,,1.0,0.9807692307692307,0.9902912621359223,51,0,0,1,,0.019230769230769232
market_x_rating_boundary,KOSDAQ / missing_rating,1,0,1,0.0,,,0.0,0.0,0.0,0,1,0,0,0.0,
market_x_rating_boundary,KOSDAQ / near_investment_BBB_plus_to_BBB_minus,148,0,148,0.0,,,0.0,0.0,0.0,0,99,49,0,0.3310810810810811,
market_x_rating_boundary,KOSDAQ / near_speculative_BB_plus_to_BB_minus,112,111,1,0.9910714285714286,0.9988027417014149,0.8738738738738738,1.0,0.7837837837837838,0.8787878787878788,87,1,0,24,0.0,0.21621621621621623
market_x_rating_boundary,KOSDAQ / upper_investment_A_or_above,114,0,114,0.0,,,0.0,0.0,0.0,0,107,7,0,0.06140350877192982,
market_x_rating_boundary,KOSPI / deep_speculative_B_plus_or_lower,14,13,1,0.9285714285714286,0.9999999999999998,1.0,1.0,1.0,1.0,13,1,0,0,0.0,0.0
market_x_rating_boundary,KOSPI / missing_rating,7,0,7,0.0,,,0.0,0.0,0.0,0,7,0,0,0.0,
market_x_rating_boundary,KOSPI / near_investment_BBB_plus_to_BBB_minus,112,0,112,0.0,,,0.0,0.0,0.0,0,96,16,0,0.14285714285714285,
market_x_rating_boundary,KOSPI / near_speculative_BB_plus_to_BB_minus,28,27,1,0.9642857142857143,0.9999999999999998,1.0,1.0,0.8148148148148148,0.8979591836734694,22,1,0,5,0.0,0.18518518518518517
market_x_rating_boundary,KOSPI / upper_investment_A_or_above,336,0,336,0.0,,,0.0,0.0,0.0,0,334,2,0,0.005952380952380952,
