error_type,feature,direction,case_count,appearance_count,mean_abs_shap,mean_shap_value,median_rank,feature_group,korean_name,description,case_share
false_negative,total_assets_growth,increase_risk,2,2,0.21588478982448575,0.21588478982448575,9.0,trend_early_warning,총자산증가율,전년 대비 총자산 증가율,0.06666666666666667
false_negative,debt_ratio,increase_risk,2,2,0.18498817831277845,0.18498817831277845,9.5,stability_leverage,부채비율,자기자본 대비 총부채 비율,0.06666666666666667
false_negative,intangible_assets_ratio,increase_risk,1,1,0.9523473381996156,0.9523473381996156,1.0,cashflow_structure,무형자산 비중,총자산 대비 무형자산 비율,0.03333333333333333
false_negative,net_margin_diff,increase_risk,1,1,0.5208660364151001,0.5208660364151001,4.0,trend_early_warning,순이익률 변화,전년 대비 순이익률 변화폭,0.03333333333333333
false_negative,ocf_to_total_liabilities,decrease_risk,1,1,0.3366247713565826,-0.3366247713565826,8.0,cashflow_structure,OCF/부채총계,총부채 대비 영업현금흐름 비율,0.03333333333333333
false_negative,total_assets_growth,decrease_risk,1,1,0.3074802756309509,-0.3074802756309509,7.0,trend_early_warning,총자산증가율,전년 대비 총자산 증가율,0.03333333333333333
false_negative,short_term_borrowings_share,increase_risk,1,1,0.2114819586277008,0.2114819586277008,9.0,trend_early_warning,단기차입금 비중,총차입금 중 단기차입금 비중,0.03333333333333333
false_negative,pretax_roe,decrease_risk,1,1,0.1726365983486175,-0.1726365983486175,10.0,profitability_returns,세전계속사업이익 기준 ROE,자기자본 대비 세전이익 비율,0.03333333333333333
false_negative,operating_roa,increase_risk,1,1,0.1301203966140747,0.1301203966140747,9.0,profitability_returns,총자산영업이익률,총자산 대비 영업이익 비율,0.03333333333333333
false_positive,gross_profit,increase_risk,76,76,0.3922510866663958,0.3922510866663958,4.0,profitability_returns,매출총이익,매출총이익(손실),0.8539325842696629
false_positive,dividend_payer,increase_risk,63,63,0.2506196397164511,0.2506196397164511,7.0,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,0.7078651685393258
false_positive,firm_size_group,increase_risk,51,51,0.2933852225542068,0.2933852225542068,6.0,context,기업규모 그룹,모델링용 기업규모 그룹,0.5730337078651685
false_positive,depreciation,increase_risk,51,51,0.19382742091136818,0.19382742091136818,8.0,cashflow_structure,감가상각비,감가상각비,0.5730337078651685
false_positive,assets_total,increase_risk,50,50,0.28125969052314753,0.28125969052314753,5.0,stability_leverage,자산총계,총자산,0.5617977528089888
false_positive,interest_coverage_ratio,increase_risk,47,47,0.4315766933116507,0.4315766933116507,3.0,profitability_returns,이자보상배율,영업이익 대비 이자비용 배수,0.5280898876404494
false_positive,capital_impairment_ratio,increase_risk,46,46,0.2908420786261558,0.2908420786261558,5.0,stability_leverage,자본잠식률,자본금 대비 자본잠식 정도,0.5168539325842697
false_positive,listed_year,increase_risk,44,44,0.5118514844639734,0.5118514844639734,2.0,context,상장연도,상장일에서 추출한 연도,0.4943820224719101
false_positive,interest_coverage_ratio,decrease_risk,34,34,0.6497260428526822,-0.6497260428526822,1.0,profitability_returns,이자보상배율,영업이익 대비 이자비용 배수,0.38202247191011235
false_positive,cashflow_coverage_ratio,decrease_risk,34,34,0.18393043866928882,-0.18393043866928882,8.0,cashflow_structure,현금흐름 커버리지,이자비용 대비 영업현금흐름 배수,0.38202247191011235
false_positive,cashflow_coverage_ratio,increase_risk,30,30,0.25991714646418884,0.25991714646418884,7.0,cashflow_structure,현금흐름 커버리지,이자비용 대비 영업현금흐름 배수,0.33707865168539325
false_positive,net_margin,increase_risk,29,29,0.46702503233120357,0.46702503233120357,3.0,profitability_returns,순이익률,매출액 대비 당기순이익 비율,0.3258426966292135
false_positive,equity_ratio,decrease_risk,26,26,0.21553677979570166,-0.21553677979570166,9.0,stability_leverage,자기자본비율,총자산 대비 자기자본 비율,0.29213483146067415
false_positive,equity_ratio,increase_risk,20,20,0.4687542349100113,0.4687542349100113,3.5,stability_leverage,자기자본비율,총자산 대비 자기자본 비율,0.2247191011235955
false_positive,capital_impairment_ratio,decrease_risk,20,20,0.35159821510314937,-0.35159821510314937,6.0,stability_leverage,자본잠식률,자본금 대비 자본잠식 정도,0.2247191011235955
false_positive,listed_year,decrease_risk,20,20,0.34441915974020954,-0.34441915974020954,3.5,context,상장연도,상장일에서 추출한 연도,0.2247191011235955
false_positive,industry_macro_category,increase_risk,20,20,0.27247429937124246,0.27247429937124246,9.0,context,산업 대분류,모델링용 산업 대분류,0.2247191011235955
false_positive,industry_macro_category,decrease_risk,19,19,0.533528142853787,-0.533528142853787,3.0,context,산업 대분류,모델링용 산업 대분류,0.21348314606741572
false_positive,dividend_payer,decrease_risk,16,16,0.38284424599260086,-0.38284424599260086,5.0,market_shareholder,배당금 지급 여부,해당 회계연도에 현금배당을 지급했는지 여부,0.1797752808988764
false_positive,assets_total,decrease_risk,15,15,0.47964252630869547,-0.47964252630869547,5.0,stability_leverage,자산총계,총자산,0.16853932584269662
false_positive,net_margin,decrease_risk,15,15,0.45303665002187093,-0.45303665002187093,4.0,profitability_returns,순이익률,매출액 대비 당기순이익 비율,0.16853932584269662
false_positive,total_borrowings_ratio,increase_risk,15,15,0.18124780307213462,0.18124780307213462,10.0,stability_leverage,총차입금비율,총자산 대비 총차입금 비율,0.16853932584269662
false_positive,net_margin_diff,increase_risk,14,14,0.7289362028241158,0.7289362028241158,2.0,trend_early_warning,순이익률 변화,전년 대비 순이익률 변화폭,0.15730337078651685
false_positive,net_margin_diff,decrease_risk,13,13,0.21102528847180876,-0.21102528847180876,9.0,trend_early_warning,순이익률 변화,전년 대비 순이익률 변화폭,0.14606741573033707
false_positive,gross_profit,decrease_risk,11,11,0.4485877738757567,-0.4485877738757567,4.0,profitability_returns,매출총이익,매출총이익(손실),0.12359550561797752
false_positive,depreciation,decrease_risk,9,9,0.7665989663865831,-0.7665989663865831,2.0,cashflow_structure,감가상각비,감가상각비,0.10112359550561797
false_positive,total_assets_growth,increase_risk,9,9,0.5153227779600356,0.5153227779600356,1.0,trend_early_warning,총자산증가율,전년 대비 총자산 증가율,0.10112359550561797
false_positive,total_debt_turnover,decrease_risk,9,9,0.4251636034912533,-0.4251636034912533,4.0,cashflow_structure,총부채회전율,총부채 대비 매출액 비율,0.10112359550561797
false_positive,market,decrease_risk,9,9,0.2370560649368498,-0.2370560649368498,9.0,context,시장구분,상장시장 구분,0.10112359550561797
false_positive,firm_size_group,decrease_risk,8,8,0.6003273036330938,-0.6003273036330938,4.5,context,기업규모 그룹,모델링용 기업규모 그룹,0.0898876404494382
false_positive,pretax_roe,increase_risk,8,8,0.3843539208173752,0.3843539208173752,6.5,profitability_returns,세전계속사업이익 기준 ROE,자기자본 대비 세전이익 비율,0.0898876404494382
false_positive,cash_ratio,increase_risk,8,8,0.22756734862923622,0.22756734862923622,9.0,stability_leverage,현금비율,유동부채 대비 현금및현금성자산 비율,0.0898876404494382
false_positive,intangible_assets_ratio,decrease_risk,6,6,0.35751349727312726,-0.35751349727312726,6.5,cashflow_structure,무형자산 비중,총자산 대비 무형자산 비율,0.06741573033707865
false_positive,is_2y_consecutive_ocf_deficit,increase_risk,6,6,0.26466658711433405,0.26466658711433405,8.0,trend_early_warning,2년 연속 OCF 적자 여부,당기와 전기 모두 영업현금흐름이 음수인지 여부,0.06741573033707865
false_positive,intangible_assets_ratio,increase_risk,5,5,0.9119201302528381,0.9119201302528381,1.0,cashflow_structure,무형자산 비중,총자산 대비 무형자산 비율,0.056179775280898875
false_positive,cash_ratio,decrease_risk,4,4,0.43004193529486656,-0.43004193529486656,3.0,stability_leverage,현금비율,유동부채 대비 현금및현금성자산 비율,0.0449438202247191
false_positive,total_borrowings_ratio,decrease_risk,4,4,0.2499994561076164,-0.2499994561076164,9.5,stability_leverage,총차입금비율,총자산 대비 총차입금 비율,0.0449438202247191
false_positive,current_ratio,increase_risk,4,4,0.23329451680183408,0.23329451680183408,8.5,stability_leverage,유동비율,유동자산 대비 유동부채 비율,0.0449438202247191
false_positive,ocf_to_sales,increase_risk,3,3,0.4660741190115611,0.4660741190115611,3.0,cashflow_structure,OCF/매출액,매출액 대비 영업현금흐름 비율,0.033707865168539325
false_positive,short_term_borrowings_share,decrease_risk,3,3,0.44007061918576557,-0.44007061918576557,6.0,trend_early_warning,단기차입금 비중,총차입금 중 단기차입금 비중,0.033707865168539325
false_positive,market_to_book,increase_risk,3,3,0.3951669583717982,0.3951669583717982,3.0,market_shareholder,Market-to-Book,시가총액 대비 장부가치 비율,0.033707865168539325
false_positive,short_term_borrowings_share,increase_risk,3,3,0.16823267440001163,0.16823267440001163,9.0,trend_early_warning,단기차입금 비중,총차입금 중 단기차입금 비중,0.033707865168539325
false_positive,operating_roa,decrease_risk,2,2,0.2193754762411117,-0.2193754762411117,8.0,profitability_returns,총자산영업이익률,총자산 대비 영업이익 비율,0.02247191011235955
false_positive,accruals_ratio,increase_risk,2,2,0.20292548835277555,0.20292548835277555,8.5,cashflow_structure,발생액 비율,총자산 대비 순이익과 영업현금흐름의 차이 (이익품질 지표),0.02247191011235955
false_positive,ocf_to_sales,decrease_risk,1,1,0.3144897222518921,-0.3144897222518921,4.0,cashflow_structure,OCF/매출액,매출액 대비 영업현금흐름 비율,0.011235955056179775
false_positive,ocf_to_total_borrowings,increase_risk,1,1,0.3077070415019989,0.3077070415019989,9.0,cashflow_structure,OCF/총차입금,총차입금 대비 영업현금흐름 비율,0.011235955056179775
false_positive,total_assets_growth,decrease_risk,1,1,0.2472534477710724,-0.2472534477710724,9.0,trend_early_warning,총자산증가율,전년 대비 총자산 증가율,0.011235955056179775
false_positive,debt_ratio,increase_risk,1,1,0.1854359358549118,0.1854359358549118,7.0,stability_leverage,부채비율,자기자본 대비 총부채 비율,0.011235955056179775
false_positive,spec_spread,decrease_risk,1,1,0.1578554660081863,-0.1578554660081863,9.0,macro,투기경계 스프레드,회사채 BBB-와 AA- 간 스프레드,0.011235955056179775
false_positive,total_debt_turnover,increase_risk,1,1,0.1417343616485595,0.1417343616485595,10.0,cashflow_structure,총부채회전율,총부채 대비 매출액 비율,0.011235955056179775
