split,probability_bin,rows,mean_probability,actual_positive_rate,calibration_gap
valid,"(-0.001, 0.1]",346,0.021708864866489958,0.017341040462427744,0.0043678244040622136
valid,"(0.1, 0.2]",49,0.14163634430001168,0.061224489795918366,0.08041185450409331
valid,"(0.2, 0.3]",49,0.24464348511831768,0.30612244897959184,-0.06147896386127416
valid,"(0.3, 0.4]",48,0.34619461827933695,0.3958333333333333,-0.04963871505399636
valid,"(0.4, 0.5]",23,0.4599960634005537,0.6086956521739131,-0.14869958877335937
valid,"(0.5, 0.6]",45,0.5552459021209495,0.5111111111111111,0.044134791009838414
valid,"(0.6, 0.7]",17,0.6547542002959632,0.5294117647058824,0.12534243559008085
valid,"(0.7, 0.8]",24,0.756887651544782,0.7916666666666666,-0.03477901512188464
valid,"(0.8, 0.9]",31,0.8556172163251807,0.8387096774193549,0.01690753890582586
valid,"(0.9, 1.0]",44,0.9445208442136063,0.9545454545454546,-0.010024610331848316
test,"(-0.001, 0.1]",338,0.022475253171324646,0.029585798816568046,-0.0071105456452434
test,"(0.1, 0.2]",53,0.14438046926542117,0.07547169811320754,0.06890877115221362
test,"(0.2, 0.3]",47,0.24874226409065756,0.1702127659574468,0.07852949813321075
test,"(0.3, 0.4]",43,0.3383135818121151,0.4186046511627907,-0.08029106935067559
test,"(0.4, 0.5]",27,0.4559245315941442,0.4074074074074074,0.048517124186736815
test,"(0.5, 0.6]",46,0.5397758883575172,0.6086956521739131,-0.06891976381639586
test,"(0.6, 0.7]",30,0.6488650122156422,0.5333333333333333,0.11553167888230886
test,"(0.7, 0.8]",25,0.7499222204399645,0.68,0.06992222043996443
test,"(0.8, 0.9]",31,0.8445780741963937,0.8064516129032258,0.03812646129316799
test,"(0.9, 1.0]",32,0.9464049232399939,0.9375,0.008904923239993923
